mes,codigo_tienda,grupo,categoria,nombre_categoria,ventas_eur
2024-01-01,RN-BCN-GA01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",1692855.06
2024-01-01,RN-BCN-GA01,B,alimentacion_hosteleria,Alimentación y Hostelería,424399.79
2024-01-01,RN-BCN-GA02,B,moda_belleza,Moda y Belleza,1591045.13
2024-01-01,RN-BCN-GA02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",1936359.02
2024-01-01,RN-BCN-GA02,B,alimentacion_hosteleria,Alimentación y Hostelería,485446.38
2024-01-01,RN-BCN-HI01,B,moda_belleza,Moda y Belleza,52015.93
2024-01-01,RN-BCN-HI01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",134107.18
2024-01-01,RN-BCN-HI01,B,alimentacion_hosteleria,Alimentación y Hostelería,444874.58
2024-01-01,RN-BCN-HI02,B,moda_belleza,Moda y Belleza,76738.62
2024-01-01,RN-BCN-HI02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",197847.08
2024-01-01,RN-BCN-HI02,B,alimentacion_hosteleria,Alimentación y Hostelería,656319.35
2024-01-01,RN-BCN-HI03,B,moda_belleza,Moda y Belleza,52031.56
2024-01-01,RN-BCN-HI03,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",134147.48
2024-01-01,RN-BCN-HI03,B,alimentacion_hosteleria,Alimentación y Hostelería,445008.27
2024-01-01,RN-BCN-HI04,B,moda_belleza,Moda y Belleza,64312.08
2024-01-01,RN-BCN-HI04,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",165809.05
2024-01-01,RN-BCN-HI04,B,alimentacion_hosteleria,Alimentación y Hostelería,550039.4
2024-01-01,RN-BIO-CV01,E,moda_belleza,Moda y Belleza,9204.57
2024-01-01,RN-BIO-CV01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",24469.51
2024-01-01,RN-BIO-CV01,E,alimentacion_hosteleria,Alimentación y Hostelería,123630.48
2024-01-01,RN-BIO-CV02,E,moda_belleza,Moda y Belleza,9333.99
2024-01-01,RN-BIO-CV02,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",24813.54
2024-01-01,RN-BIO-CV02,E,alimentacion_hosteleria,Alimentación y Hostelería,125368.66
2024-01-01,RN-BIO-CV03,E,moda_belleza,Moda y Belleza,8543.83
2024-01-01,RN-BIO-CV03,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",22712.97
2024-01-01,RN-BIO-CV03,E,alimentacion_hosteleria,Alimentación y Hostelería,114755.72
2024-01-01,RN-BIO-CV04,E,moda_belleza,Moda y Belleza,10196.44
2024-01-01,RN-BIO-CV04,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",27106.3
2024-01-01,RN-BIO-CV04,E,alimentacion_hosteleria,Alimentación y Hostelería,136952.68
2024-01-01,RN-BIO-ES01,E,moda_belleza,Moda y Belleza,185111.81
2024-01-01,RN-BIO-ES01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",37280.5
2024-01-01,RN-BIO-ES01,E,alimentacion_hosteleria,Alimentación y Hostelería,3988.74
2024-01-01,RN-BIO-ES02,E,moda_belleza,Moda y Belleza,163975.83
2024-01-01,RN-BIO-ES02,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",33023.83
2024-01-01,RN-BIO-ES02,E,alimentacion_hosteleria,Alimentación y Hostelería,3533.31
2024-01-01,RN-BIO-ES03,E,moda_belleza,Moda y Belleza,245946.23
2024-01-01,RN-BIO-ES03,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",49532.22
2024-01-01,RN-BIO-ES03,E,alimentacion_hosteleria,Alimentación y Hostelería,5299.58
2024-01-01,RN-BIO-ES04,E,moda_belleza,Moda y Belleza,213693.16
2024-01-01,RN-BIO-ES04,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",43036.63
2024-01-01,RN-BIO-ES04,E,alimentacion_hosteleria,Alimentación y Hostelería,4604.6
2024-01-01,RN-BIO-ES05,E,moda_belleza,Moda y Belleza,197616.43
2024-01-01,RN-BIO-ES05,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",39798.86
2024-01-01,RN-BIO-ES05,E,alimentacion_hosteleria,Alimentación y Hostelería,4258.19
2024-01-01,RN-BIO-ES06,E,moda_belleza,Moda y Belleza,236716.57
2024-01-01,RN-BIO-ES06,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",47673.41
2024-01-01,RN-BIO-ES06,E,alimentacion_hosteleria,Alimentación y Hostelería,5100.7
2024-01-01,RN-BIO-ES07,E,moda_belleza,Moda y Belleza,205247.31
2024-01-01,RN-BIO-ES07,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",41335.68
2024-01-01,RN-BIO-ES07,E,alimentacion_hosteleria,Alimentación y Hostelería,4422.61
2024-01-01,RN-BIO-GA01,E,moda_belleza,Moda y Belleza,895432.49
2024-01-01,RN-BIO-GA01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",1310958.3
2024-01-01,RN-BIO-GA01,E,alimentacion_hosteleria,Alimentación y Hostelería,295290.3
2024-01-01,RN-BIO-HI01,E,moda_belleza,Moda y Belleza,60443.66
2024-01-01,RN-BIO-HI01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",187464.51
2024-01-01,RN-BIO-HI01,E,alimentacion_hosteleria,Alimentación y Hostelería,558739.71
2024-01-01,RN-BIO-HI02,E,moda_belleza,Moda y Belleza,46297.93
2024-01-01,RN-BIO-HI02,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",143591.88
2024-01-01,RN-BIO-HI02,E,alimentacion_hosteleria,Alimentación y Hostelería,427976.94
2024-01-01,RN-MAD-CV01,A,moda_belleza,Moda y Belleza,9952.33
2024-01-01,RN-MAD-CV01,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",19578.0
2024-01-01,RN-MAD-CV01,A,alimentacion_hosteleria,Alimentación y Hostelería,119263.4
2024-01-01,RN-MAD-CV02,A,moda_belleza,Moda y Belleza,10913.55
2024-01-01,RN-MAD-CV02,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",21468.89
2024-01-01,RN-MAD-CV02,A,alimentacion_hosteleria,Alimentación y Hostelería,130782.1
2024-01-01,RN-MAD-CV03,A,moda_belleza,Moda y Belleza,9987.74
2024-01-01,RN-MAD-CV03,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",19647.65
2024-01-01,RN-MAD-CV03,A,alimentacion_hosteleria,Alimentación y Hostelería,119687.7
2024-01-01,RN-MAD-CV04,A,moda_belleza,Moda y Belleza,11785.34
2024-01-01,RN-MAD-CV04,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",23183.85
2024-01-01,RN-MAD-CV04,A,alimentacion_hosteleria,Alimentación y Hostelería,141229.14
2024-01-01,RN-MAD-CV05,A,moda_belleza,Moda y Belleza,8681.39
2024-01-01,RN-MAD-CV05,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",17077.84
2024-01-01,RN-MAD-CV05,A,alimentacion_hosteleria,Alimentación y Hostelería,104033.15
2024-01-01,RN-MAD-CV06,A,moda_belleza,Moda y Belleza,9758.9
2024-01-01,RN-MAD-CV06,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",19197.48
2024-01-01,RN-MAD-CV06,A,alimentacion_hosteleria,Alimentación y Hostelería,116945.39
2024-01-01,RN-MAD-CV07,A,moda_belleza,Moda y Belleza,9291.79
2024-01-01,RN-MAD-CV07,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",18278.59
2024-01-01,RN-MAD-CV07,A,alimentacion_hosteleria,Alimentación y Hostelería,111347.76
2024-01-01,RN-MAD-CV08,A,moda_belleza,Moda y Belleza,11687.67
2024-01-01,RN-MAD-CV08,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",22991.71
2024-01-01,RN-MAD-CV08,A,alimentacion_hosteleria,Alimentación y Hostelería,140058.72
2024-01-01,RN-MAD-CV09,A,moda_belleza,Moda y Belleza,11576.93
2024-01-01,RN-MAD-CV09,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",22773.87
2024-01-01,RN-MAD-CV09,A,alimentacion_hosteleria,Alimentación y Hostelería,138731.69
2024-01-01,RN-MAD-CV10,A,moda_belleza,Moda y Belleza,10737.52
2024-01-01,RN-MAD-CV10,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",21122.6
2024-01-01,RN-MAD-CV10,A,alimentacion_hosteleria,Alimentación y Hostelería,128672.61
2024-01-01,RN-MAD-ES01,A,moda_belleza,Moda y Belleza,274212.21
2024-01-01,RN-MAD-ES01,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",40865.46
2024-01-01,RN-MAD-ES01,A,alimentacion_hosteleria,Alimentación y Hostelería,5271.68
2024-01-01,RN-MAD-ES02,A,moda_belleza,Moda y Belleza,188091.38
2024-01-01,RN-MAD-ES02,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",28030.99
2024-01-01,RN-MAD-ES02,A,alimentacion_hosteleria,Alimentación y Hostelería,3616.02
2024-01-01,RN-MAD-ES03,A,moda_belleza,Moda y Belleza,233866.03
2024-01-01,RN-MAD-ES03,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",34852.72
2024-01-01,RN-MAD-ES03,A,alimentacion_hosteleria,Alimentación y Hostelería,4496.03
2024-01-01,RN-MAD-ES04,A,moda_belleza,Moda y Belleza,238929.39
2024-01-01,RN-MAD-ES04,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",35607.31
2024-01-01,RN-MAD-ES04,A,alimentacion_hosteleria,Alimentación y Hostelería,4593.37
2024-01-01,RN-MAD-ES05,A,moda_belleza,Moda y Belleza,203509.34
2024-01-01,RN-MAD-ES05,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",30328.71
2024-01-01,RN-MAD-ES05,A,alimentacion_hosteleria,Alimentación y Hostelería,3912.43
2024-01-01,RN-MAD-ES06,A,moda_belleza,Moda y Belleza,235708.55
2024-01-01,RN-MAD-ES06,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",35127.31
2024-01-01,RN-MAD-ES06,A,alimentacion_hosteleria,Alimentación y Hostelería,4531.45
2024-01-01,RN-MAD-ES07,A,moda_belleza,Moda y Belleza,247374.72
2024-01-01,RN-MAD-ES07,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",36865.9
2024-01-01,RN-MAD-ES07,A,alimentacion_hosteleria,Alimentación y Hostelería,4755.73
2024-01-01,RN-MAD-ES08,A,moda_belleza,Moda y Belleza,246785.16
2024-01-01,RN-MAD-ES08,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",36778.04
2024-01-01,RN-MAD-ES08,A,alimentacion_hosteleria,Alimentación y Hostelería,4744.4
2024-01-01,RN-MAD-ES09,A,moda_belleza,Moda y Belleza,223256.32
2024-01-01,RN-MAD-ES09,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",33271.57
2024-01-01,RN-MAD-ES09,A,alimentacion_hosteleria,Alimentación y Hostelería,4292.06
2024-01-01,RN-MAD-ES10,A,moda_belleza,Moda y Belleza,242028.31
2024-01-01,RN-MAD-ES10,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",36069.14
2024-01-01,RN-MAD-ES10,A,alimentacion_hosteleria,Alimentación y Hostelería,4652.95
2024-01-01,RN-MAD-ES11,A,moda_belleza,Moda y Belleza,195057.77
2024-01-01,RN-MAD-ES11,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",29069.18
2024-01-01,RN-MAD-ES11,A,alimentacion_hosteleria,Alimentación y Hostelería,3749.95
2024-01-01,RN-MAD-ES12,A,moda_belleza,Moda y Belleza,245664.23
2024-01-01,RN-MAD-ES12,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",36610.99
2024-01-01,RN-MAD-ES12,A,alimentacion_hosteleria,Alimentación y Hostelería,4722.85
2024-01-01,RN-MAD-ES13,A,moda_belleza,Moda y Belleza,231046.68
2024-01-01,RN-MAD-ES13,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",34432.56
2024-01-01,RN-MAD-ES13,A,alimentacion_hosteleria,Alimentación y Hostelería,4441.83
2024-01-01,RN-MAD-ES14,A,moda_belleza,Moda y Belleza,184180.86
2024-01-01,RN-MAD-ES14,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",27448.21
2024-01-01,RN-MAD-ES14,A,alimentacion_hosteleria,Alimentación y Hostelería,3540.84
2024-01-01,RN-MAD-ES15,A,moda_belleza,Moda y Belleza,214175.89
2024-01-01,RN-MAD-ES15,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",31918.33
2024-01-01,RN-MAD-ES15,A,alimentacion_hosteleria,Alimentación y Hostelería,4117.49
2024-01-01,RN-MAD-ES16,A,moda_belleza,Moda y Belleza,223594.73
2024-01-01,RN-MAD-ES16,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",33322.01
2024-01-01,RN-MAD-ES16,A,alimentacion_hosteleria,Alimentación y Hostelería,4298.57
2024-01-01,RN-MAD-ES17,A,moda_belleza,Moda y Belleza,221353.08
2024-01-01,RN-MAD-ES17,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",32987.94
2024-01-01,RN-MAD-ES17,A,alimentacion_hosteleria,Alimentación y Hostelería,4255.47
2024-01-01,RN-MAD-ES18,A,moda_belleza,Moda y Belleza,259351.34
2024-01-01,RN-MAD-ES18,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",38650.76
2024-01-01,RN-MAD-ES18,A,alimentacion_hosteleria,Alimentación y Hostelería,4985.98
2024-01-01,RN-MAD-ES19,A,moda_belleza,Moda y Belleza,230012.29
2024-01-01,RN-MAD-ES19,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",34278.41
2024-01-01,RN-MAD-ES19,A,alimentacion_hosteleria,Alimentación y Hostelería,4421.94
2024-01-01,RN-MAD-ES20,A,moda_belleza,Moda y Belleza,225478.79
2024-01-01,RN-MAD-ES20,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",33602.78
2024-01-01,RN-MAD-ES20,A,alimentacion_hosteleria,Alimentación y Hostelería,4334.79
2024-01-01,RN-MAD-GA01,A,moda_belleza,Moda y Belleza,2046695.85
2024-01-01,RN-MAD-GA01,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",2217334.99
2024-01-01,RN-MAD-GA01,A,alimentacion_hosteleria,Alimentación y Hostelería,602185.21
2024-01-01,RN-MAD-GA02,A,moda_belleza,Moda y Belleza,1430189.85
2024-01-01,RN-MAD-GA02,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",1549429.04
2024-01-01,RN-MAD-GA02,A,alimentacion_hosteleria,Alimentación y Hostelería,420794.9
2024-01-01,RN-MAD-GA03,A,moda_belleza,Moda y Belleza,1587242.44
2024-01-01,RN-MAD-GA03,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",1719575.57
2024-01-01,RN-MAD-GA03,A,alimentacion_hosteleria,Alimentación y Hostelería,467003.4
2024-01-01,RN-MAD-HI01,A,moda_belleza,Moda y Belleza,66453.97
2024-01-01,RN-MAD-HI01,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",152514.52
2024-01-01,RN-MAD-HI01,A,alimentacion_hosteleria,Alimentación y Hostelería,548075.19
2024-01-01,RN-MAD-HI02,A,moda_belleza,Moda y Belleza,62041.79
2024-01-01,RN-MAD-HI02,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",142388.39
2024-01-01,RN-MAD-HI02,A,alimentacion_hosteleria,Alimentación y Hostelería,511686.02
2024-01-01,RN-MAD-HI03,A,moda_belleza,Moda y Belleza,67937.94
2024-01-01,RN-MAD-HI03,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",155920.3
2024-01-01,RN-MAD-HI03,A,alimentacion_hosteleria,Alimentación y Hostelería,560314.18
2024-01-01,RN-MAD-HI04,A,moda_belleza,Moda y Belleza,75952.16
2024-01-01,RN-MAD-HI04,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",174313.25
2024-01-01,RN-MAD-HI04,A,alimentacion_hosteleria,Alimentación y Hostelería,626410.96
2024-01-01,RN-MAD-HI05,A,moda_belleza,Moda y Belleza,72379.01
2024-01-01,RN-MAD-HI05,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",166112.72
2024-01-01,RN-MAD-HI05,A,alimentacion_hosteleria,Alimentación y Hostelería,596941.61
2024-01-01,RN-SEV-CV01,D,moda_belleza,Moda y Belleza,9076.87
2024-01-01,RN-SEV-CV01,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",26577.85
2024-01-01,RN-SEV-CV01,D,alimentacion_hosteleria,Alimentación y Hostelería,87903.52
2024-01-01,RN-SEV-CV02,D,moda_belleza,Moda y Belleza,10954.59
2024-01-01,RN-SEV-CV02,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",32075.97
2024-01-01,RN-SEV-CV02,D,alimentacion_hosteleria,Alimentación y Hostelería,106088.0
2024-01-01,RN-SEV-CV03,D,moda_belleza,Moda y Belleza,8632.73
2024-01-01,RN-SEV-CV03,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",25277.36
2024-01-01,RN-SEV-CV03,D,alimentacion_hosteleria,Alimentación y Hostelería,83602.27
2024-01-01,RN-SEV-CV04,D,moda_belleza,Moda y Belleza,8516.59
2024-01-01,RN-SEV-CV04,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",24937.29
2024-01-01,RN-SEV-CV04,D,alimentacion_hosteleria,Alimentación y Hostelería,82477.52
2024-01-01,RN-SEV-CV05,D,moda_belleza,Moda y Belleza,7829.57
2024-01-01,RN-SEV-CV05,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",22925.64
2024-01-01,RN-SEV-CV05,D,alimentacion_hosteleria,Alimentación y Hostelería,75824.22
2024-01-01,RN-SEV-CV06,D,moda_belleza,Moda y Belleza,9112.51
2024-01-01,RN-SEV-CV06,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",26682.19
2024-01-01,RN-SEV-CV06,D,alimentacion_hosteleria,Alimentación y Hostelería,88248.62
2024-01-01,RN-SEV-CV07,D,moda_belleza,Moda y Belleza,8873.21
2024-01-01,RN-SEV-CV07,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",25981.52
2024-01-01,RN-SEV-CV07,D,alimentacion_hosteleria,Alimentación y Hostelería,85931.23
2024-01-01,RN-SEV-CV08,D,moda_belleza,Moda y Belleza,9776.1
2024-01-01,RN-SEV-CV08,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",28625.25
2024-01-01,RN-SEV-CV08,D,alimentacion_hosteleria,Alimentación y Hostelería,94675.09
2024-01-01,RN-SEV-CV09,D,moda_belleza,Moda y Belleza,9842.53
2024-01-01,RN-SEV-CV09,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",28819.77
2024-01-01,RN-SEV-CV09,D,alimentacion_hosteleria,Alimentación y Hostelería,95318.45
2024-01-01,RN-SEV-CV10,D,moda_belleza,Moda y Belleza,9668.77
2024-01-01,RN-SEV-CV10,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",28310.98
2024-01-01,RN-SEV-CV10,D,alimentacion_hosteleria,Alimentación y Hostelería,93635.66
2024-01-01,RN-SEV-ES01,D,moda_belleza,Moda y Belleza,185459.64
2024-01-01,RN-SEV-ES01,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",41139.52
2024-01-01,RN-SEV-ES01,D,alimentacion_hosteleria,Alimentación y Hostelería,2881.37
2024-01-01,RN-SEV-ES02,D,moda_belleza,Moda y Belleza,161663.86
2024-01-01,RN-SEV-ES02,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",35861.03
2024-01-01,RN-SEV-ES02,D,alimentacion_hosteleria,Alimentación y Hostelería,2511.67
2024-01-01,RN-SEV-ES03,D,moda_belleza,Moda y Belleza,176927.06
2024-01-01,RN-SEV-ES03,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",39246.78
2024-01-01,RN-SEV-ES03,D,alimentacion_hosteleria,Alimentación y Hostelería,2748.81
2024-01-01,RN-SEV-ES04,D,moda_belleza,Moda y Belleza,140485.4
2024-01-01,RN-SEV-ES04,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",31163.12
2024-01-01,RN-SEV-ES04,D,alimentacion_hosteleria,Alimentación y Hostelería,2182.63
2024-01-01,RN-SEV-ES05,D,moda_belleza,Moda y Belleza,134258.96
2024-01-01,RN-SEV-ES05,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",29781.94
2024-01-01,RN-SEV-ES05,D,alimentacion_hosteleria,Alimentación y Hostelería,2085.9
2024-01-01,RN-SEV-ES06,D,moda_belleza,Moda y Belleza,184401.98
2024-01-01,RN-SEV-ES06,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",40904.9
2024-01-01,RN-SEV-ES06,D,alimentacion_hosteleria,Alimentación y Hostelería,2864.94
2024-01-01,RN-SEV-ES07,D,moda_belleza,Moda y Belleza,191344.82
2024-01-01,RN-SEV-ES07,D,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",42444.99
