fecha,grupo,pedidos,ventas_eur,ventas_moda_belleza_eur,ventas_hogar_electronica_eur,ventas_alimentacion_hosteleria_eur,ticket_medio_eur,pct_recogida_en_tienda
2024-01-12,B,2261,131673.53,63314.62,62618.85,5740.06,58.24,0.281
2024-01-12,C,1033,67487.22,29893.67,29440.73,8152.82,65.33,0.282
2024-01-12,D,560,37415.6,17002.01,18064.63,2348.96,66.81,0.29
2024-01-12,E,932,54095.6,24729.42,26893.24,2472.94,58.04,0.363
2024-01-13,A,3585,212904.82,106664.05,97775.38,8465.4,59.39,0.256
2024-01-13,B,1977,136600.44,65683.7,64961.9,5954.84,69.09,0.289
2024-01-13,C,1040,65168.97,28866.79,28429.42,7872.76,62.66,0.331
2024-01-13,D,706,43263.87,19659.52,20888.24,2716.12,61.28,0.322
2024-01-13,E,778,44060.06,20141.74,21904.15,2014.17,56.63,0.449
2024-01-14,A,3199,200436.12,100417.3,92049.19,7969.63,62.66,0.307
2024-01-14,B,2053,133929.2,64399.24,63691.56,5838.39,65.24,0.266
2024-01-14,C,1071,58229.09,25792.75,25401.95,7034.39,54.37,0.304
2024-01-14,D,678,38034.4,17283.19,18363.39,2387.81,56.1,0.244
2024-01-14,E,756,47459.21,21695.64,23594.01,2169.56,62.78,0.407
2024-01-15,A,4173,265630.06,133079.08,121989.15,10561.83,63.65,0.27
2024-01-15,B,2375,158466.13,76197.72,75360.38,6908.03,66.72,0.322
2024-01-15,C,1164,68136.32,30181.19,29723.9,8231.23,58.54,0.285
2024-01-15,D,697,41360.17,18794.46,19969.11,2596.6,59.34,0.286
2024-01-15,E,915,60503.83,27658.89,30079.05,2765.89,66.12,0.429
2024-01-16,A,4121,240894.83,120686.88,110629.64,9578.32,58.46,0.32
2024-01-16,B,2350,148775.05,71537.81,70751.68,6485.57,63.31,0.25
2024-01-16,C,823,55462.6,24567.32,24195.09,6700.18,67.39,0.298
2024-01-16,D,510,29379.37,13350.27,14184.66,1844.44,57.61,0.225
2024-01-16,E,810,51375.69,23486.03,25541.06,2348.6,63.43,0.421
2024-01-17,A,3879,232821.57,116642.22,106922.03,9257.32,60.02,0.328
2024-01-17,B,1941,137243.02,65992.68,65267.49,5982.85,70.71,0.274
2024-01-17,C,1162,71880.4,31839.64,31357.22,8683.54,61.86,0.301
2024-01-17,D,712,44746.59,20333.28,21604.11,2809.2,62.85,0.294
2024-01-17,E,710,49812.24,22771.31,24763.8,2277.13,70.16,0.428
2024-01-18,A,4164,236530.55,118500.4,108625.36,9404.79,56.8,0.261
2024-01-18,B,2164,129969.97,62495.47,61808.7,5665.8,60.06,0.289
2024-01-18,C,1033,60438.11,26771.24,26365.62,7301.25,58.51,0.281
2024-01-18,D,808,42658.81,19384.57,20596.11,2678.13,52.8,0.277
2024-01-18,E,818,53075.07,24262.89,26385.89,2426.29,64.88,0.476
2024-01-19,A,3414,216502.04,108466.23,99427.38,8608.43,63.42,0.277
2024-01-19,B,2494,140822.25,67713.74,66969.63,6138.88,56.46,0.291
2024-01-19,C,889,55014.38,24368.79,23999.56,6646.03,61.88,0.285
2024-01-19,D,531,33562.3,15251.03,16204.22,2107.05,63.21,0.266
2024-01-19,E,844,53521.84,24467.12,26608.0,2446.71,63.41,0.353
2024-01-20,A,4299,251439.64,125969.76,115472.28,9997.6,58.49,0.228
2024-01-20,B,2078,121048.74,58205.73,57566.11,5276.89,58.25,0.262
2024-01-20,C,956,57769.86,25589.34,25201.62,6978.91,60.43,0.265
2024-01-20,D,607,34174.71,15529.32,16499.9,2145.5,56.3,0.317
2024-01-20,E,781,45051.82,20595.12,22397.19,2059.51,57.68,0.393
2024-01-21,A,3400,206011.75,103210.66,94609.77,8191.32,60.59,0.298
2024-01-21,B,2002,132247.31,63590.51,62891.72,5765.07,66.06,0.267
2024-01-21,C,806,54508.53,24144.72,23778.89,6584.92,67.63,0.308
2024-01-21,D,595,35834.04,16283.33,17301.04,2249.67,60.23,0.276
2024-01-21,E,958,59046.16,26992.53,29354.37,2699.25,61.63,0.446
2024-01-22,A,4313,267276.1,133903.73,122745.09,10627.28,61.97,0.262
2024-01-22,B,2429,137042.4,65896.21,65172.08,5974.11,56.42,0.294
2024-01-22,C,1056,67430.15,29868.39,29415.84,8145.92,63.85,0.274
2024-01-22,D,465,28975.57,13166.78,13989.7,1819.09,62.31,0.305
2024-01-22,E,862,56524.59,25839.81,28100.8,2583.98,65.57,0.367
2024-01-23,A,4127,252420.44,126461.14,115922.71,10036.6,61.16,0.273
2024-01-23,B,2353,141906.46,68235.07,67485.24,6186.15,60.31,0.319
2024-01-23,C,1075,68599.5,30386.36,29925.96,8287.19,63.81,0.236
2024-01-23,D,747,47093.91,21399.92,22737.42,2956.57,63.04,0.328
2024-01-23,E,819,46095.56,21072.26,22916.08,2107.23,56.28,0.431
2024-01-24,A,4483,278045.81,139299.29,127691.02,11055.5,62.02,0.323
2024-01-24,B,2817,175661.43,84466.0,83537.8,7657.63,62.36,0.3
2024-01-24,C,1111,66286.36,29361.74,28916.87,8007.75,59.66,0.25
2024-01-24,D,697,40500.66,18403.89,19554.13,2542.64,58.11,0.289
2024-01-24,E,961,58871.02,26912.46,29267.31,2691.25,61.26,0.398
2024-01-25,A,3886,256300.66,128405.1,117704.67,10190.88,65.95,0.278
2024-01-25,B,2292,134755.19,64796.42,64084.37,5874.4,58.79,0.311
2024-01-25,C,1004,70697.12,31315.5,30841.02,8540.59,70.42,0.321
2024-01-25,D,744,41313.26,18773.14,19946.46,2593.66,55.53,0.297
2024-01-25,E,861,51409.7,23501.58,25557.96,2350.16,59.71,0.487
2024-01-26,A,3820,231408.98,115934.52,106273.31,9201.15,60.58,0.288
2024-01-26,B,1705,119282.52,57356.46,56726.17,5199.9,69.96,0.284
2024-01-26,C,1128,61756.22,27355.1,26940.63,7460.48,54.75,0.296
2024-01-26,D,605,41957.8,19066.03,20257.65,2634.12,69.35,0.268
2024-01-26,E,904,47163.61,21560.51,23447.05,2156.05,52.17,0.426
2024-01-27,A,3901,223048.25,111745.84,102433.69,8868.72,57.18,0.263
2024-01-27,B,2127,126023.77,60597.95,59932.04,5493.77,59.25,0.316
2024-01-27,C,984,61036.63,27036.36,26626.72,7373.55,62.03,0.273
2024-01-27,D,540,30152.57,13701.61,14557.97,1892.99,55.84,0.276
2024-01-27,E,808,51965.48,23755.65,25834.26,2375.56,64.31,0.424
2024-01-28,A,3721,230672.22,115565.41,105934.96,9171.86,61.99,0.267
2024-01-28,B,2736,161112.49,77470.21,76618.89,7023.4,58.89,0.306
2024-01-28,C,1024,61215.79,27115.72,26704.88,7395.2,59.78,0.245
2024-01-28,D,602,40532.6,18418.4,19569.55,2544.65,67.33,0.294
2024-01-28,E,808,48688.69,22257.69,24205.23,2225.77,60.26,0.386
2024-01-29,A,5108,268139.11,134336.09,123141.42,10661.59,52.49,0.29
2024-01-29,B,2958,159388.53,76641.25,75799.04,6948.25,53.88,0.308
2024-01-29,C,1062,61599.04,27285.48,26872.06,7441.49,58.0,0.241
2024-01-29,D,667,40655.62,18474.3,19628.95,2552.37,60.95,0.298
2024-01-29,E,822,56464.18,25812.2,28070.76,2581.22,68.69,0.354
2024-01-30,A,3981,257735.66,129124.03,118363.69,10247.94,64.74,0.216
2024-01-30,B,2497,154412.4,74248.5,73432.58,6731.32,61.84,0.286
2024-01-30,C,1041,60300.23,26710.17,26305.47,7284.59,57.93,0.226
2024-01-30,D,563,33147.5,15062.54,16003.95,2081.01,58.88,0.275
2024-01-30,E,835,52453.21,23978.61,26076.74,2397.86,62.82,0.462
2024-01-31,A,4069,271787.16,136163.75,124816.77,10806.65,66.79,0.281
2024-01-31,B,2229,141700.14,68135.87,67387.12,6177.15,63.57,0.326
2024-01-31,C,1199,75223.8,33320.61,32815.75,9087.44,62.74,0.269
2024-01-31,D,663,39427.31,17916.15,19035.9,2475.26,59.47,0.258
2024-01-31,E,817,50398.1,23039.13,25055.05,2303.91,61.69,0.394
2024-02-01,A,3419,213194.4,106809.12,97908.36,8476.91,62.36,0.273
2024-02-01,B,2317,136885.96,65820.99,65097.68,5967.29,59.08,0.291
2024-02-01,C,1159,74601.9,33045.14,32544.45,9012.31,64.37,0.286
2024-02-01,D,605,37419.32,17003.7,18066.43,2349.2,61.85,0.244
2024-02-01,E,909,54861.88,25079.72,27274.19,2507.97,60.35,0.401
2024-02-02,A,3536,220920.06,110679.63,101456.33,8784.1,62.48,0.239
2024-02-02,B,1705,105836.89,50891.18,50331.94,4613.76,62.07,0.242
2024-02-02,C,923,58414.38,25874.83,25482.78,7056.77,63.29,0.272
2024-02-02,D,543,36352.67,16519.0,17551.44,2282.23,66.95,0.282
2024-02-02,E,938,56751.54,25943.56,28213.62,2594.36,60.5,0.387
2024-02-03,A,3951,237928.25,119200.63,109267.25,9460.37,60.22,0.287
2024-02-03,B,1651,93660.89,45036.41,44541.51,4082.97,56.73,0.328
2024-02-03,C,1074,63461.62,28110.51,27684.6,7666.5,59.09,0.264
2024-02-03,D,522,32335.69,14693.65,15612.0,2030.04,61.95,0.271
2024-02-03,E,810,47954.08,21921.87,23840.03,2192.19,59.2,0.446
2024-02-04,A,3216,209062.81,104739.22,96010.95,8312.64,65.01,0.293
2024-02-04,B,2426,136160.02,65471.93,64752.46,5935.64,56.13,0.285
2024-02-04,C,852,55017.13,24370.01,24000.76,6646.37,64.57,0.341
2024-02-04,D,557,34556.96,15703.01,16684.45,2169.5,62.04,0.326
2024-02-04,E,932,55419.19,25334.49,27551.26,2533.45,59.46,0.357
2024-02-05,A,4170,252144.91,126323.1,115796.17,10025.64,60.47,0.271
2024-02-05,B,2235,138021.07,66366.8,65637.5,6016.77,61.75,0.249
2024-02-05,C,1051,61673.88,27318.63,26904.71,7450.54,58.68,0.316
2024-02-05,D,686,43403.02,19722.75,20955.42,2724.85,63.27,0.306
2024-02-05,E,940,59663.37,27274.68,29661.22,2727.47,63.47,0.463
2024-02-06,A,3575,217573.62,109003.08,99919.49,8651.04,60.86,0.265
2024-02-06,B,1976,111152.02,53446.94,52859.61,4845.46,56.25,0.275
2024-02-06,C,1217,79710.02,35307.8,34772.83,9629.4,65.5,0.284
2024-02-06,D,478,31460.32,14295.87,15189.36,1975.09,65.82,0.326
2024-02-06,E,886,54145.52,24752.24,26918.06,2475.22,61.11,0.431
2024-02-07,A,3915,250223.83,125360.65,114913.92,9949.26,63.91,0.304
2024-02-07,B,2376,153303.64,73715.36,72905.3,6682.99,64.52,0.293
2024-02-07,C,797,54249.34,24029.91,23665.82,6553.61,68.07,0.28
2024-02-07,D,672,43182.09,19622.35,20848.75,2710.98,64.26,0.307
2024-02-07,E,1002,58338.12,26668.86,29002.38,2666.89,58.22,0.378
2024-02-08,A,3842,248937.54,124716.22,114323.21,9898.11,64.79,0.211
2024-02-08,B,2529,156061.96,75041.68,74217.05,6803.23,61.71,0.294
2024-02-08,C,1053,60867.81,26961.58,26553.07,7353.16,57.8,0.324
2024-02-08,D,579,38881.77,17668.25,18772.51,2441.01,67.15,0.285
2024-02-08,E,913,56739.34,25937.98,28207.56,2593.8,62.15,0.441
2024-02-09,A,3987,247178.7,123835.05,113515.47,9828.18,62.0,0.258
2024-02-09,B,2221,134971.79,64900.57,64187.38,5883.84,60.77,0.317
2024-02-09,C,807,49557.57,21951.67,21619.07,5986.82,61.41,0.273
2024-02-09,D,553,37585.74,17079.32,18146.78,2359.64,67.97,0.298
2024-02-09,E,887,52230.96,23877.01,25966.25,2387.7,58.88,0.405
2024-02-10,A,3460,242771.53,121627.09,111491.5,9652.94,70.17,0.243
2024-02-10,B,2409,134889.21,64860.86,64148.1,5880.24,55.99,0.272
2024-02-10,C,987,57331.36,25395.1,25010.33,6925.94,58.09,0.259
2024-02-10,D,526,33189.75,15081.74,16024.35,2083.66,63.1,0.294
2024-02-10,E,734,43458.01,19866.52,21604.84,1986.65,59.21,0.436
2024-02-11,A,3164,192561.23,96472.03,88432.69,7656.51,60.86,0.201
2024-02-11,B,2082,127042.09,61087.61,60416.32,5538.16,61.02,0.282
2024-02-11,C,808,53315.28,23616.16,23258.34,6440.77,65.98,0.301
2024-02-11,D,632,40023.18,18186.91,19323.6,2512.67,63.33,0.242
2024-02-11,E,831,49401.5,22583.54,24559.6,2258.35,59.45,0.453
2024-02-12,A,5000,299878.54,150237.36,137717.58,11923.6,59.98,0.268
2024-02-12,B,2559,151692.08,72940.44,72138.9,6612.73,59.28,0.235
2024-02-12,C,1185,67975.61,30110.0,29653.79,8211.82,57.36,0.256
2024-02-12,D,581,36026.93,16370.98,17394.17,2261.78,62.01,0.318
2024-02-12,E,1117,61786.47,28245.24,30716.7,2824.52,55.31,0.416
2024-02-13,A,4085,261420.57,130970.15,120055.97,10394.46,64.0,0.292
2024-02-13,B,1814,121508.2,58426.66,57784.61,5296.92,66.98,0.25
2024-02-13,C,1021,62712.3,27778.6,27357.71,7575.98,61.42,0.249
2024-02-13,D,622,39413.71,17909.97,19029.34,2474.4,63.37,0.292
2024-02-13,E,753,44238.9,20223.5,21993.05,2022.35,58.75,0.396
2024-02-14,A,3552,230032.76,115245.04,105641.29,9146.43,64.76,0.283
2024-02-14,B,2268,149115.14,71701.33,70913.41,6500.4,65.75,0.214
2024-02-14,C,1029,64743.47,28678.32,28243.8,7821.36,62.92,0.279
2024-02-14,D,528,34536.57,15693.75,16674.61,2168.21,65.41,0.297
2024-02-14,E,907,60898.69,27839.4,30275.35,2783.94,67.14,0.412
2024-02-15,A,3944,233183.8,116823.69,107088.38,9271.72,59.12,0.292
2024-02-15,B,2096,139924.39,67282.0,66542.64,6099.74,66.76,0.298
2024-02-15,C,1291,68505.3,30344.63,29884.86,8275.81,53.06,0.294
2024-02-15,D,557,35133.16,15964.84,16962.65,2205.67,63.08,0.283
2024-02-15,E,800,49913.79,22817.73,24814.29,2281.77,62.39,0.432
2024-02-16,A,3591,213255.77,106839.87,97936.55,8479.35,59.39,0.192
2024-02-16,B,1851,121687.21,58512.74,57869.74,5304.73,65.74,0.294
2024-02-16,C,734,48163.76,21334.28,21011.03,5818.44,65.62,0.233
2024-02-16,D,548,37859.03,17203.5,18278.72,2376.8,69.09,0.259
2024-02-16,E,728,44126.77,20172.24,21937.31,2017.22,60.61,0.415
2024-02-17,A,3715,215864.9,108147.03,99134.77,8583.1,58.11,0.306
2024-02-17,B,1682,103832.68,49927.47,49378.82,4526.39,61.73,0.24
2024-02-17,C,947,59619.61,26408.68,26008.55,7202.37,62.96,0.273
2024-02-17,D,681,39378.19,17893.83,19012.19,2472.17,57.82,0.213
2024-02-17,E,741,44742.07,20453.52,22243.2,2045.35,60.38,0.38
2024-02-18,A,3947,216391.32,108410.76,99376.53,8604.03,54.82,0.238
2024-02-18,B,1942,121527.83,58436.1,57793.95,5297.78,62.58,0.293
2024-02-18,C,928,56445.53,25002.72,24623.89,6818.92,60.82,0.227
2024-02-18,D,550,34926.11,15870.76,16862.68,2192.67,63.5,0.299
2024-02-18,E,699,45679.38,20882.0,22709.18,2088.2,65.35,0.442
2024-02-19,A,2990,195106.24,97747.06,89601.47,7757.7,65.25,0.24
2024-02-19,B,2491,156040.81,75031.51,74206.99,6802.31,62.64,0.277
2024-02-19,C,714,50572.63,22401.3,22061.89,6109.45,70.83,0.265
2024-02-19,D,626,35297.97,16039.74,17042.22,2216.02,56.39,0.285
2024-02-19,E,631,44322.87,20261.88,22034.8,2026.19,70.24,0.436
2024-02-20,A,4296,253183.04,126843.19,116272.93,10066.92,58.93,0.304
2024-02-20,B,1755,115462.37,55519.56,54909.45,5033.37,65.79,0.26
2024-02-20,C,910,65684.53,29095.16,28654.32,7935.04,72.18,0.234
2024-02-20,D,553,36726.8,16689.01,17732.07,2305.72,66.41,0.271
2024-02-20,E,898,54051.4,24709.21,26871.27,2470.92,60.19,0.416
2024-02-21,A,3312,202977.77,101690.65,93216.43,8070.69,61.29,0.262
2024-02-21,B,2053,116342.43,55942.73,55327.97,5071.73,56.67,0.257
2024-02-21,C,917,53927.72,23887.45,23525.52,6514.76,58.81,0.226
2024-02-21,D,546,38374.83,17437.89,18527.76,2409.18,70.28,0.276
2024-02-21,E,771,49726.09,22731.93,24720.97,2273.19,64.5,0.386
2024-02-22,A,3194,206289.0,103349.56,94737.09,8202.35,64.59,0.31
2024-02-22,B,2144,130596.07,62796.53,62106.46,5693.09,60.91,0.274
2024-02-22,C,860,54742.29,24248.26,23880.87,6613.16,63.65,0.256
2024-02-22,D,595,37969.79,17253.84,18332.2,2383.75,63.81,0.246
2024-02-22,E,563,37661.72,17216.78,18723.25,1721.68,66.89,0.427
2024-02-23,A,3355,195218.76,97803.43,89653.15,7762.18,58.19,0.294
2024-02-23,B,1545,106676.43,51294.87,50731.19,4650.36,69.05,0.311
2024-02-23,C,770,44362.65,19650.57,19352.84,5359.25,57.61,0.316
2024-02-23,D,574,31982.5,14533.15,15441.48,2007.87,55.72,0.266
2024-02-23,E,790,47292.94,21619.63,23511.35,2161.96,59.86,0.398
2024-02-24,A,3361,196311.05,98350.66,90154.78,7805.61,58.41,0.262
2024-02-24,B,2242,116716.09,56122.4,55505.67,5088.02,52.06,0.274
2024-02-24,C,741,43673.18,19345.17,19052.06,5275.96,58.94,0.292
2024-02-24,D,545,31158.5,14158.72,15043.64,1956.14,57.17,0.223
2024-02-24,E,603,41216.71,18841.92,20490.59,1884.19,68.35,0.336
2024-02-25,A,3538,205378.79,102893.55,94319.09,8166.15,58.05,0.267
2024-02-25,B,1761,123195.2,59237.85,58586.89,5370.46,69.96,0.271
2024-02-25,C,843,54296.17,24050.65,23686.25,6559.27,64.41,0.273
2024-02-25,D,421,26140.2,11878.36,12620.76,1641.09,62.09,0.247
2024-02-25,E,515,34374.52,15714.07,17089.05,1571.41,66.75,0.38
2024-02-26,A,4310,256180.53,128344.92,117649.51,10186.1,59.44,0.262
2024-02-26,B,2184,124126.59,59685.7,59029.82,5411.07,56.83,0.292
2024-02-26,C,759,49096.93,21747.63,21418.12,5931.17,64.69,0.313
2024-02-26,D,554,36156.35,16429.79,17456.65,2269.91,65.26,0.264
2024-02-26,E,733,49486.15,22622.24,24601.68,2262.22,67.51,0.394
2024-02-27,A,3742,228464.15,114459.17,104920.91,9084.06,61.05,0.277
2024-02-27,B,1910,124846.11,60031.68,59371.99,5442.43,65.36,0.244
2024-02-27,C,1022,63724.13,28226.79,27799.12,7698.22,62.35,0.268
2024-02-27,D,623,40420.51,18367.47,19515.43,2537.61,64.88,0.25
2024-02-27,E,787,49598.54,22673.62,24657.56,2267.36,63.02,0.424
2024-02-28,A,2364,162425.66,81374.29,74593.09,6458.28,68.71,0.272
2024-02-28,B,2351,153031.77,73584.63,72776.01,6671.13,65.09,0.261
2024-02-28,C,995,65365.32,28953.76,28515.07,7896.48,65.69,0.297
2024-02-28,D,506,30087.92,13672.24,14526.75,1888.93,59.46,0.263
2024-02-28,E,880,53837.42,24611.39,26764.89,2461.14,61.18,0.419
2024-02-29,A,3172,190528.32,95453.55,87499.09,7575.68,60.07,0.294
2024-02-29,B,2053,132021.11,63481.75,62784.15,5755.21,64.31,0.325
2024-02-29,C,1157,67059.18,29704.07,29254.01,8101.11,57.96,0.347
2024-02-29,D,605,35290.41,16036.3,17038.57,2215.54,58.33,0.34
2024-02-29,E,840,55435.62,25342.0,27559.42,2534.2,65.99,0.39
2024-03-01,A,4348,255272.9,127890.2,117232.68,10150.02,58.71,0.3
2024-03-01,B,2144,144428.28,69447.68,68684.52,6296.08,67.36,0.288
2024-03-01,C,877,57134.18,25307.76,24924.31,6902.12,65.15,0.29
2024-03-01,D,523,35723.84,16233.25,17247.83,2242.75,68.31,0.245
2024-03-01,E,592,41876.44,19143.52,20818.57,1914.35,70.74,0.405
2024-03-02,A,2619,171296.3,85818.43,78666.89,6810.99,65.41,0.267
2024-03-02,B,2197,132137.21,63537.58,62839.36,5760.27,60.14,0.273
2024-03-02,C,918,53436.11,23669.69,23311.05,6455.37,58.21,0.288
2024-03-02,D,676,42635.11,19373.8,20584.67,2676.64,63.07,0.235
2024-03-02,E,701,45969.04,21014.42,22853.18,2101.44,65.58,0.393
2024-03-03,A,3667,225548.3,112998.35,103581.82,8968.12,61.51,0.264
2024-03-03,B,1860,119983.37,57693.46,57059.46,5230.45,64.51,0.29
2024-03-03,C,1053,61650.59,27308.31,26894.55,7447.72,58.55,0.234
2024-03-03,D,497,32298.81,14676.89,15594.19,2027.73,64.99,0.27
2024-03-03,E,638,43080.44,19693.92,21417.13,1969.39,67.52,0.413
2024-03-04,A,3773,265189.12,132858.17,121786.65,10544.3,70.29,0.277
2024-03-04,B,1934,122980.79,59134.75,58484.92,5361.12,63.59,0.319
2024-03-04,C,1107,71233.75,31553.21,31075.13,8605.42,64.35,0.305
2024-03-04,D,627,32112.82,14592.37,15504.4,2016.05,51.22,0.301
2024-03-04,E,983,60435.34,27627.58,30045.0,2762.76,61.48,0.382
2024-03-05,A,3446,214726.03,107576.46,98611.76,8537.81,62.31,0.277
2024-03-05,B,2899,182947.73,87969.58,87002.88,7975.26,63.11,0.331
2024-03-05,C,1044,64223.95,28448.19,28017.16,7758.6,61.52,0.239
2024-03-05,D,780,49269.04,22388.32,23787.59,3093.12,63.17,0.272
2024-03-05,E,937,54719.61,25014.68,27203.46,2501.47,58.4,0.439
2024-03-06,A,4035,223846.39,112145.71,102800.23,8900.45,55.48,0.31
2024-03-06,B,2536,159856.78,76866.41,76021.72,6968.66,63.04,0.265
2024-03-06,C,810,52066.66,23063.08,22713.64,6289.93,64.28,0.284
2024-03-06,D,737,44990.16,20443.96,21721.7,2824.49,61.04,0.218
2024-03-06,E,878,58839.51,26898.06,29251.64,2689.81,67.02,0.422
2024-03-07,A,4365,260616.85,130567.49,119686.86,10362.5,59.71,0.339
2024-03-07,B,3057,172153.58,82779.27,81869.6,7504.71,56.31,0.331
2024-03-07,C,1023,64819.95,28712.19,28277.16,7830.6,63.36,0.306
2024-03-07,D,527,34589.47,15717.79,16700.15,2171.54,65.63,0.305
2024-03-07,E,941,59019.27,26980.24,29341.01,2698.02,62.72,0.361
2024-03-08,A,2915,170735.06,85537.25,78409.14,6788.67,58.57,0.29
2024-03-08,B,2162,134132.89,64497.19,63788.43,5847.27,62.04,0.292
2024-03-08,C,905,56921.16,25213.4,24831.38,6876.38,62.9,0.302
2024-03-08,D,618,39816.14,18092.84,19223.64,2499.67,64.43,0.303
2024-03-08,E,691,41708.39,19066.69,20735.03,1906.67,60.36,0.383
2024-03-09,A,3369,206389.28,103399.8,94783.15,8206.33,61.26,0.274
2024-03-09,B,2583,161552.72,77681.89,76828.24,7042.59,62.54,0.274
2024-03-09,C,860,53957.41,23900.6,23538.47,6518.35,62.74,0.274
2024-03-09,D,640,39144.75,17787.75,18899.49,2457.52,61.16,0.317
2024-03-09,E,782,47194.09,21574.44,23462.2,2157.44,60.35,0.408
2024-03-10,A,3657,236830.69,118650.76,108763.2,9416.73,64.76,0.268
2024-03-10,B,2139,139473.1,67065.0,66328.03,6080.07,65.2,0.279
2024-03-10,C,1024,64620.98,28624.06,28190.36,7806.56,63.11,0.276
2024-03-10,D,552,34353.48,15610.55,16586.21,2156.72,62.23,0.296
