mes,grupo,empleados,pct_temporales,pct_rotacion,accidentes_con_baja,horas_formacion,pct_mujeres_direccion,brecha_salarial
2024-11-01,A,2360,0.2967,0.0187,8,3073.0,0.3648,0.1144
2024-11-01,B,1502,0.2554,0.0184,5,2220.7,0.3733,0.1093
2024-11-01,C,1002,0.2976,0.0219,3,968.3,0.2964,0.1452
2024-11-01,D,790,0.2528,0.0015,4,537.3,0.2456,0.1475
2024-11-01,E,633,0.1401,0.011,1,1193.6,0.4499,0.0673
2024-12-01,A,2382,0.2701,0.0093,0,2914.8,0.3348,0.105
2024-12-01,B,1502,0.2338,0.0156,4,2109.0,0.4009,0.0998
2024-12-01,C,1012,0.3027,0.0224,4,743.4,0.2673,0.1395
2024-12-01,D,800,0.2605,0.0152,3,621.9,0.2444,0.1281
2024-12-01,E,638,0.172,0.0104,1,782.2,0.4353,0.0484
2025-01-01,A,2060,0.2305,0.0171,3,2017.0,0.3195,0.1089
2025-01-01,B,1361,0.1943,0.0218,2,2091.3,0.3766,0.1075
2025-01-01,C,895,0.2757,0.0193,4,762.6,0.3034,0.1413
2025-01-01,D,687,0.2312,0.0115,5,400.6,0.3156,0.1352
2025-01-01,E,555,0.1418,0.0061,1,797.7,0.489,0.0616
2025-02-01,A,2029,0.2089,0.0215,9,2562.3,0.3567,0.1094
2025-02-01,B,1352,0.2005,0.0121,4,1398.9,0.3657,0.1045
2025-02-01,C,897,0.2757,0.0255,2,728.8,0.2934,0.1189
2025-02-01,D,692,0.2063,0.0058,3,513.5,0.2355,0.1404
2025-02-01,E,571,0.1572,0.0036,1,952.0,0.4672,0.0533
2025-03-01,A,1979,0.2453,0.025,7,3104.1,0.3613,0.1222
2025-03-01,B,1337,0.2017,0.0091,6,2053.4,0.3341,0.0966
2025-03-01,C,905,0.2723,0.0189,4,885.3,0.3117,0.1246
2025-03-01,D,674,0.2302,0.0129,3,520.8,0.2768,0.1423
2025-03-01,E,578,0.1469,0.0081,1,1212.8,0.4655,0.0623
2025-04-01,A,2044,0.2278,0.0115,8,2176.7,0.3533,0.1235
2025-04-01,B,1330,0.199,0.0183,4,1830.1,0.3447,0.1052
2025-04-01,C,921,0.2637,0.0168,3,851.7,0.2782,0.1425
2025-04-01,D,673,0.2671,0.0156,2,616.0,0.2618,0.1321
2025-04-01,E,551,0.1606,0.0071,1,739.5,0.4307,0.0514
2025-05-01,A,2070,0.2334,0.0236,9,2421.0,0.3511,0.1148
2025-05-01,B,1335,0.2014,0.0172,5,1747.0,0.376,0.1096
2025-05-01,C,897,0.267,0.0259,5,896.2,0.2941,0.1341
2025-05-01,D,676,0.2352,0.0227,3,483.3,0.2575,0.1376
2025-05-01,E,556,0.1412,0.0152,1,1057.6,0.3987,0.0679
2025-06-01,A,2064,0.2512,0.0202,7,2336.8,0.389,0.1187
2025-06-01,B,1325,0.2177,0.0156,3,1863.3,0.3783,0.1103
2025-06-01,C,906,0.2895,0.0226,2,742.2,0.2824,0.1317
2025-06-01,D,688,0.2224,0.0182,2,462.1,0.2796,0.1453
2025-06-01,E,559,0.1459,0.0154,1,881.9,0.4886,0.0409
2025-07-01,A,2088,0.2331,0.0186,6,1619.3,0.3538,0.1306
2025-07-01,B,1347,0.2168,0.0144,2,1773.7,0.3857,0.0849
2025-07-01,C,899,0.2614,0.017,3,766.3,0.3182,0.1244
2025-07-01,D,691,0.2468,0.0159,2,539.3,0.252,0.1299
2025-07-01,E,555,0.1218,0.0095,1,898.3,0.4633,0.0606
2025-08-01,A,2008,0.2361,0.0222,7,2518.0,0.3358,0.122
2025-08-01,B,1373,0.2297,0.0079,4,2056.2,0.3985,0.1078
2025-08-01,C,911,0.2987,0.0229,4,724.2,0.2796,0.1237
2025-08-01,D,690,0.2503,0.0037,4,578.6,0.2619,0.1427
2025-08-01,E,544,0.1369,0.0102,2,885.1,0.4332,0.0575
2025-09-01,A,2023,0.2462,0.0179,1,2431.9,0.3309,0.1106
2025-09-01,B,1373,0.2082,0.0063,3,2007.2,0.3902,0.1057
2025-09-01,C,865,0.2744,0.0208,5,632.6,0.277,0.1388
2025-09-01,D,687,0.2375,0.0136,4,486.8,0.276,0.1451
2025-09-01,E,565,0.1315,0.0128,1,845.5,0.4653,0.0561
2025-10-01,A,2021,0.2228,0.017,5,2444.1,0.3671,0.1133
2025-10-01,B,1349,0.1809,0.0195,4,1903.6,0.3515,0.1045
2025-10-01,C,912,0.2679,0.0146,1,722.6,0.2882,0.1335
2025-10-01,D,690,0.2213,0.0203,2,442.8,0.2364,0.1467
2025-10-01,E,564,0.1275,0.0114,1,806.0,0.4219,0.0601
2025-11-01,A,2358,0.2577,0.0199,9,2686.8,0.3137,0.1252
2025-11-01,B,1525,0.2082,0.0226,5,1798.8,0.3702,0.1169
2025-11-01,C,1023,0.3135,0.0205,5,1068.0,0.2684,0.1205
2025-11-01,D,795,0.2449,0.0185,4,692.0,0.2635,0.1419
2025-11-01,E,639,0.1563,0.0067,1,1239.5,0.5012,0.0654
2025-12-01,A,2371,0.2952,0.0225,3,2595.0,0.3221,0.1166
2025-12-01,B,1541,0.2191,0.0166,4,2279.4,0.3493,0.107
2025-12-01,C,1033,0.3307,0.0214,6,1076.7,0.3134,0.1218
2025-12-01,D,790,0.2468,0.0132,4,690.3,0.2548,0.1416
2025-12-01,E,625,0.1437,0.0051,1,967.1,0.4674,0.0538
