mes,matricula,grupo,tipo,km,km_en_vacio,litros,coste_eur,co2e_kg
2024-05-01,RN-MAD-F004,A,furgoneta,2078.0,374.0,197.4,280.32,529.1
2024-06-01,RN-MAD-F004,A,furgoneta,2236.8,402.6,212.5,301.74,569.5
2024-07-01,RN-MAD-F004,A,furgoneta,2213.4,398.4,210.3,298.59,563.5
2024-08-01,RN-MAD-F004,A,furgoneta,2158.6,388.5,205.1,291.19,549.6
2024-09-01,RN-MAD-F004,A,furgoneta,2281.5,410.7,216.7,307.77,580.9
2024-10-01,RN-MAD-F004,A,furgoneta,2378.2,428.1,225.9,320.82,605.5
2024-11-01,RN-MAD-F004,A,furgoneta,2279.3,410.3,216.5,307.47,580.3
2024-12-01,RN-MAD-F004,A,furgoneta,2791.8,502.5,265.2,376.62,710.8
2025-01-01,RN-MAD-F004,A,furgoneta,1818.2,327.3,172.7,245.27,462.9
2025-02-01,RN-MAD-F004,A,furgoneta,1730.0,311.4,164.4,233.38,440.5
2025-03-01,RN-MAD-F004,A,furgoneta,2090.7,376.3,198.6,282.03,532.3
2025-04-01,RN-MAD-F004,A,furgoneta,2047.2,368.5,194.5,276.16,521.2
2025-05-01,RN-MAD-F004,A,furgoneta,2155.0,387.9,204.7,290.71,548.7
2025-06-01,RN-MAD-F004,A,furgoneta,2254.1,405.7,214.1,304.08,573.9
2025-07-01,RN-MAD-F004,A,furgoneta,2524.7,454.4,239.8,340.58,642.8
2025-08-01,RN-MAD-F004,A,furgoneta,2334.4,420.2,221.8,314.92,594.3
2025-09-01,RN-MAD-F004,A,furgoneta,1999.2,359.8,189.9,269.69,509.0
2025-10-01,RN-MAD-F004,A,furgoneta,1874.5,337.4,178.1,252.87,477.2
2025-11-01,RN-MAD-F004,A,furgoneta,2172.5,391.0,206.4,293.06,553.1
2025-12-01,RN-MAD-F004,A,furgoneta,2746.6,494.4,260.9,370.51,699.3
2024-01-01,RN-MAD-F005,A,furgoneta,2084.6,375.2,202.4,287.4,542.4
2024-02-01,RN-MAD-F005,A,furgoneta,1869.9,336.6,181.6,257.8,486.6
2024-03-01,RN-MAD-F005,A,furgoneta,2127.3,382.9,206.5,293.29,553.5
2024-04-01,RN-MAD-F005,A,furgoneta,1983.2,357.0,192.6,273.42,516.0
2024-05-01,RN-MAD-F005,A,furgoneta,2342.5,421.6,227.4,322.95,609.5
2024-06-01,RN-MAD-F005,A,furgoneta,2301.1,414.2,223.4,317.24,598.7
2024-07-01,RN-MAD-F005,A,furgoneta,2140.1,385.2,207.8,295.05,556.9
2024-08-01,RN-MAD-F005,A,furgoneta,1948.7,350.8,189.2,268.67,507.1
2024-09-01,RN-MAD-F005,A,furgoneta,2178.3,392.1,211.5,300.32,566.8
2024-10-01,RN-MAD-F005,A,furgoneta,2445.9,440.3,237.5,337.21,636.4
2024-11-01,RN-MAD-F005,A,furgoneta,2130.3,383.5,206.8,293.71,554.3
2024-12-01,RN-MAD-F005,A,furgoneta,2580.6,464.5,250.5,355.78,671.5
2025-01-01,RN-MAD-F005,A,furgoneta,1937.8,348.8,188.1,267.16,504.2
2025-02-01,RN-MAD-F005,A,furgoneta,1897.0,341.5,184.2,261.54,493.6
2025-03-01,RN-MAD-F005,A,furgoneta,2121.1,381.8,205.9,292.43,551.9
2025-04-01,RN-MAD-F005,A,furgoneta,2033.3,366.0,197.4,280.33,529.1
2025-05-01,RN-MAD-F005,A,furgoneta,2165.7,389.8,210.3,298.58,563.5
2025-06-01,RN-MAD-F005,A,furgoneta,2169.2,390.4,210.6,299.06,564.4
2025-07-01,RN-MAD-F005,A,furgoneta,2218.2,399.3,215.4,305.82,577.2
2025-08-01,RN-MAD-F005,A,furgoneta,2311.9,416.1,224.5,318.73,601.6
2025-09-01,RN-MAD-F005,A,furgoneta,2323.6,418.2,225.6,320.34,604.6
2025-10-01,RN-MAD-F005,A,furgoneta,1921.5,345.9,186.6,264.92,500.0
2025-11-01,RN-MAD-F005,A,furgoneta,2177.6,392.0,211.4,300.22,566.6
2025-12-01,RN-MAD-F005,A,furgoneta,2570.7,462.7,249.6,354.41,668.9
2024-01-01,RN-MAD-F006,A,furgoneta,2208.6,397.5,209.8,297.94,562.3
2024-02-01,RN-MAD-F006,A,furgoneta,2162.3,389.2,205.4,291.7,550.5
2024-03-01,RN-MAD-F006,A,furgoneta,2085.3,375.4,198.1,281.31,530.9
2024-04-01,RN-MAD-F006,A,furgoneta,2341.9,421.5,222.5,315.92,596.2
2024-05-01,RN-MAD-F006,A,furgoneta,2272.1,409.0,215.8,306.5,578.5
2024-06-01,RN-MAD-F006,A,furgoneta,2175.0,391.5,206.6,293.41,553.8
2024-07-01,RN-MAD-F006,A,furgoneta,2350.6,423.1,223.3,317.1,598.5
2024-08-01,RN-MAD-F006,A,furgoneta,2257.5,406.4,214.5,304.54,574.8
2024-09-01,RN-MAD-F006,A,furgoneta,2549.0,458.8,242.2,343.87,649.0
2024-10-01,RN-MAD-F006,A,furgoneta,2286.7,411.6,217.2,308.48,582.2
2024-11-01,RN-MAD-F006,A,furgoneta,2449.8,441.0,232.7,330.47,623.7
2024-12-01,RN-MAD-F006,A,furgoneta,2614.3,470.6,248.4,352.67,665.6
2025-01-01,RN-MAD-F006,A,furgoneta,1850.0,333.0,175.7,249.56,471.0
2025-02-01,RN-MAD-F006,A,furgoneta,1749.0,314.8,166.2,235.94,445.3
2025-03-01,RN-MAD-F006,A,furgoneta,2107.5,379.3,200.2,284.3,536.6
2025-04-01,RN-MAD-F006,A,furgoneta,2290.1,412.2,217.6,308.94,583.1
2025-05-01,RN-MAD-F006,A,furgoneta,1845.9,332.3,175.4,249.01,470.0
2025-06-01,RN-MAD-F006,A,furgoneta,1937.6,348.8,184.1,261.38,493.3
2025-07-01,RN-MAD-F006,A,furgoneta,2404.1,432.7,228.4,324.31,612.1
2025-08-01,RN-MAD-F006,A,furgoneta,2048.2,368.7,194.6,276.3,521.5
2025-09-01,RN-MAD-F006,A,furgoneta,2085.6,375.4,198.1,281.35,531.0
2025-10-01,RN-MAD-F006,A,furgoneta,2014.9,362.7,191.4,271.81,513.0
2025-11-01,RN-MAD-F006,A,furgoneta,2176.2,391.7,206.7,293.56,554.1
2025-12-01,RN-MAD-F006,A,furgoneta,2621.3,471.8,249.0,353.62,667.4
2024-01-01,RN-MAD-F007,A,furgoneta,2015.0,362.7,191.4,271.83,513.0
2024-02-01,RN-MAD-F007,A,furgoneta,2218.5,399.3,210.8,299.27,564.8
2024-03-01,RN-MAD-F007,A,furgoneta,1862.9,335.3,177.0,251.31,474.3
2024-04-01,RN-MAD-F007,A,furgoneta,2598.6,467.7,246.9,350.55,661.6
2024-05-01,RN-MAD-F007,A,furgoneta,2105.9,379.1,200.1,284.09,536.2
2024-06-01,RN-MAD-F007,A,furgoneta,2299.0,413.8,218.4,310.14,585.3
2024-07-01,RN-MAD-F007,A,furgoneta,2302.9,414.5,218.8,310.67,586.3
2024-08-01,RN-MAD-F007,A,furgoneta,1985.7,357.4,188.6,267.87,505.6
2024-09-01,RN-MAD-F007,A,furgoneta,2088.6,376.0,198.4,281.76,531.8
2024-10-01,RN-MAD-F007,A,furgoneta,1917.3,345.1,182.1,258.64,488.1
2024-11-01,RN-MAD-F007,A,furgoneta,2449.9,441.0,232.7,330.5,623.8
2024-12-01,RN-MAD-F007,A,furgoneta,2599.8,468.0,247.0,350.72,661.9
2025-01-01,RN-MAD-F007,A,furgoneta,2040.1,367.2,193.8,275.21,519.4
2025-02-01,RN-MAD-F007,A,furgoneta,2012.6,362.3,191.2,271.5,512.4
2025-03-01,RN-MAD-F007,A,furgoneta,2371.0,426.8,225.2,319.85,603.7
2025-04-01,RN-MAD-F007,A,furgoneta,2244.0,403.9,213.2,302.72,571.3
2025-05-01,RN-MAD-F007,A,furgoneta,2182.5,392.8,207.3,294.42,555.7
2025-06-01,RN-MAD-F007,A,furgoneta,2167.3,390.1,205.9,292.36,551.8
2025-07-01,RN-MAD-F007,A,furgoneta,2035.0,366.3,193.3,274.52,518.1
2025-08-01,RN-MAD-F007,A,furgoneta,2219.3,399.5,210.8,299.39,565.0
2025-09-01,RN-MAD-F007,A,furgoneta,2073.1,373.2,196.9,279.66,527.8
2025-10-01,RN-MAD-F007,A,furgoneta,1903.0,342.5,180.8,256.72,484.5
2025-11-01,RN-MAD-F007,A,furgoneta,1848.8,332.8,175.6,249.4,470.7
2025-12-01,RN-MAD-F007,A,furgoneta,2398.7,431.8,227.9,323.58,610.7
2024-01-01,RN-MAD-F008,A,furgoneta,2019.4,363.5,196.1,278.41,525.5
2024-02-01,RN-MAD-F008,A,furgoneta,2110.5,379.9,204.9,290.97,549.2
2024-03-01,RN-MAD-F008,A,furgoneta,2147.0,386.5,208.5,296.01,558.7
2024-04-01,RN-MAD-F008,A,furgoneta,2044.1,367.9,198.5,281.81,531.9
2024-05-01,RN-MAD-F008,A,furgoneta,2261.0,407.0,219.5,311.72,588.3
2024-06-01,RN-MAD-F008,A,furgoneta,2163.3,389.4,210.0,298.25,562.9
2024-07-01,RN-MAD-F008,A,furgoneta,2329.6,419.3,226.2,321.18,606.2
2024-08-01,RN-MAD-F008,A,furgoneta,1964.5,353.6,190.7,270.84,511.2
2024-09-01,RN-MAD-F008,A,furgoneta,2101.9,378.3,204.1,289.78,546.9
2024-10-01,RN-MAD-F008,A,furgoneta,2397.4,431.5,232.8,330.52,623.8
2024-11-01,RN-MAD-F008,A,furgoneta,2328.2,419.1,226.0,320.98,605.8
2024-12-01,RN-MAD-F008,A,furgoneta,2651.3,477.2,257.4,365.53,689.9
2025-01-01,RN-MAD-F008,A,furgoneta,1856.0,334.1,180.2,255.88,482.9
2025-02-01,RN-MAD-F008,A,furgoneta,1921.4,345.9,186.5,264.9,500.0
2025-03-01,RN-MAD-F008,A,furgoneta,2292.5,412.6,222.6,316.06,596.5
2025-04-01,RN-MAD-F008,A,furgoneta,1912.2,344.2,185.7,263.63,497.5
2025-05-01,RN-MAD-F008,A,furgoneta,2053.2,369.6,199.3,283.07,534.2
2025-06-01,RN-MAD-F008,A,furgoneta,2418.9,435.4,234.9,333.49,629.4
2025-07-01,RN-MAD-F008,A,furgoneta,2056.4,370.2,199.7,283.51,535.1
2025-08-01,RN-MAD-F008,A,furgoneta,2022.7,364.1,196.4,278.86,526.3
2025-09-01,RN-MAD-F008,A,furgoneta,2189.4,394.1,212.6,301.84,569.7
2025-10-01,RN-MAD-F008,A,furgoneta,2229.8,401.4,216.5,307.42,580.2
2025-11-01,RN-MAD-F008,A,furgoneta,2092.2,376.6,203.1,288.44,544.4
2025-12-01,RN-MAD-F008,A,furgoneta,2444.7,440.0,237.4,337.04,636.1
2024-01-01,RN-MAD-F009,A,furgoneta,1775.9,319.7,170.6,242.21,457.1
2024-02-01,RN-MAD-F009,A,furgoneta,1928.3,347.1,185.2,262.99,496.3
2024-03-01,RN-MAD-F009,A,furgoneta,2106.6,379.2,202.3,287.31,542.2
2024-04-01,RN-MAD-F009,A,furgoneta,1997.6,359.6,191.9,272.45,514.2
2024-05-01,RN-MAD-F009,A,furgoneta,2439.8,439.2,234.3,332.75,628.0
2024-06-01,RN-MAD-F009,A,furgoneta,2066.0,371.9,198.4,281.76,531.8
2024-07-01,RN-MAD-F009,A,furgoneta,2365.3,425.8,227.2,322.59,608.8
2024-08-01,RN-MAD-F009,A,furgoneta,1953.6,351.6,187.6,266.43,502.8
2024-09-01,RN-MAD-F009,A,furgoneta,1968.6,354.3,189.1,268.49,506.7
2024-10-01,RN-MAD-F009,A,furgoneta,2268.5,408.3,217.9,309.38,583.9
2024-11-01,RN-MAD-F009,A,furgoneta,2191.8,394.5,210.5,298.93,564.2
2024-12-01,RN-MAD-F009,A,furgoneta,2951.5,531.3,283.5,402.54,759.7
2025-01-01,RN-MAD-F009,A,furgoneta,1949.2,350.8,187.2,265.83,501.7
2025-02-01,RN-MAD-F009,A,furgoneta,1943.3,349.8,186.6,265.04,500.2
2025-03-01,RN-MAD-F009,A,furgoneta,2004.4,360.8,192.5,273.37,515.9
2025-04-01,RN-MAD-F009,A,furgoneta,2262.1,407.2,217.3,308.51,582.3
2025-05-01,RN-MAD-F009,A,furgoneta,2276.2,409.7,218.6,310.44,585.9
2025-06-01,RN-MAD-F009,A,furgoneta,2155.8,388.0,207.1,294.02,554.9
2025-07-01,RN-MAD-F009,A,furgoneta,2235.3,402.4,214.7,304.86,575.4
2025-08-01,RN-MAD-F009,A,furgoneta,2176.5,391.8,209.0,296.84,560.2
2025-09-01,RN-MAD-F009,A,furgoneta,2408.7,433.6,231.3,328.51,620.0
2025-10-01,RN-MAD-F009,A,furgoneta,2095.2,377.1,201.2,285.75,539.3
2025-11-01,RN-MAD-F009,A,furgoneta,2198.6,395.8,211.2,299.86,565.9
2025-12-01,RN-MAD-F009,A,furgoneta,2532.2,455.8,243.2,345.36,651.8
2024-01-01,RN-MAD-F010,A,furgoneta,1870.1,336.6,181.6,257.83,486.6
2024-02-01,RN-MAD-F010,A,furgoneta,1865.4,335.8,181.1,257.18,485.4
2024-03-01,RN-MAD-F010,A,furgoneta,2200.5,396.1,213.7,303.38,572.6
2024-04-01,RN-MAD-F010,A,furgoneta,2295.5,413.2,222.9,316.47,597.3
2024-05-01,RN-MAD-F010,A,furgoneta,2175.3,391.6,211.2,299.9,566.0
2024-06-01,RN-MAD-F010,A,furgoneta,2118.0,381.2,205.6,292.0,551.1
2024-07-01,RN-MAD-F010,A,furgoneta,2238.1,402.9,217.3,308.56,582.4
2024-08-01,RN-MAD-F010,A,furgoneta,2111.6,380.1,205.0,291.12,549.4
2024-09-01,RN-MAD-F010,A,furgoneta,2344.1,421.9,227.6,323.17,609.9
2024-10-01,RN-MAD-F010,A,furgoneta,1962.0,353.2,190.5,270.5,510.5
2024-11-01,RN-MAD-F010,A,furgoneta,2376.3,427.7,230.7,327.61,618.3
2024-12-01,RN-MAD-F010,A,furgoneta,2744.3,494.0,266.4,378.36,714.1
2025-01-01,RN-MAD-F010,A,furgoneta,1923.3,346.2,186.7,265.16,500.5
2025-02-01,RN-MAD-F010,A,furgoneta,1990.5,358.3,193.3,274.42,517.9
2025-03-01,RN-MAD-F010,A,furgoneta,2082.6,374.9,202.2,287.13,541.9
2025-04-01,RN-MAD-F010,A,furgoneta,2198.8,395.8,213.5,303.15,572.1
2025-05-01,RN-MAD-F010,A,furgoneta,2173.6,391.2,211.0,299.66,565.6
2025-06-01,RN-MAD-F010,A,furgoneta,2106.5,379.2,204.5,290.41,548.1
2025-07-01,RN-MAD-F010,A,furgoneta,2463.2,443.4,239.1,339.59,640.9
2025-08-01,RN-MAD-F010,A,furgoneta,2382.2,428.8,231.3,328.43,619.9
2025-09-01,RN-MAD-F010,A,furgoneta,2375.9,427.7,230.7,327.56,618.2
2025-10-01,RN-MAD-F010,A,furgoneta,2259.8,406.8,219.4,311.55,588.0
2025-11-01,RN-MAD-F010,A,furgoneta,2154.3,387.8,209.2,297.0,560.5
2025-12-01,RN-MAD-F010,A,furgoneta,2387.7,429.8,231.8,329.19,621.3
2024-01-01,RN-MAD-F011,A,furgoneta,2108.9,379.6,200.3,284.49,536.9
2024-02-01,RN-MAD-F011,A,furgoneta,2056.5,370.2,195.4,277.43,523.6
2024-03-01,RN-MAD-F011,A,furgoneta,2173.3,391.2,206.5,293.17,553.3
2024-04-01,RN-MAD-F011,A,furgoneta,2034.7,366.2,193.3,274.48,518.0
2024-05-01,RN-MAD-F011,A,furgoneta,2085.7,375.4,198.1,281.36,531.0
2024-06-01,RN-MAD-F011,A,furgoneta,2228.6,401.1,211.7,300.63,567.4
2024-07-01,RN-MAD-F011,A,furgoneta,2237.8,402.8,212.6,301.87,569.7
2024-08-01,RN-MAD-F011,A,furgoneta,2053.6,369.7,195.1,277.04,522.9
2024-09-01,RN-MAD-F011,A,furgoneta,2338.7,421.0,222.2,315.49,595.4
2024-10-01,RN-MAD-F011,A,furgoneta,2161.4,389.1,205.3,291.58,550.3
2024-11-01,RN-MAD-F011,A,furgoneta,2035.8,366.4,193.4,274.63,518.3
2024-12-01,RN-MAD-F011,A,furgoneta,2588.0,465.8,245.9,349.11,658.9
2025-01-01,RN-MAD-F011,A,furgoneta,1698.6,305.7,161.4,229.14,432.5
2025-02-01,RN-MAD-F011,A,furgoneta,2125.9,382.7,202.0,286.78,541.2
2025-03-01,RN-MAD-F011,A,furgoneta,2136.0,384.5,202.9,288.14,543.8
2025-04-01,RN-MAD-F011,A,furgoneta,2270.0,408.6,215.6,306.22,577.9
2025-05-01,RN-MAD-F011,A,furgoneta,1862.2,335.2,176.9,251.21,474.1
2025-06-01,RN-MAD-F011,A,furgoneta,2136.4,384.6,203.0,288.2,543.9
2025-07-01,RN-MAD-F011,A,furgoneta,2431.0,437.6,230.9,327.94,618.9
2025-08-01,RN-MAD-F011,A,furgoneta,1675.7,301.6,159.2,226.05,426.6
2025-09-01,RN-MAD-F011,A,furgoneta,2061.5,371.1,195.8,278.1,524.9
2025-10-01,RN-MAD-F011,A,furgoneta,1846.4,332.3,175.4,249.07,470.1
2025-11-01,RN-MAD-F011,A,furgoneta,2177.0,391.9,206.8,293.68,554.3
2025-12-01,RN-MAD-F011,A,furgoneta,2657.2,478.3,252.4,358.45,676.5
2024-01-01,RN-MAD-F012,A,furgoneta,1788.6,321.9,173.7,246.59,465.4
2024-02-01,RN-MAD-F012,A,furgoneta,2087.8,375.8,202.7,287.84,543.2
2024-03-01,RN-MAD-F012,A,furgoneta,2309.6,415.7,224.2,318.42,601.0
2024-04-01,RN-MAD-F012,A,furgoneta,2273.6,409.3,220.7,313.46,591.6
2024-05-01,RN-MAD-F012,A,furgoneta,1998.5,359.7,194.0,275.54,520.0
2024-06-01,RN-MAD-F012,A,furgoneta,2362.5,425.3,229.4,325.72,614.7
2024-07-01,RN-MAD-F012,A,furgoneta,2458.6,442.6,238.7,338.97,639.7
2024-08-01,RN-MAD-F012,A,furgoneta,1975.7,355.6,191.8,272.38,514.1
2024-09-01,RN-MAD-F012,A,furgoneta,2251.8,405.3,218.6,310.46,585.9
2024-10-01,RN-MAD-F012,A,furgoneta,2098.0,377.6,203.7,289.24,545.9
2024-11-01,RN-MAD-F012,A,furgoneta,2470.4,444.7,239.9,340.59,642.8
2024-12-01,RN-MAD-F012,A,furgoneta,2853.6,513.6,277.1,393.42,742.5
2025-01-01,RN-MAD-F012,A,furgoneta,1857.8,334.4,180.4,256.14,483.4
2025-02-01,RN-MAD-F012,A,furgoneta,1937.9,348.8,188.2,267.18,504.3
2025-03-01,RN-MAD-F012,A,furgoneta,2230.8,401.5,216.6,307.56,580.5
2025-04-01,RN-MAD-F012,A,furgoneta,2105.1,378.9,204.4,290.23,547.8
2025-05-01,RN-MAD-F012,A,furgoneta,2291.9,412.5,222.5,315.98,596.4
2025-06-01,RN-MAD-F012,A,furgoneta,2488.5,447.9,241.6,343.08,647.5
2025-07-01,RN-MAD-F012,A,furgoneta,2309.4,415.7,224.2,318.39,600.9
2025-08-01,RN-MAD-F012,A,furgoneta,1779.0,320.2,172.7,245.26,462.9
2025-09-01,RN-MAD-F012,A,furgoneta,2168.1,390.3,210.5,298.92,564.2
2025-10-01,RN-MAD-F012,A,furgoneta,2469.5,444.5,239.8,340.47,642.6
2025-11-01,RN-MAD-F012,A,furgoneta,2267.4,408.1,220.1,312.61,590.0
2025-12-01,RN-MAD-F012,A,furgoneta,2410.6,433.9,234.0,332.35,627.3
2024-01-01,RN-MAD-F013,A,furgoneta,2021.0,363.8,196.2,278.63,525.9
2024-02-01,RN-MAD-F013,A,furgoneta,1771.0,318.8,171.9,244.16,460.8
2024-03-01,RN-MAD-F013,A,furgoneta,2055.9,370.1,199.6,283.44,535.0
2024-04-01,RN-MAD-F013,A,furgoneta,2244.6,404.0,217.9,309.45,584.0
2024-05-01,RN-MAD-F013,A,furgoneta,2239.3,403.1,217.4,308.72,582.7
2024-06-01,RN-MAD-F013,A,furgoneta,2001.8,360.3,194.4,275.99,520.9
2024-07-01,RN-MAD-F013,A,furgoneta,2293.3,412.8,222.7,316.17,596.7
2024-08-01,RN-MAD-F013,A,furgoneta,1926.7,346.8,187.1,265.63,501.3
2024-09-01,RN-MAD-F013,A,furgoneta,1959.2,352.7,190.2,270.11,509.8
2024-10-01,RN-MAD-F013,A,furgoneta,2305.9,415.1,223.9,317.91,600.0
2024-11-01,RN-MAD-F013,A,furgoneta,2078.4,374.1,201.8,286.54,540.8
2024-12-01,RN-MAD-F013,A,furgoneta,2398.8,431.8,232.9,330.72,624.2
2025-01-01,RN-MAD-F013,A,furgoneta,1821.4,327.8,176.8,251.11,473.9
2025-02-01,RN-MAD-F013,A,furgoneta,1667.3,300.1,161.9,229.86,433.8
