codigo_proveedor,pais_origen,categoria,nombre_categoria,plazo_entrega_dias,fiabilidad_entrega,pedido_minimo_eur
PRV-093,Portugal,moda_belleza,Moda y Belleza,11,0.995,500
PRV-094,China,moda_belleza,Moda y Belleza,61,0.771,2500
PRV-095,España,moda_belleza,Moda y Belleza,7,0.94,5000
PRV-096,España,alimentacion_hosteleria,Alimentación y Hostelería,6,0.995,5000
PRV-097,Turquía,moda_belleza,Moda y Belleza,21,0.916,1000
PRV-098,Vietnam,alimentacion_hosteleria,Alimentación y Hostelería,44,0.762,500
PRV-099,España,moda_belleza,Moda y Belleza,7,0.935,2500
PRV-100,China,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",49,0.807,10000
PRV-101,Italia,alimentacion_hosteleria,Alimentación y Hostelería,13,0.881,10000
PRV-102,Bangladés,alimentacion_hosteleria,Alimentación y Hostelería,41,0.727,2500
PRV-103,España,moda_belleza,Moda y Belleza,6,0.936,5000
PRV-104,España,moda_belleza,Moda y Belleza,6,0.938,2500
PRV-105,España,alimentacion_hosteleria,Alimentación y Hostelería,5,0.986,500
PRV-106,España,alimentacion_hosteleria,Alimentación y Hostelería,4,0.906,1000
PRV-107,Bangladés,moda_belleza,Moda y Belleza,53,0.67,5000
PRV-108,China,moda_belleza,Moda y Belleza,44,0.732,2500
PRV-109,España,moda_belleza,Moda y Belleza,4,0.955,5000
PRV-110,España,moda_belleza,Moda y Belleza,7,0.918,2500
PRV-111,Turquía,alimentacion_hosteleria,Alimentación y Hostelería,21,0.959,2500
PRV-112,España,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",7,0.995,10000
PRV-113,España,moda_belleza,Moda y Belleza,6,0.915,5000
PRV-114,España,moda_belleza,Moda y Belleza,6,0.888,5000
PRV-115,Portugal,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",7,0.941,2500
PRV-116,España,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",5,0.995,2500
PRV-117,España,moda_belleza,Moda y Belleza,7,0.995,5000
PRV-118,España,alimentacion_hosteleria,Alimentación y Hostelería,5,0.995,5000
PRV-119,Vietnam,alimentacion_hosteleria,Alimentación y Hostelería,34,0.66,10000
PRV-120,China,moda_belleza,Moda y Belleza,44,0.86,1000
