anio,codigo_tienda,grupo,formato,gas,carga_kg,fuga_kg,tasa_fuga,gwp,co2e_kg
2025,RN-MAD-ES03,A,especializada,R-449A,45,4.85,0.108,1397.0,6777.1
2024,RN-MAD-ES04,A,especializada,R-449A,45,5.18,0.115,1397.0,7233.8
2025,RN-MAD-ES04,A,especializada,R-449A,45,4.62,0.103,1397.0,6452.6
2024,RN-MAD-ES05,A,especializada,R-449A,45,3.25,0.072,1397.0,4539.3
2025,RN-MAD-ES05,A,especializada,R-449A,45,5.72,0.127,1397.0,7987.0
2024,RN-MAD-ES06,A,especializada,R-449A,45,6.5,0.145,1397.0,9087.0
2025,RN-MAD-ES06,A,especializada,R-449A,45,3.46,0.077,1397.0,4832.0
2024,RN-MAD-ES07,A,especializada,R-449A,45,6.6,0.147,1397.0,9222.3
2025,RN-MAD-ES07,A,especializada,R-449A,45,4.58,0.102,1397.0,6396.3
2024,RN-MAD-ES08,A,especializada,R-449A,45,6.5,0.144,1397.0,9083.5
2025,RN-MAD-ES08,A,especializada,R-449A,45,6.12,0.136,1397.0,8547.1
2024,RN-MAD-ES09,A,especializada,R-449A,45,5.19,0.115,1397.0,7250.1
2025,RN-MAD-ES09,A,especializada,R-449A,45,5.67,0.126,1397.0,7918.5
2024,RN-MAD-ES10,A,especializada,R-449A,45,6.19,0.138,1397.0,8653.5
2025,RN-MAD-ES10,A,especializada,R-449A,45,5.19,0.115,1397.0,7248.5
2024,RN-MAD-ES11,A,especializada,R-449A,45,5.79,0.129,1397.0,8095.6
2025,RN-MAD-ES11,A,especializada,R-449A,45,6.05,0.134,1397.0,8453.0
2024,RN-MAD-ES12,A,especializada,R-449A,45,4.08,0.091,1397.0,5694.0
2025,RN-MAD-ES12,A,especializada,R-449A,45,5.84,0.13,1397.0,8159.3
2024,RN-MAD-ES13,A,especializada,R-449A,45,4.62,0.103,1397.0,6456.9
2025,RN-MAD-ES13,A,especializada,R-449A,45,6.2,0.138,1397.0,8657.3
2024,RN-MAD-ES14,A,especializada,R-449A,45,5.93,0.132,1397.0,8289.9
2025,RN-MAD-ES14,A,especializada,R-449A,45,5.93,0.132,1397.0,8285.8
2024,RN-MAD-ES15,A,especializada,R-449A,45,5.2,0.115,1397.0,7259.8
2025,RN-MAD-ES15,A,especializada,R-449A,45,5.41,0.12,1397.0,7552.9
2024,RN-MAD-ES16,A,especializada,R-449A,45,5.98,0.133,1397.0,8355.6
2025,RN-MAD-ES16,A,especializada,R-449A,45,4.81,0.107,1397.0,6717.0
2024,RN-MAD-ES17,A,especializada,R-449A,45,6.5,0.145,1397.0,9084.4
2025,RN-MAD-ES17,A,especializada,R-449A,45,4.06,0.09,1397.0,5667.2
2024,RN-MAD-ES18,A,especializada,R-449A,45,5.0,0.111,1397.0,6990.1
2025,RN-MAD-ES18,A,especializada,R-449A,45,4.23,0.094,1397.0,5906.4
2024,RN-MAD-ES19,A,especializada,R-449A,45,5.58,0.124,1397.0,7791.6
2025,RN-MAD-ES19,A,especializada,R-449A,45,4.63,0.103,1397.0,6462.6
2024,RN-MAD-ES20,A,especializada,R-449A,45,5.21,0.116,1397.0,7277.7
2025,RN-MAD-ES20,A,especializada,R-449A,45,6.9,0.153,1397.0,9640.9
2024,RN-MAD-CV01,A,conveniencia,R-449A,90,8.77,0.097,1397.0,12251.8
2025,RN-MAD-CV01,A,conveniencia,R-449A,90,11.36,0.126,1397.0,15866.0
2024,RN-MAD-CV02,A,conveniencia,R-449A,90,10.0,0.111,1397.0,13974.9
2025,RN-MAD-CV02,A,conveniencia,R-449A,90,10.97,0.122,1397.0,15327.7
2024,RN-MAD-CV03,A,conveniencia,R-449A,90,10.53,0.117,1397.0,14712.6
2025,RN-MAD-CV03,A,conveniencia,R-449A,90,11.74,0.13,1397.0,16400.8
2024,RN-MAD-CV04,A,conveniencia,R-449A,90,9.97,0.111,1397.0,13929.4
2025,RN-MAD-CV04,A,conveniencia,R-449A,90,10.23,0.114,1397.0,14286.5
2024,RN-MAD-CV05,A,conveniencia,R-449A,90,8.96,0.1,1397.0,12519.8
2025,RN-MAD-CV05,A,conveniencia,R-449A,90,10.32,0.115,1397.0,14418.4
2024,RN-MAD-CV06,A,conveniencia,R-449A,90,13.04,0.145,1397.0,18217.1
2025,RN-MAD-CV06,A,conveniencia,R-449A,90,7.07,0.079,1397.0,9870.7
2024,RN-MAD-CV07,A,conveniencia,R-449A,90,10.27,0.114,1397.0,14342.1
2025,RN-MAD-CV07,A,conveniencia,R-449A,90,12.5,0.139,1397.0,17456.9
2024,RN-MAD-CV08,A,conveniencia,R-449A,90,8.39,0.093,1397.0,11718.7
2025,RN-MAD-CV08,A,conveniencia,R-449A,90,9.51,0.106,1397.0,13286.8
2024,RN-MAD-CV09,A,conveniencia,R-449A,90,8.31,0.092,1397.0,11613.6
2025,RN-MAD-CV09,A,conveniencia,R-449A,90,13.36,0.148,1397.0,18660.8
2024,RN-MAD-CV10,A,conveniencia,R-449A,90,10.4,0.116,1397.0,14529.0
2025,RN-MAD-CV10,A,conveniencia,R-449A,90,12.84,0.143,1397.0,17940.5
2024,RN-BCN-GA01,B,gran_almacen,R-449A,850,111.53,0.131,1397.0,155804.9
2025,RN-BCN-GA01,B,gran_almacen,R-449A,850,106.34,0.125,1397.0,148557.0
2024,RN-BCN-GA02,B,gran_almacen,R-449A,850,106.26,0.125,1397.0,148444.8
2025,RN-BCN-GA02,B,gran_almacen,R-449A,850,107.06,0.126,1397.0,149560.3
2024,RN-BCN-HI01,B,hipermercado,R-449A,420,34.96,0.083,1397.0,48833.7
2025,RN-BCN-HI01,B,hipermercado,R-449A,420,54.51,0.13,1397.0,76145.2
2024,RN-BCN-HI02,B,hipermercado,R-449A,420,67.28,0.16,1397.0,93984.7
2025,RN-BCN-HI02,B,hipermercado,R-449A,420,47.76,0.114,1397.0,66714.8
2024,RN-BCN-HI03,B,hipermercado,R-449A,420,63.87,0.152,1397.0,89230.8
2025,RN-BCN-HI03,B,hipermercado,R-449A,420,48.86,0.116,1397.0,68254.2
2024,RN-BCN-HI04,B,hipermercado,R-449A,420,48.71,0.116,1397.0,68045.4
2025,RN-BCN-HI04,B,hipermercado,R-449A,420,56.91,0.135,1397.0,79499.6
2024,RN-BCN-ES01,B,especializada,R-449A,45,5.1,0.113,1397.0,7124.3
2025,RN-BCN-ES01,B,especializada,R-449A,45,5.18,0.115,1397.0,7236.2
2024,RN-BCN-ES02,B,especializada,R-449A,45,4.65,0.103,1397.0,6492.5
2025,RN-BCN-ES02,B,especializada,R-449A,45,5.55,0.123,1397.0,7755.8
2024,RN-BCN-ES03,B,especializada,R-449A,45,2.97,0.066,1397.0,4150.0
2025,RN-BCN-ES03,B,especializada,R-449A,45,5.69,0.126,1397.0,7948.0
2024,RN-BCN-ES04,B,especializada,R-449A,45,6.61,0.147,1397.0,9238.9
2025,RN-BCN-ES04,B,especializada,R-449A,45,6.09,0.135,1397.0,8503.2
2024,RN-BCN-ES05,B,especializada,R-449A,45,5.49,0.122,1397.0,7663.9
2025,RN-BCN-ES05,B,especializada,R-449A,45,5.73,0.127,1397.0,8001.0
2024,RN-BCN-ES06,B,especializada,R-449A,45,5.31,0.118,1397.0,7423.3
2025,RN-BCN-ES06,B,especializada,R-449A,45,3.77,0.084,1397.0,5262.0
2024,RN-BCN-ES07,B,especializada,R-449A,45,4.15,0.092,1397.0,5800.8
2025,RN-BCN-ES07,B,especializada,R-449A,45,5.33,0.118,1397.0,7440.9
2024,RN-BCN-ES08,B,especializada,R-449A,45,4.95,0.11,1397.0,6913.1
2025,RN-BCN-ES08,B,especializada,R-449A,45,3.57,0.079,1397.0,4993.3
2024,RN-BCN-ES09,B,especializada,R-449A,45,4.91,0.109,1397.0,6862.9
2025,RN-BCN-ES09,B,especializada,R-449A,45,3.65,0.081,1397.0,5100.8
2024,RN-BCN-ES10,B,especializada,R-449A,45,5.87,0.131,1397.0,8207.3
2025,RN-BCN-ES10,B,especializada,R-449A,45,4.94,0.11,1397.0,6900.7
2024,RN-BCN-ES11,B,especializada,R-449A,45,3.99,0.089,1397.0,5575.4
2025,RN-BCN-ES11,B,especializada,R-449A,45,4.93,0.11,1397.0,6893.1
2024,RN-BCN-ES12,B,especializada,R-449A,45,5.14,0.114,1397.0,7185.7
2025,RN-BCN-ES12,B,especializada,R-449A,45,3.54,0.079,1397.0,4949.1
2024,RN-BCN-ES13,B,especializada,R-449A,45,5.55,0.123,1397.0,7755.7
2025,RN-BCN-ES13,B,especializada,R-449A,45,4.47,0.099,1397.0,6240.2
2024,RN-BCN-ES14,B,especializada,R-449A,45,4.51,0.1,1397.0,6305.7
2025,RN-BCN-ES14,B,especializada,R-449A,45,4.53,0.101,1397.0,6322.8
2024,RN-BCN-CV01,B,conveniencia,R-449A,90,10.14,0.113,1397.0,14159.9
2025,RN-BCN-CV01,B,conveniencia,R-449A,90,9.71,0.108,1397.0,13563.9
2024,RN-BCN-CV02,B,conveniencia,R-449A,90,10.41,0.116,1397.0,14537.6
2025,RN-BCN-CV02,B,conveniencia,R-449A,90,8.64,0.096,1397.0,12074.2
2024,RN-BCN-CV03,B,conveniencia,R-449A,90,10.68,0.119,1397.0,14922.8
2025,RN-BCN-CV03,B,conveniencia,R-449A,90,9.16,0.102,1397.0,12793.1
2024,RN-BCN-CV04,B,conveniencia,R-449A,90,9.29,0.103,1397.0,12971.7
2025,RN-BCN-CV04,B,conveniencia,R-449A,90,8.55,0.095,1397.0,11937.6
2024,RN-BCN-CV05,B,conveniencia,R-449A,90,9.06,0.101,1397.0,12662.7
2025,RN-BCN-CV05,B,conveniencia,R-449A,90,7.76,0.086,1397.0,10836.3
2024,RN-BCN-CV06,B,conveniencia,R-449A,90,10.01,0.111,1397.0,13981.5
2025,RN-BCN-CV06,B,conveniencia,R-449A,90,9.54,0.106,1397.0,13326.2
2024,RN-BCN-CV07,B,conveniencia,R-449A,90,13.18,0.146,1397.0,18407.6
2025,RN-BCN-CV07,B,conveniencia,R-449A,90,12.1,0.134,1397.0,16898.1
2024,RN-BCN-CV08,B,conveniencia,R-449A,90,9.82,0.109,1397.0,13720.0
2025,RN-BCN-CV08,B,conveniencia,R-449A,90,8.68,0.096,1397.0,12130.0
2024,RN-VLC-GA01,C,gran_almacen,R-404A,850,140.53,0.165,3922.0,551154.4
2025,RN-VLC-GA01,C,gran_almacen,R-404A,850,125.07,0.147,3922.0,490508.1
2024,RN-VLC-HI01,C,hipermercado,R-404A,420,59.54,0.142,3922.0,233513.7
2025,RN-VLC-HI01,C,hipermercado,R-404A,420,56.53,0.135,3922.0,221703.9
2024,RN-VLC-HI02,C,hipermercado,R-404A,420,80.16,0.191,3922.0,314383.0
2025,RN-VLC-HI02,C,hipermercado,R-404A,420,57.5,0.137,3922.0,225514.4
2024,RN-VLC-HI03,C,hipermercado,R-404A,420,55.83,0.133,3922.0,218981.8
2025,RN-VLC-HI03,C,hipermercado,R-404A,420,57.05,0.136,3922.0,223753.0
2024,RN-VLC-HI04,C,hipermercado,R-404A,420,55.03,0.131,3922.0,215823.0
2025,RN-VLC-HI04,C,hipermercado,R-404A,420,74.68,0.178,3922.0,292890.8
2024,RN-VLC-HI05,C,hipermercado,R-404A,420,62.85,0.15,3922.0,246510.7
2025,RN-VLC-HI05,C,hipermercado,R-404A,420,67.91,0.162,3922.0,266346.4
2024,RN-VLC-HI06,C,hipermercado,R-404A,420,53.68,0.128,3922.0,210514.8
2025,RN-VLC-HI06,C,hipermercado,R-404A,420,61.78,0.147,3922.0,242295.9
2024,RN-VLC-HI07,C,hipermercado,R-404A,420,46.68,0.111,3922.0,183094.6
2025,RN-VLC-HI07,C,hipermercado,R-404A,420,59.74,0.142,3922.0,234318.9
2024,RN-VLC-ES01,C,especializada,R-404A,45,7.3,0.162,3922.0,28627.6
2025,RN-VLC-ES01,C,especializada,R-404A,45,6.88,0.153,3922.0,27001.1
2024,RN-VLC-ES02,C,especializada,R-404A,45,5.62,0.125,3922.0,22027.5
2025,RN-VLC-ES02,C,especializada,R-404A,45,6.51,0.145,3922.0,25513.0
2024,RN-VLC-ES03,C,especializada,R-404A,45,6.64,0.148,3922.0,26058.1
2025,RN-VLC-ES03,C,especializada,R-404A,45,5.03,0.112,3922.0,19710.4
2024,RN-VLC-ES04,C,especializada,R-404A,45,6.28,0.14,3922.0,24636.7
2025,RN-VLC-ES04,C,especializada,R-404A,45,5.38,0.12,3922.0,21097.7
2024,RN-VLC-ES05,C,especializada,R-404A,45,5.14,0.114,3922.0,20177.0
2025,RN-VLC-ES05,C,especializada,R-404A,45,6.61,0.147,3922.0,25910.7
2024,RN-VLC-ES06,C,especializada,R-404A,45,6.08,0.135,3922.0,23862.9
2025,RN-VLC-ES06,C,especializada,R-404A,45,6.72,0.149,3922.0,26337.8
2024,RN-VLC-ES07,C,especializada,R-404A,45,6.89,0.153,3922.0,27009.3
2025,RN-VLC-ES07,C,especializada,R-404A,45,7.07,0.157,3922.0,27735.9
2024,RN-VLC-ES08,C,especializada,R-404A,45,6.25,0.139,3922.0,24525.6
2025,RN-VLC-ES08,C,especializada,R-404A,45,6.4,0.142,3922.0,25111.5
2024,RN-VLC-ES09,C,especializada,R-404A,45,7.26,0.161,3922.0,28483.0
2025,RN-VLC-ES09,C,especializada,R-404A,45,7.0,0.156,3922.0,27459.8
2024,RN-VLC-ES10,C,especializada,R-404A,45,6.73,0.15,3922.0,26391.4
2025,RN-VLC-ES10,C,especializada,R-404A,45,8.82,0.196,3922.0,34580.6
2024,RN-VLC-CV01,C,conveniencia,R-404A,90,15.44,0.172,3922.0,60555.0
2025,RN-VLC-CV01,C,conveniencia,R-404A,90,11.76,0.131,3922.0,46120.0
2024,RN-VLC-CV02,C,conveniencia,R-404A,90,14.79,0.164,3922.0,57987.3
2025,RN-VLC-CV02,C,conveniencia,R-404A,90,14.37,0.16,3922.0,56354.4
2024,RN-VLC-CV03,C,conveniencia,R-404A,90,15.18,0.169,3922.0,59518.4
2025,RN-VLC-CV03,C,conveniencia,R-404A,90,12.22,0.136,3922.0,47931.7
2024,RN-VLC-CV04,C,conveniencia,R-404A,90,13.78,0.153,3922.0,54037.5
2025,RN-VLC-CV04,C,conveniencia,R-404A,90,12.78,0.142,3922.0,50140.0
2024,RN-VLC-CV05,C,conveniencia,R-404A,90,9.21,0.102,3922.0,36139.1
2025,RN-VLC-CV05,C,conveniencia,R-404A,90,14.85,0.165,3922.0,58251.3
2024,RN-VLC-CV06,C,conveniencia,R-404A,90,12.97,0.144,3922.0,50885.1
2025,RN-VLC-CV06,C,conveniencia,R-404A,90,12.62,0.14,3922.0,49483.3
2024,RN-VLC-CV07,C,conveniencia,R-404A,90,13.92,0.155,3922.0,54582.1
2025,RN-VLC-CV07,C,conveniencia,R-404A,90,10.95,0.122,3922.0,42952.4
2024,RN-VLC-CV08,C,conveniencia,R-404A,90,13.75,0.153,3922.0,53939.7
2025,RN-VLC-CV08,C,conveniencia,R-404A,90,12.13,0.135,3922.0,47565.3
2024,RN-VLC-CV09,C,conveniencia,R-404A,90,11.92,0.132,3922.0,46736.7
2025,RN-VLC-CV09,C,conveniencia,R-404A,90,16.91,0.188,3922.0,66329.0
2024,RN-SEV-GA01,D,gran_almacen,R-404A,850,117.18,0.138,3922.0,459582.4
2025,RN-SEV-GA01,D,gran_almacen,R-404A,850,140.94,0.166,3922.0,552755.2
2024,RN-SEV-HI01,D,hipermercado,R-404A,420,59.23,0.141,3922.0,232296.2
2025,RN-SEV-HI01,D,hipermercado,R-404A,420,57.12,0.136,3922.0,224032.1
2024,RN-SEV-HI02,D,hipermercado,R-404A,420,50.82,0.121,3922.0,199324.4
2025,RN-SEV-HI02,D,hipermercado,R-404A,420,45.69,0.109,3922.0,179185.8
2024,RN-SEV-HI03,D,hipermercado,R-404A,420,58.29,0.139,3922.0,228619.0
2025,RN-SEV-HI03,D,hipermercado,R-404A,420,49.65,0.118,3922.0,194733.4
2024,RN-SEV-HI04,D,hipermercado,R-404A,420,73.41,0.175,3922.0,287915.8
2025,RN-SEV-HI04,D,hipermercado,R-404A,420,52.77,0.126,3922.0,206982.8
2024,RN-SEV-ES01,D,especializada,R-404A,45,7.89,0.175,3922.0,30933.0
2025,RN-SEV-ES01,D,especializada,R-404A,45,6.95,0.155,3922.0,27272.3
2024,RN-SEV-ES02,D,especializada,R-404A,45,6.95,0.155,3922.0,27273.2
2025,RN-SEV-ES02,D,especializada,R-404A,45,7.5,0.167,3922.0,29430.2
2024,RN-SEV-ES03,D,especializada,R-404A,45,5.75,0.128,3922.0,22569.3
2025,RN-SEV-ES03,D,especializada,R-404A,45,7.16,0.159,3922.0,28067.1
2024,RN-SEV-ES04,D,especializada,R-404A,45,4.85,0.108,3922.0,19033.6
2025,RN-SEV-ES04,D,especializada,R-404A,45,7.0,0.156,3922.0,27471.4
2024,RN-SEV-ES05,D,especializada,R-404A,45,4.97,0.11,3922.0,19487.7
2025,RN-SEV-ES05,D,especializada,R-404A,45,5.79,0.129,3922.0,22709.5
2024,RN-SEV-ES06,D,especializada,R-404A,45,7.85,0.174,3922.0,30791.0
2025,RN-SEV-ES06,D,especializada,R-404A,45,5.14,0.114,3922.0,20177.3
2024,RN-SEV-ES07,D,especializada,R-404A,45,5.77,0.128,3922.0,22641.3
2025,RN-SEV-ES07,D,especializada,R-404A,45,7.28,0.162,3922.0,28543.2
2024,RN-SEV-ES08,D,especializada,R-404A,45,5.36,0.119,3922.0,21012.7
2025,RN-SEV-ES08,D,especializada,R-404A,45,6.47,0.144,3922.0,25360.3
2024,RN-SEV-ES09,D,especializada,R-404A,45,7.44,0.165,3922.0,29170.0
2025,RN-SEV-ES09,D,especializada,R-404A,45,6.08,0.135,3922.0,23863.1
2024,RN-SEV-ES10,D,especializada,R-404A,45,4.49,0.1,3922.0,17595.0
2025,RN-SEV-ES10,D,especializada,R-404A,45,7.79,0.173,3922.0,30549.3
2024,RN-SEV-ES11,D,especializada,R-404A,45,5.36,0.119,3922.0,21013.9
2025,RN-SEV-ES11,D,especializada,R-404A,45,6.73,0.15,3922.0,26402.8
2024,RN-SEV-ES12,D,especializada,R-404A,45,7.42,0.165,3922.0,29099.6
2025,RN-SEV-ES12,D,especializada,R-404A,45,6.66,0.148,3922.0,26132.2
2024,RN-SEV-CV01,D,conveniencia,R-404A,90,9.1,0.101,3922.0,35695.8
2025,RN-SEV-CV01,D,conveniencia,R-404A,90,14.47,0.161,3922.0,56764.4
2024,RN-SEV-CV02,D,conveniencia,R-404A,90,11.92,0.132,3922.0,46736.0
2025,RN-SEV-CV02,D,conveniencia,R-404A,90,12.9,0.143,3922.0,50578.9
2024,RN-SEV-CV03,D,conveniencia,R-404A,90,13.01,0.145,3922.0,51039.1
2025,RN-SEV-CV03,D,conveniencia,R-404A,90,16.24,0.18,3922.0,63675.7
2024,RN-SEV-CV04,D,conveniencia,R-404A,90,9.87,0.11,3922.0,38725.1
2025,RN-SEV-CV04,D,conveniencia,R-404A,90,12.04,0.134,3922.0,47203.0
2024,RN-SEV-CV05,D,conveniencia,R-404A,90,12.98,0.144,3922.0,50896.9
2025,RN-SEV-CV05,D,conveniencia,R-404A,90,14.51,0.161,3922.0,56904.1
2024,RN-SEV-CV06,D,conveniencia,R-404A,90,12.77,0.142,3922.0,50096.1
2025,RN-SEV-CV06,D,conveniencia,R-404A,90,14.16,0.157,3922.0,55544.5
2024,RN-SEV-CV07,D,conveniencia,R-404A,90,9.73,0.108,3922.0,38175.1
2025,RN-SEV-CV07,D,conveniencia,R-404A,90,9.25,0.103,3922.0,36265.3
2024,RN-SEV-CV08,D,conveniencia,R-404A,90,13.29,0.148,3922.0,52135.3
2025,RN-SEV-CV08,D,conveniencia,R-404A,90,13.17,0.146,3922.0,51655.0
2024,RN-SEV-CV09,D,conveniencia,R-404A,90,13.97,0.155,3922.0,54778.4
2025,RN-SEV-CV09,D,conveniencia,R-404A,90,12.24,0.136,3922.0,48005.8
2024,RN-SEV-CV10,D,conveniencia,R-404A,90,13.41,0.149,3922.0,52587.7
2025,RN-SEV-CV10,D,conveniencia,R-404A,90,11.79,0.131,3922.0,46253.2
2024,RN-BIO-GA01,E,gran_almacen,R-744,850,81.35,0.096,1.0,81.3
2025,RN-BIO-GA01,E,gran_almacen,R-744,850,56.56,0.067,1.0,56.6
2024,RN-BIO-HI01,E,hipermercado,R-744,420,39.18,0.093,1.0,39.2
2025,RN-BIO-HI01,E,hipermercado,R-744,420,35.76,0.085,1.0,35.8
2024,RN-BIO-HI02,E,hipermercado,R-744,420,39.04,0.093,1.0,39.0
2025,RN-BIO-HI02,E,hipermercado,R-744,420,28.08,0.067,1.0,28.1
2024,RN-BIO-ES01,E,especializada,R-744,45,2.76,0.061,1.0,2.8
2025,RN-BIO-ES01,E,especializada,R-744,45,2.44,0.054,1.0,2.4
2024,RN-BIO-ES02,E,especializada,R-744,45,3.84,0.085,1.0,3.8
2025,RN-BIO-ES02,E,especializada,R-744,45,2.6,0.058,1.0,2.6
2024,RN-BIO-ES03,E,especializada,R-744,45,3.95,0.088,1.0,3.9
2025,RN-BIO-ES03,E,especializada,R-744,45,2.02,0.045,1.0,2.0
2024,RN-BIO-ES04,E,especializada,R-744,45,4.28,0.095,1.0,4.3
2025,RN-BIO-ES04,E,especializada,R-744,45,3.8,0.084,1.0,3.8
2024,RN-BIO-ES05,E,especializada,R-744,45,1.95,0.043,1.0,1.9
2025,RN-BIO-ES05,E,especializada,R-744,45,4.07,0.09,1.0,4.1
2024,RN-BIO-ES06,E,especializada,R-744,45,2.53,0.056,1.0,2.5
2025,RN-BIO-ES06,E,especializada,R-744,45,4.1,0.091,1.0,4.1
2024,RN-BIO-ES07,E,especializada,R-744,45,2.52,0.056,1.0,2.5
2025,RN-BIO-ES07,E,especializada,R-744,45,3.98,0.088,1.0,4.0
2024,RN-BIO-CV01,E,conveniencia,R-744,90,7.22,0.08,1.0,7.2
2025,RN-BIO-CV01,E,conveniencia,R-744,90,9.2,0.102,1.0,9.2
2024,RN-BIO-CV02,E,conveniencia,R-744,90,5.52,0.061,1.0,5.5
2025,RN-BIO-CV02,E,conveniencia,R-744,90,7.03,0.078,1.0,7.0
2024,RN-BIO-CV03,E,conveniencia,R-744,90,7.16,0.08,1.0,7.2
2025,RN-BIO-CV03,E,conveniencia,R-744,90,7.18,0.08,1.0,7.2
2024,RN-BIO-CV04,E,conveniencia,R-744,90,9.05,0.101,1.0,9.1
2025,RN-BIO-CV04,E,conveniencia,R-744,90,7.97,0.089,1.0,8.0
