matricula,grupo,tipo,anio_matriculacion,antiguedad_anios,norma_emisiones,km_anuales_previstos,consumo_l_100km,frigorifico
RN-MAD-F026,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F027,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F028,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F029,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F030,A,furgoneta,2024,1,Euro 6d,26000,9.5,False
RN-MAD-F031,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F032,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F033,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F034,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F035,A,furgoneta,2015,10,Euro 5,26000,9.5,False
RN-MAD-F036,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F037,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F038,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F039,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F040,A,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-MAD-F041,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F042,A,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-MAD-F043,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F044,A,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-MAD-F045,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F046,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F047,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F048,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F049,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F050,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F051,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F052,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F053,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F054,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F055,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F056,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F057,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F058,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F059,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F060,A,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-MAD-F061,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F062,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F063,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F064,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F065,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F066,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F067,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F068,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F069,A,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-MAD-F070,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F071,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F072,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F073,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F074,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F075,A,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-MAD-F076,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F077,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F078,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F079,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F080,A,furgoneta,2024,1,Euro 6d,26000,9.5,False
RN-MAD-F081,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F082,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F083,A,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-MAD-F084,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F085,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F086,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F087,A,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-MAD-F088,A,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-MAD-F089,A,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-MAD-F090,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F091,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F092,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F093,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F094,A,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-MAD-F095,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F096,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F097,A,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-MAD-F098,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-F099,A,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-MAD-F100,A,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-MAD-R001,A,rigido,2019,6,Euro 6,48000,27.0,False
RN-MAD-R002,A,rigido,2016,9,Euro 6,48000,27.0,False
RN-MAD-R003,A,rigido,2022,3,Euro 6d,48000,27.0,False
RN-MAD-R004,A,rigido,2019,6,Euro 6,48000,27.0,False
RN-MAD-R005,A,rigido,2019,6,Euro 6,48000,27.0,False
RN-MAD-R006,A,rigido,2019,6,Euro 6,48000,27.0,False
RN-MAD-R007,A,rigido,2019,6,Euro 6,48000,27.0,False
RN-MAD-R008,A,rigido,2021,4,Euro 6d,48000,27.0,False
RN-MAD-R009,A,rigido,2019,6,Euro 6,48000,27.0,False
RN-MAD-R010,A,rigido,2022,3,Euro 6d,48000,27.0,False
RN-MAD-R011,A,rigido,2023,2,Euro 6d,48000,27.0,False
RN-MAD-R012,A,rigido,2017,8,Euro 6,48000,27.0,False
RN-MAD-R013,A,rigido,2018,7,Euro 6,48000,27.0,False
RN-MAD-R014,A,rigido,2024,1,Euro 6d,48000,27.0,False
RN-MAD-R015,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R016,A,rigido,2023,2,Euro 6d,48000,27.0,False
RN-MAD-R017,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R018,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R019,A,rigido,2018,7,Euro 6,48000,27.0,False
RN-MAD-R020,A,rigido,2016,9,Euro 6,48000,27.0,False
RN-MAD-R021,A,rigido,2023,2,Euro 6d,48000,27.0,False
RN-MAD-R022,A,rigido,2016,9,Euro 6,48000,27.0,False
RN-MAD-R023,A,rigido,2022,3,Euro 6d,48000,27.0,False
RN-MAD-R024,A,rigido,2021,4,Euro 6d,48000,27.0,False
RN-MAD-R025,A,rigido,2015,10,Euro 5,48000,27.0,False
RN-MAD-R026,A,rigido,2022,3,Euro 6d,48000,27.0,False
RN-MAD-R027,A,rigido,2024,1,Euro 6d,48000,27.0,False
RN-MAD-R028,A,rigido,2021,4,Euro 6d,48000,27.0,False
RN-MAD-R029,A,rigido,2019,6,Euro 6,48000,27.0,False
RN-MAD-R030,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R031,A,rigido,2017,8,Euro 6,48000,27.0,False
RN-MAD-R032,A,rigido,2018,7,Euro 6,48000,27.0,False
RN-MAD-R033,A,rigido,2021,4,Euro 6d,48000,27.0,False
RN-MAD-R034,A,rigido,2018,7,Euro 6,48000,27.0,False
RN-MAD-R035,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R036,A,rigido,2021,4,Euro 6d,48000,27.0,False
RN-MAD-R037,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R038,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R039,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-MAD-R040,A,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-F001,B,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-BCN-F002,B,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-BCN-F003,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F004,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F005,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F006,B,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-BCN-F007,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F008,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F009,B,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-BCN-F010,B,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-BCN-F011,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F012,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F013,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F014,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F015,B,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-BCN-F016,B,furgoneta,2024,1,Euro 6d,26000,9.5,False
RN-BCN-F017,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F018,B,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-BCN-F019,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F020,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F021,B,furgoneta,2025,0,Euro 6d,26000,9.5,False
RN-BCN-F022,B,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-BCN-F023,B,furgoneta,2024,1,Euro 6d,26000,9.5,False
RN-BCN-F024,B,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-BCN-F025,B,furgoneta,2025,0,Euro 6d,26000,9.5,False
RN-BCN-F026,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F027,B,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-BCN-F028,B,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-BCN-F029,B,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-BCN-F030,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F031,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F032,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F033,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F034,B,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-BCN-F035,B,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-BCN-F036,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F037,B,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-BCN-F038,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F039,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F040,B,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-BCN-F041,B,furgoneta,2025,0,Euro 6d,26000,9.5,False
RN-BCN-F042,B,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-BCN-F043,B,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-BCN-F044,B,furgoneta,2024,1,Euro 6d,26000,9.5,False
RN-BCN-F045,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F046,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F047,B,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-BCN-F048,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F049,B,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-BCN-F050,B,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-BCN-F051,B,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-BCN-F052,B,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-BCN-F053,B,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-BCN-F054,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F055,B,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-BCN-F056,B,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-BCN-F057,B,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-BCN-F058,B,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-BCN-R001,B,rigido,2021,4,Euro 6d,48000,27.0,False
RN-BCN-R002,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R003,B,rigido,2015,10,Euro 5,48000,27.0,False
RN-BCN-R004,B,rigido,2025,0,Euro 6d,48000,27.0,False
RN-BCN-R005,B,rigido,2025,0,Euro 6d,48000,27.0,False
RN-BCN-R006,B,rigido,2021,4,Euro 6d,48000,27.0,False
RN-BCN-R007,B,rigido,2024,1,Euro 6d,48000,27.0,False
RN-BCN-R008,B,rigido,2022,3,Euro 6d,48000,27.0,False
RN-BCN-R009,B,rigido,2017,8,Euro 6,48000,27.0,False
RN-BCN-R010,B,rigido,2018,7,Euro 6,48000,27.0,False
RN-BCN-R011,B,rigido,2018,7,Euro 6,48000,27.0,False
RN-BCN-R012,B,rigido,2021,4,Euro 6d,48000,27.0,False
RN-BCN-R013,B,rigido,2018,7,Euro 6,48000,27.0,False
RN-BCN-R014,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R015,B,rigido,2021,4,Euro 6d,48000,27.0,False
RN-BCN-R016,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R017,B,rigido,2019,6,Euro 6,48000,27.0,False
RN-BCN-R018,B,rigido,2024,1,Euro 6d,48000,27.0,False
RN-BCN-R019,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R020,B,rigido,2022,3,Euro 6d,48000,27.0,False
RN-BCN-R021,B,rigido,2021,4,Euro 6d,48000,27.0,False
RN-BCN-R022,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R023,B,rigido,2022,3,Euro 6d,48000,27.0,False
RN-BCN-R024,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R025,B,rigido,2022,3,Euro 6d,48000,27.0,False
RN-BCN-R026,B,rigido,2021,4,Euro 6d,48000,27.0,False
RN-BCN-R027,B,rigido,2021,4,Euro 6d,48000,27.0,False
RN-BCN-R028,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R029,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R030,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R031,B,rigido,2019,6,Euro 6,48000,27.0,False
RN-BCN-R032,B,rigido,2018,7,Euro 6,48000,27.0,False
RN-BCN-R033,B,rigido,2020,5,Euro 6,48000,27.0,False
RN-BCN-R034,B,rigido,2023,2,Euro 6d,48000,27.0,False
RN-BCN-R035,B,rigido,2017,8,Euro 6,48000,27.0,False
RN-BCN-R036,B,rigido,2024,1,Euro 6d,48000,27.0,False
RN-BCN-R037,B,rigido,2025,0,Euro 6d,48000,27.0,False
RN-VLC-F001,C,furgoneta,2022,3,Euro 6d,26000,9.5,False
RN-VLC-F002,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F003,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F004,C,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-VLC-F005,C,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-VLC-F006,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F007,C,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-VLC-F008,C,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-VLC-F009,C,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-VLC-F010,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F011,C,furgoneta,2015,10,Euro 5,26000,9.5,False
RN-VLC-F012,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F013,C,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-VLC-F014,C,furgoneta,2015,10,Euro 5,26000,9.5,False
RN-VLC-F015,C,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-VLC-F016,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F017,C,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-VLC-F018,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F019,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F020,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F021,C,furgoneta,2014,11,Euro 5,26000,9.5,False
RN-VLC-F022,C,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-VLC-F023,C,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-VLC-F024,C,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-VLC-F025,C,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-VLC-F026,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F027,C,furgoneta,2020,5,Euro 6,26000,9.5,False
RN-VLC-F028,C,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-VLC-F029,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F030,C,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-VLC-F031,C,furgoneta,2018,7,Euro 6,26000,9.5,False
RN-VLC-F032,C,furgoneta,2013,12,Euro 5,26000,9.5,False
RN-VLC-F033,C,furgoneta,2025,0,Euro 6d,26000,9.5,False
RN-VLC-F034,C,furgoneta,2015,10,Euro 5,26000,9.5,False
RN-VLC-F035,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F036,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F037,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F038,C,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-VLC-F039,C,furgoneta,2015,10,Euro 5,26000,9.5,False
RN-VLC-F040,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F041,C,furgoneta,2016,9,Euro 6,26000,9.5,False
RN-VLC-F042,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F043,C,furgoneta,2021,4,Euro 6d,26000,9.5,False
RN-VLC-F044,C,furgoneta,2023,2,Euro 6d,26000,9.5,False
RN-VLC-F045,C,furgoneta,2017,8,Euro 6,26000,9.5,False
RN-VLC-F046,C,furgoneta,2019,6,Euro 6,26000,9.5,False
RN-VLC-R001,C,rigido,2018,7,Euro 6,48000,31.8,True
RN-VLC-R002,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R003,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R004,C,rigido,2014,11,Euro 5,48000,31.8,True
RN-VLC-R005,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R006,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R007,C,rigido,2020,5,Euro 6,48000,31.8,True
RN-VLC-R008,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R009,C,rigido,2015,10,Euro 5,48000,31.8,True
RN-VLC-R010,C,rigido,2016,9,Euro 6,48000,31.8,True
RN-VLC-R011,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R012,C,rigido,2021,4,Euro 6d,48000,31.8,True
RN-VLC-R013,C,rigido,2020,5,Euro 6,48000,31.8,True
RN-VLC-R014,C,rigido,2018,7,Euro 6,48000,31.8,True
RN-VLC-R015,C,rigido,2020,5,Euro 6,48000,31.8,True
RN-VLC-R016,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R017,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R018,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R019,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R020,C,rigido,2022,3,Euro 6d,48000,31.8,True
RN-VLC-R021,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R022,C,rigido,2020,5,Euro 6,48000,31.8,True
RN-VLC-R023,C,rigido,2021,4,Euro 6d,48000,31.8,True
RN-VLC-R024,C,rigido,2021,4,Euro 6d,48000,31.8,True
RN-VLC-R025,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R026,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R027,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R028,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R029,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R030,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R031,C,rigido,2018,7,Euro 6,48000,31.8,True
RN-VLC-R032,C,rigido,2018,7,Euro 6,48000,31.8,True
RN-VLC-R033,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R034,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R035,C,rigido,2022,3,Euro 6d,48000,31.8,True
RN-VLC-R036,C,rigido,2016,9,Euro 6,48000,31.8,True
RN-VLC-R037,C,rigido,2018,7,Euro 6,48000,31.8,True
RN-VLC-R038,C,rigido,2019,6,Euro 6,48000,31.8,True
RN-VLC-R039,C,rigido,2018,7,Euro 6,48000,31.8,True
RN-VLC-R040,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-VLC-R041,C,rigido,2016,9,Euro 6,48000,31.8,True
RN-VLC-R042,C,rigido,2017,8,Euro 6,48000,31.8,True
RN-SEV-F001,D,furgoneta,2013,12,Euro 5,32000,10.5,False
RN-SEV-F002,D,furgoneta,2021,4,Euro 6d,32000,10.5,False
RN-SEV-F003,D,furgoneta,2016,9,Euro 6,32000,10.5,False
RN-SEV-F004,D,furgoneta,2017,8,Euro 6,32000,10.5,False
RN-SEV-F005,D,furgoneta,2014,11,Euro 5,32000,10.5,False
RN-SEV-F006,D,furgoneta,2014,11,Euro 5,32000,10.5,False
RN-SEV-F007,D,furgoneta,2017,8,Euro 6,32000,10.5,False
RN-SEV-F008,D,furgoneta,2013,12,Euro 5,32000,10.5,False
RN-SEV-F009,D,furgoneta,2018,7,Euro 6,32000,10.5,False
RN-SEV-F010,D,furgoneta,2015,10,Euro 5,32000,10.5,False
RN-SEV-F011,D,furgoneta,2016,9,Euro 6,32000,10.5,False
RN-SEV-F012,D,furgoneta,2015,10,Euro 5,32000,10.5,False
RN-SEV-F013,D,furgoneta,2017,8,Euro 6,32000,10.5,False
RN-SEV-F014,D,furgoneta,2018,7,Euro 6,32000,10.5,False
RN-SEV-F015,D,furgoneta,2017,8,Euro 6,32000,10.5,False
RN-SEV-F016,D,furgoneta,2014,11,Euro 5,32000,10.5,False
RN-SEV-F017,D,furgoneta,2021,4,Euro 6d,32000,10.5,False
RN-SEV-F018,D,furgoneta,2016,9,Euro 6,32000,10.5,False
RN-SEV-F019,D,furgoneta,2017,8,Euro 6,32000,10.5,False
RN-SEV-F020,D,furgoneta,2017,8,Euro 6,32000,10.5,False
RN-SEV-F021,D,furgoneta,2015,10,Euro 5,32000,10.5,False
RN-SEV-F022,D,furgoneta,2018,7,Euro 6,32000,10.5,False
RN-SEV-F023,D,furgoneta,2013,12,Euro 5,32000,10.5,False
RN-SEV-F024,D,furgoneta,2016,9,Euro 6,32000,10.5,False
RN-SEV-F025,D,furgoneta,2016,9,Euro 6,32000,10.5,False
RN-SEV-F026,D,furgoneta,2015,10,Euro 5,32000,10.5,False
RN-SEV-F027,D,furgoneta,2019,6,Euro 6,32000,10.5,False
RN-SEV-F028,D,furgoneta,2021,4,Euro 6d,32000,10.5,False
RN-SEV-R001,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R002,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R003,D,rigido,2012,13,Euro 5,55000,30.0,False
RN-SEV-R004,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R005,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R006,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R007,D,rigido,2016,9,Euro 6,55000,30.0,False
RN-SEV-R008,D,rigido,2017,8,Euro 6,55000,30.0,False
RN-SEV-R009,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R010,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R011,D,rigido,2020,5,Euro 6,55000,30.0,False
RN-SEV-R012,D,rigido,2011,14,Euro 5,55000,30.0,False
RN-SEV-R013,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R014,D,rigido,2015,10,Euro 5,55000,30.0,False
RN-SEV-R015,D,rigido,2019,6,Euro 6,55000,30.0,False
RN-SEV-R016,D,rigido,2020,5,Euro 6,55000,30.0,False
RN-SEV-R017,D,rigido,2020,5,Euro 6,55000,30.0,False
RN-SEV-R018,D,rigido,2014,11,Euro 5,55000,30.0,False
