mes,codigo_instalacion,grupo,tipo_instalacion,superficie_m2,electricidad_kwh,gas_kwh,coste_eur,co2e_kg
2025-06-01,RN-MAD-GA02,A,gran_almacen,15731,357417.4,19586.2,56614.05,64325.6
2025-07-01,RN-MAD-GA02,A,gran_almacen,15731,390033.5,13023.4,61262.64,68675.9
2025-08-01,RN-MAD-GA02,A,gran_almacen,15731,404844.6,14117.7,63626.2,71393.0
2025-09-01,RN-MAD-GA02,A,gran_almacen,15731,359224.9,22413.7,57069.51,65147.5
2025-10-01,RN-MAD-GA02,A,gran_almacen,15731,325097.3,47980.1,53364.85,63998.9
2025-11-01,RN-MAD-GA02,A,gran_almacen,15731,312658.0,80487.0,53452.18,67800.5
2025-12-01,RN-MAD-GA02,A,gran_almacen,15731,264523.8,72355.2,45487.22,58137.7
2024-01-01,RN-MAD-GA03,A,gran_almacen,18486,422825.9,121240.0,73054.89,93946.1
2024-02-01,RN-MAD-GA03,A,gran_almacen,18486,333053.5,108768.9,58366.96,76415.0
2024-03-01,RN-MAD-GA03,A,gran_almacen,18486,356059.6,90133.1,60777.49,76934.3
2024-04-01,RN-MAD-GA03,A,gran_almacen,18486,327433.3,80828.9,55763.56,70374.5
2024-05-01,RN-MAD-GA03,A,gran_almacen,18486,358456.7,41366.4,58125.51,68466.3
2024-06-01,RN-MAD-GA03,A,gran_almacen,18486,397476.5,21457.9,62939.25,71476.3
2024-07-01,RN-MAD-GA03,A,gran_almacen,18486,501470.8,14624.9,78634.72,87911.8
2024-08-01,RN-MAD-GA03,A,gran_almacen,18486,462227.8,18641.8,72801.1,81971.5
2024-09-01,RN-MAD-GA03,A,gran_almacen,18486,413562.2,27554.2,65810.5,75320.4
2024-10-01,RN-MAD-GA03,A,gran_almacen,18486,378167.6,62762.4,62507.25,75711.3
2024-11-01,RN-MAD-GA03,A,gran_almacen,18486,388607.2,97870.7,66302.09,83875.7
2024-12-01,RN-MAD-GA03,A,gran_almacen,18486,339492.4,92928.9,58382.92,74626.8
2025-01-01,RN-MAD-GA03,A,gran_almacen,18486,398835.2,121592.9,69358.21,89931.9
2025-02-01,RN-MAD-GA03,A,gran_almacen,18486,371027.3,108358.2,64227.44,82795.8
2025-03-01,RN-MAD-GA03,A,gran_almacen,18486,347963.6,105141.2,60453.11,78289.5
2025-04-01,RN-MAD-GA03,A,gran_almacen,18486,386975.2,71436.4,64410.22,78787.2
2025-05-01,RN-MAD-GA03,A,gran_almacen,18486,354582.6,37661.9,57295.34,67133.5
2025-06-01,RN-MAD-GA03,A,gran_almacen,18486,472033.4,16321.6,74177.11,83216.2
2025-07-01,RN-MAD-GA03,A,gran_almacen,18486,451745.9,15316.6,70970.25,79584.4
2025-08-01,RN-MAD-GA03,A,gran_almacen,18486,461879.6,15181.0,72532.56,81282.5
2025-09-01,RN-MAD-GA03,A,gran_almacen,18486,,28629.9,,
2025-10-01,RN-MAD-GA03,A,gran_almacen,18486,363365.4,63132.8,60235.87,73262.3
2025-11-01,RN-MAD-GA03,A,gran_almacen,18486,350449.9,84335.4,59548.52,74925.5
2025-12-01,RN-MAD-GA03,A,gran_almacen,18486,318288.3,95074.6,55229.32,71412.6
2024-01-01,RN-MAD-HI01,A,hipermercado,2724,129129.5,11653.6,20737.59,24073.0
2024-02-01,RN-MAD-HI01,A,hipermercado,2724,110781.5,9951.7,17788.13,20644.1
2024-03-01,RN-MAD-HI01,A,hipermercado,2724,116356.9,8553.0,18565.61,21337.3
2024-04-01,RN-MAD-HI01,A,hipermercado,2724,122835.4,6012.0,19412.24,21976.2
2024-05-01,RN-MAD-HI01,A,hipermercado,2724,121107.0,3656.9,18998.31,21253.7
2024-06-01,RN-MAD-HI01,A,hipermercado,2724,134829.5,1887.4,21015.59,23264.5
2024-07-01,RN-MAD-HI01,A,hipermercado,2724,150182.2,1402.8,23365.21,25786.3
2024-08-01,RN-MAD-HI01,A,hipermercado,2724,135971.4,1470.7,21166.75,23382.8
2024-09-01,RN-MAD-HI01,A,hipermercado,2724,137061.9,2564.2,21403.57,23767.2
2024-10-01,RN-MAD-HI01,A,hipermercado,2724,120616.2,4889.2,18998.64,21394.6
2024-11-01,RN-MAD-HI01,A,hipermercado,2724,116975.3,8481.1,18657.01,21429.4
2024-12-01,RN-MAD-HI01,A,hipermercado,2724,104383.9,8693.3,16718.49,19327.4
2025-01-01,RN-MAD-HI01,A,hipermercado,2724,123034.7,10686.8,19732.96,22860.9
2025-02-01,RN-MAD-HI01,A,hipermercado,2724,118989.9,10451.5,19091.43,22130.5
2025-03-01,RN-MAD-HI01,A,hipermercado,2724,115971.1,7330.6,18430.02,21049.3
2025-04-01,RN-MAD-HI01,A,hipermercado,2724,117400.8,6263.4,18585.45,21098.1
2025-05-01,RN-MAD-HI01,A,hipermercado,2724,110443.4,3614.4,17342.83,19433.2
2025-06-01,RN-MAD-HI01,A,hipermercado,2724,138213.9,1596.8,21522.16,23787.0
2025-07-01,RN-MAD-HI01,A,hipermercado,2724,143399.3,1438.4,22316.07,24639.7
2025-08-01,RN-MAD-HI01,A,hipermercado,2724,145754.2,1381.6,22677.56,25029.7
2025-09-01,RN-MAD-HI01,A,hipermercado,2724,130500.8,2683.6,20394.01,22673.6
2025-10-01,RN-MAD-HI01,A,hipermercado,2724,118877.8,5731.4,18781.41,21252.3
2025-11-01,RN-MAD-HI01,A,hipermercado,2724,115201.4,8088.6,18357.71,21056.4
2025-12-01,RN-MAD-HI01,A,hipermercado,2724,108542.6,7279.3,17275.42,19777.1
2024-01-01,RN-MAD-HI02,A,hipermercado,2377,107886.0,10929.5,17399.95,20329.8
2024-02-01,RN-MAD-HI02,A,hipermercado,2377,105436.7,9446.5,16928.38,19643.5
2024-03-01,RN-MAD-HI02,A,hipermercado,2377,,7694.8,,
2024-04-01,RN-MAD-HI02,A,hipermercado,2377,101422.2,5196.7,16042.64,18187.6
2024-05-01,RN-MAD-HI02,A,hipermercado,2377,101084.3,2923.9,15849.35,17716.5
2024-06-01,RN-MAD-HI02,A,hipermercado,2377,126025.6,1685.4,19638.47,21731.1
2024-07-01,RN-MAD-HI02,A,hipermercado,2377,125481.1,1204.2,19524.23,21551.0
2024-08-01,RN-MAD-HI02,A,hipermercado,2377,132141.4,1327.4,20564.22,22705.6
2024-09-01,RN-MAD-HI02,A,hipermercado,2377,112234.5,1953.9,17517.49,19435.5
2024-10-01,RN-MAD-HI02,A,hipermercado,2377,104130.7,4322.0,16408.22,18488.8
2024-11-01,RN-MAD-HI02,A,hipermercado,2377,95662.2,6780.6,15248.03,17496.6
2024-12-01,RN-MAD-HI02,A,hipermercado,2377,78805.4,6505.8,12618.19,14581.0
2025-01-01,RN-MAD-HI02,A,hipermercado,2377,111912.0,11774.6,18076.38,21168.0
2025-02-01,RN-MAD-HI02,A,hipermercado,2377,105059.6,9586.0,16878.56,19604.8
2025-03-01,RN-MAD-HI02,A,hipermercado,2377,102100.0,7936.9,16317.59,18801.5
2025-04-01,RN-MAD-HI02,A,hipermercado,2377,99910.8,4462.4,15762.85,17797.0
2025-05-01,RN-MAD-HI02,A,hipermercado,2377,101086.4,3034.8,15856.55,17737.0
2025-06-01,RN-MAD-HI02,A,hipermercado,2377,111015.0,1874.6,17323.56,19213.7
2025-07-01,RN-MAD-HI02,A,hipermercado,2377,139500.5,1211.6,21697.69,23935.6
2025-08-01,RN-MAD-HI02,A,hipermercado,2377,131163.0,1130.5,20400.36,22503.5
2025-09-01,RN-MAD-HI02,A,hipermercado,2377,113799.4,2154.2,17772.46,19738.0
2025-10-01,RN-MAD-HI02,A,hipermercado,2377,106158.4,5197.2,16776.77,18992.8
2025-11-01,RN-MAD-HI02,A,hipermercado,2377,106077.7,7934.1,16933.95,19477.2
2025-12-01,RN-MAD-HI02,A,hipermercado,2377,96797.2,6396.7,15400.15,17619.7
2024-01-01,RN-MAD-HI03,A,hipermercado,2710,127601.2,9847.8,20388.75,23484.5
2024-02-01,RN-MAD-HI03,A,hipermercado,2710,123023.8,11358.7,19772.92,22981.3
2024-03-01,RN-MAD-HI03,A,hipermercado,2710,128743.4,8913.8,20507.88,23508.7
2024-04-01,RN-MAD-HI03,A,hipermercado,2710,107559.2,5927.9,17039.2,19363.9
2024-05-01,RN-MAD-HI03,A,hipermercado,2710,110914.9,3398.1,17402.5,19474.0
2024-06-01,RN-MAD-HI03,A,hipermercado,2710,129302.5,1849.8,20156.57,22318.1
2024-07-01,RN-MAD-HI03,A,hipermercado,2710,148137.7,1426.9,23049.82,25443.1
2024-08-01,RN-MAD-HI03,A,hipermercado,2710,166031.9,1445.9,25824.59,28488.6
2024-09-01,RN-MAD-HI03,A,hipermercado,2710,130268.8,2592.1,20352.38,22617.5
2024-10-01,RN-MAD-HI03,A,hipermercado,2710,112046.8,5397.3,17701.89,20030.3
2024-11-01,RN-MAD-HI03,A,hipermercado,2710,113224.7,9457.4,18136.18,20969.4
2024-12-01,RN-MAD-HI03,A,hipermercado,2710,103668.5,8019.3,16565.81,19083.2
2025-01-01,RN-MAD-HI03,A,hipermercado,2710,129860.3,13894.9,20989.82,24605.1
2025-02-01,RN-MAD-HI03,A,hipermercado,2710,129141.9,12634.1,20800.31,24253.5
2025-03-01,RN-MAD-HI03,A,hipermercado,2710,108838.6,8452.3,17394.03,20040.9
2025-04-01,RN-MAD-HI03,A,hipermercado,2710,108455.8,6058.3,17186.26,19540.1
2025-05-01,RN-MAD-HI03,A,hipermercado,2710,113139.1,3420.8,17748.66,19856.2
2025-06-01,RN-MAD-HI03,A,hipermercado,2710,141683.4,1925.3,22080.29,24436.6
2025-07-01,RN-MAD-HI03,A,hipermercado,2710,151904.0,1346.5,23628.61,26068.8
2025-08-01,RN-MAD-HI03,A,hipermercado,2710,142921.7,1431.5,22241.62,24557.2
2025-09-01,RN-MAD-HI03,A,hipermercado,2710,138568.3,2421.9,21628.25,23997.4
2025-10-01,RN-MAD-HI03,A,hipermercado,2710,110511.2,4714.6,17421.54,19645.0
2025-11-01,RN-MAD-HI03,A,hipermercado,2710,114211.9,8886.4,18253.8,21033.3
2025-12-01,RN-MAD-HI03,A,hipermercado,2710,112585.0,7430.9,17911.39,20491.9
2024-01-01,RN-MAD-HI04,A,hipermercado,2906,143968.2,13515.0,23153.0,26934.3
2024-02-01,RN-MAD-HI04,A,hipermercado,2906,136705.4,10547.4,21843.27,25159.5
2024-03-01,RN-MAD-HI04,A,hipermercado,2906,134534.7,8308.6,21368.02,24383.1
2024-04-01,RN-MAD-HI04,A,hipermercado,2906,117938.8,6391.0,18676.75,21212.8
2024-05-01,RN-MAD-HI04,A,hipermercado,2906,116640.5,3595.4,18302.2,20483.3
2024-06-01,RN-MAD-HI04,A,hipermercado,2906,151325.6,2355.1,23601.49,26154.0
2024-07-01,RN-MAD-HI04,A,hipermercado,2906,168431.3,1480.3,26198.63,28902.7
2024-08-01,RN-MAD-HI04,A,hipermercado,2906,171937.2,1609.2,26750.03,29522.2
2024-09-01,RN-MAD-HI04,A,hipermercado,2906,144424.3,2536.2,22543.0,25013.7
2024-10-01,RN-MAD-HI04,A,hipermercado,2906,139129.1,5788.7,21923.91,24705.5
2024-11-01,RN-MAD-HI04,A,hipermercado,2906,132671.7,8994.7,21121.79,24191.2
2024-12-01,RN-MAD-HI04,A,hipermercado,2906,115648.1,7095.8,18365.4,20951.6
2025-01-01,RN-MAD-HI04,A,hipermercado,2906,127030.6,11843.3,20424.03,23750.7
2025-02-01,RN-MAD-HI04,A,hipermercado,2906,132085.6,12200.8,21229.71,24675.1
2025-03-01,RN-MAD-HI04,A,hipermercado,2906,124256.9,9617.3,19856.09,22874.0
2025-04-01,RN-MAD-HI04,A,hipermercado,2906,111277.4,6584.7,17656.24,20115.6
2025-05-01,RN-MAD-HI04,A,hipermercado,2906,128616.6,3481.5,20151.43,22498.5
2025-06-01,RN-MAD-HI04,A,hipermercado,2906,127337.2,2250.7,19876.82,22057.0
2025-07-01,RN-MAD-HI04,A,hipermercado,2906,155607.9,1649.0,24221.47,26753.5
2025-08-01,RN-MAD-HI04,A,hipermercado,2906,167707.3,1636.2,26096.07,28808.0
2025-09-01,RN-MAD-HI04,A,hipermercado,2906,135692.3,2920.4,21213.37,23599.2
2025-10-01,RN-MAD-HI04,A,hipermercado,2906,114183.2,5656.5,18049.1,20440.6
2025-11-01,RN-MAD-HI04,A,hipermercado,2906,119524.5,9502.8,19115.47,22048.7
2025-12-01,RN-MAD-HI04,A,hipermercado,2906,105417.7,9020.7,16899.03,19562.8
2024-01-01,RN-MAD-HI05,A,hipermercado,2862,144239.1,11384.2,23062.89,26592.6
2024-02-01,RN-MAD-HI05,A,hipermercado,2862,129237.8,11731.9,20759.23,24105.6
2024-03-01,RN-MAD-HI05,A,hipermercado,2862,133089.6,8494.0,21155.52,24171.1
2024-04-01,RN-MAD-HI05,A,hipermercado,2862,120623.4,6549.4,19102.69,21698.0
2024-05-01,RN-MAD-HI05,A,hipermercado,2862,136551.4,3899.2,21407.22,23923.4
2024-06-01,RN-MAD-HI05,A,hipermercado,2862,144591.2,1988.0,22534.89,24942.3
2024-07-01,RN-MAD-HI05,A,hipermercado,2862,146239.3,1341.8,22750.27,25104.9
2024-08-01,RN-MAD-HI05,A,hipermercado,2862,148645.7,1474.6,23131.52,25538.2
2024-09-01,RN-MAD-HI05,A,hipermercado,2862,135831.6,2427.6,21204.4,23533.2
2024-10-01,RN-MAD-HI05,A,hipermercado,2862,136264.4,5785.9,21479.71,24218.0
2024-11-01,RN-MAD-HI05,A,hipermercado,2862,121991.8,9315.6,19486.3,22434.0
2024-12-01,RN-MAD-HI05,A,hipermercado,2862,115022.6,8579.9,18360.45,21115.4
2025-01-01,RN-MAD-HI05,A,hipermercado,2862,127433.2,12103.0,20502.54,23866.4
2025-02-01,RN-MAD-HI05,A,hipermercado,2862,133871.2,11538.9,21465.45,24858.2
2025-03-01,RN-MAD-HI05,A,hipermercado,2862,130386.6,9160.6,20777.87,23832.9
2025-04-01,RN-MAD-HI05,A,hipermercado,2862,116799.4,6208.2,18488.81,20985.8
2025-05-01,RN-MAD-HI05,A,hipermercado,2862,124935.7,3673.8,19592.81,21907.7
2025-06-01,RN-MAD-HI05,A,hipermercado,2862,135512.3,1933.0,21124.26,23388.9
2025-07-01,RN-MAD-HI05,A,hipermercado,2862,158658.2,1477.5,24683.62,27240.8
2025-08-01,RN-MAD-HI05,A,hipermercado,2862,144675.8,1494.8,22517.43,24866.9
2025-09-01,RN-MAD-HI05,A,hipermercado,2862,129667.3,2586.5,20258.79,22514.2
2025-10-01,RN-MAD-HI05,A,hipermercado,2862,118119.3,6788.5,18729.37,21315.8
2025-11-01,RN-MAD-HI05,A,hipermercado,2862,123789.5,9655.2,19786.0,22801.5
2025-12-01,RN-MAD-HI05,A,hipermercado,2862,109097.3,8397.9,17430.76,20075.0
2024-01-01,RN-MAD-ES01,A,especializada,1025,17554.1,0.0,2720.89,2984.2
2024-02-01,RN-MAD-ES01,A,especializada,1025,16145.4,0.0,2502.54,2744.7
2024-03-01,RN-MAD-ES01,A,especializada,1025,16256.0,0.0,2519.67,2763.5
2024-04-01,RN-MAD-ES01,A,especializada,1025,15848.8,0.0,2456.57,2694.3
2024-05-01,RN-MAD-ES01,A,especializada,1025,15453.5,0.0,2395.29,2627.1
2024-06-01,RN-MAD-ES01,A,especializada,1025,18679.3,0.0,2895.29,3175.5
2024-07-01,RN-MAD-ES01,A,especializada,1025,21542.1,0.0,3339.03,3662.2
2024-08-01,RN-MAD-ES01,A,especializada,1025,22175.0,0.0,3437.12,3769.7
2024-09-01,RN-MAD-ES01,A,especializada,1025,17924.4,0.0,2778.28,3047.1
2024-10-01,RN-MAD-ES01,A,especializada,1025,16984.8,0.0,2632.64,2887.4
2024-11-01,RN-MAD-ES01,A,especializada,1025,17063.9,0.0,2644.91,2900.9
2024-12-01,RN-MAD-ES01,A,especializada,1025,15841.6,0.0,2455.45,2693.1
2025-01-01,RN-MAD-ES01,A,especializada,1025,19215.4,0.0,2978.38,3266.6
2025-02-01,RN-MAD-ES01,A,especializada,1025,16970.3,0.0,2630.4,2885.0
2025-03-01,RN-MAD-ES01,A,especializada,1025,16035.5,0.0,2485.5,2726.0
2025-04-01,RN-MAD-ES01,A,especializada,1025,14804.4,0.0,2294.67,2516.7
2025-05-01,RN-MAD-ES01,A,especializada,1025,,0.0,,
2025-06-01,RN-MAD-ES01,A,especializada,1025,18220.9,0.0,2824.24,3097.6
2025-07-01,RN-MAD-ES01,A,especializada,1025,21551.3,0.0,3340.45,3663.7
2025-08-01,RN-MAD-ES01,A,especializada,1025,20648.6,0.0,3200.53,3510.3
2025-09-01,RN-MAD-ES01,A,especializada,1025,16892.7,0.0,2618.37,2871.8
2025-10-01,RN-MAD-ES01,A,especializada,1025,15691.9,0.0,2432.25,2667.6
2025-11-01,RN-MAD-ES01,A,especializada,1025,16080.5,0.0,2492.48,2733.7
2025-12-01,RN-MAD-ES01,A,especializada,1025,15113.9,0.0,2342.65,2569.4
2024-01-01,RN-MAD-ES02,A,especializada,710,12739.5,0.0,1974.62,2165.7
2024-02-01,RN-MAD-ES02,A,especializada,710,12263.7,0.0,1900.87,2084.8
2024-03-01,RN-MAD-ES02,A,especializada,710,11177.5,0.0,1732.51,1900.2
2024-04-01,RN-MAD-ES02,A,especializada,710,11196.8,0.0,1735.5,1903.5
2024-05-01,RN-MAD-ES02,A,especializada,710,11674.0,0.0,1809.48,1984.6
2024-06-01,RN-MAD-ES02,A,especializada,710,12999.8,0.0,2014.97,2210.0
2024-07-01,RN-MAD-ES02,A,especializada,710,15486.1,0.0,2400.35,2632.6
2024-08-01,RN-MAD-ES02,A,especializada,710,13939.3,0.0,2160.59,2369.7
2024-09-01,RN-MAD-ES02,A,especializada,710,12701.8,0.0,1968.77,2159.3
2024-10-01,RN-MAD-ES02,A,especializada,710,11317.9,0.0,1754.28,1924.0
2024-11-01,RN-MAD-ES02,A,especializada,710,11053.0,0.0,1713.22,1879.0
2024-12-01,RN-MAD-ES02,A,especializada,710,10027.7,0.0,1554.3,1704.7
2025-01-01,RN-MAD-ES02,A,especializada,710,11327.0,0.0,1755.68,1925.6
2025-02-01,RN-MAD-ES02,A,especializada,710,11578.0,0.0,1794.59,1968.3
2025-03-01,RN-MAD-ES02,A,especializada,710,10415.5,0.0,1614.4,1770.6
2025-04-01,RN-MAD-ES02,A,especializada,710,10666.4,0.0,1653.29,1813.3
2025-05-01,RN-MAD-ES02,A,especializada,710,11176.7,0.0,1732.39,1900.0
2025-06-01,RN-MAD-ES02,A,especializada,710,13075.1,0.0,2026.64,2222.8
2025-07-01,RN-MAD-ES02,A,especializada,710,15372.7,0.0,2382.77,2613.4
2025-08-01,RN-MAD-ES02,A,especializada,710,13963.8,0.0,2164.38,2373.8
2025-09-01,RN-MAD-ES02,A,especializada,710,12937.2,0.0,2005.26,2199.3
2025-10-01,RN-MAD-ES02,A,especializada,710,11380.9,0.0,1764.04,1934.8
2025-11-01,RN-MAD-ES02,A,especializada,710,10442.2,0.0,1618.54,1775.2
2025-12-01,RN-MAD-ES02,A,especializada,710,10205.8,0.0,1581.89,1735.0
2024-01-01,RN-MAD-ES03,A,especializada,877,15158.4,0.0,2349.55,2576.9
2024-02-01,RN-MAD-ES03,A,especializada,877,14132.0,0.0,2190.46,2402.4
2024-03-01,RN-MAD-ES03,A,especializada,877,14843.8,0.0,2300.78,2523.4
2024-04-01,RN-MAD-ES03,A,especializada,877,14024.3,0.0,2173.76,2384.1
2024-05-01,RN-MAD-ES03,A,especializada,877,13306.6,0.0,2062.52,2262.1
2024-06-01,RN-MAD-ES03,A,especializada,877,15504.3,0.0,2403.16,2635.7
2024-07-01,RN-MAD-ES03,A,especializada,877,18330.0,0.0,2841.15,3116.1
2024-08-01,RN-MAD-ES03,A,especializada,877,16715.0,0.0,2590.83,2841.6
2024-09-01,RN-MAD-ES03,A,especializada,877,15468.8,0.0,2397.66,2629.7
2024-10-01,RN-MAD-ES03,A,especializada,877,14616.9,0.0,2265.62,2484.9
2024-11-01,RN-MAD-ES03,A,especializada,877,14612.3,0.0,2264.91,2484.1
2024-12-01,RN-MAD-ES03,A,especializada,877,12298.6,0.0,1906.29,2090.8
2025-01-01,RN-MAD-ES03,A,especializada,877,14389.2,0.0,2230.33,2446.2
2025-02-01,RN-MAD-ES03,A,especializada,877,14450.2,0.0,2239.79,2456.5
2025-03-01,RN-MAD-ES03,A,especializada,877,13721.4,0.0,2126.82,2332.6
2025-04-01,RN-MAD-ES03,A,especializada,877,13404.4,0.0,2077.68,2278.7
2025-05-01,RN-MAD-ES03,A,especializada,877,14059.2,0.0,2179.18,2390.1
2025-06-01,RN-MAD-ES03,A,especializada,877,15221.9,0.0,2359.39,2587.7
2025-07-01,RN-MAD-ES03,A,especializada,877,16680.2,0.0,2585.43,2835.6
2025-08-01,RN-MAD-ES03,A,especializada,877,15347.2,0.0,2378.81,2609.0
2025-09-01,RN-MAD-ES03,A,especializada,877,14729.1,0.0,2283.01,2504.0
2025-10-01,RN-MAD-ES03,A,especializada,877,13984.3,0.0,2167.57,2377.3
2025-11-01,RN-MAD-ES03,A,especializada,877,14308.4,0.0,2217.79,2432.4
2025-12-01,RN-MAD-ES03,A,especializada,877,12597.0,0.0,1952.54,2141.5
2024-01-01,RN-MAD-ES04,A,especializada,870,15634.5,0.0,2423.35,2657.9
2024-02-01,RN-MAD-ES04,A,especializada,870,15439.4,0.0,2393.11,2624.7
2024-03-01,RN-MAD-ES04,A,especializada,870,13886.4,0.0,2152.39,2360.7
2024-04-01,RN-MAD-ES04,A,especializada,870,12733.2,0.0,1973.64,2164.6
2024-05-01,RN-MAD-ES04,A,especializada,870,12960.5,0.0,2008.87,2203.3
2024-06-01,RN-MAD-ES04,A,especializada,870,16008.5,0.0,2481.32,2721.5
2024-07-01,RN-MAD-ES04,A,especializada,870,17915.1,0.0,2776.84,3045.6
2024-08-01,RN-MAD-ES04,A,especializada,870,18296.1,0.0,2835.89,3110.3
2024-09-01,RN-MAD-ES04,A,especializada,870,14626.2,0.0,2267.06,2486.5
2024-10-01,RN-MAD-ES04,A,especializada,870,14084.3,0.0,2183.06,2394.3
2024-11-01,RN-MAD-ES04,A,especializada,870,13456.4,0.0,2085.74,2287.6
2024-12-01,RN-MAD-ES04,A,especializada,870,12327.4,0.0,1910.75,2095.7
2025-01-01,RN-MAD-ES04,A,especializada,870,14434.5,0.0,2237.35,2453.9
2025-02-01,RN-MAD-ES04,A,especializada,870,14034.0,0.0,2175.28,2385.8
2025-03-01,RN-MAD-ES04,A,especializada,870,14601.7,0.0,2263.27,2482.3
2025-04-01,RN-MAD-ES04,A,especializada,870,12927.4,0.0,2003.75,2197.7
2025-05-01,RN-MAD-ES04,A,especializada,870,13649.5,0.0,2115.67,2320.4
2025-06-01,RN-MAD-ES04,A,especializada,870,16680.2,0.0,2585.43,2835.6
2025-07-01,RN-MAD-ES04,A,especializada,870,17269.3,0.0,2676.74,2935.8
2025-08-01,RN-MAD-ES04,A,especializada,870,16730.7,0.0,2593.26,2844.2
2025-09-01,RN-MAD-ES04,A,especializada,870,16211.9,0.0,2512.84,2756.0
2025-10-01,RN-MAD-ES04,A,especializada,870,12904.9,0.0,2000.26,2193.8
2025-11-01,RN-MAD-ES04,A,especializada,870,13675.8,0.0,2119.75,2324.9
2025-12-01,RN-MAD-ES04,A,especializada,870,12217.0,0.0,1893.64,2076.9
2024-01-01,RN-MAD-ES05,A,especializada,766,12614.8,0.0,1955.29,2144.5
2024-02-01,RN-MAD-ES05,A,especializada,766,12272.0,0.0,1902.17,2086.2
