mes,grupo,codigo_proveedor,pais_origen,categoria,importe_eur,entregas,entregas_a_tiempo,plazo_real_dias
2024-01-01,B,PRV-063,España,hogar_electronica,386338.96,3,3,8.9
2024-01-01,B,PRV-064,España,moda_belleza,201761.48,4,4,6.7
2024-01-01,B,PRV-068,España,moda_belleza,520719.64,10,10,5.0
2024-01-01,B,PRV-076,Turquía,moda_belleza,400122.9,1,1,24.7
2024-01-01,B,PRV-080,España,alimentacion_hosteleria,282074.39,5,4,8.3
2024-01-01,B,PRV-082,China,hogar_electronica,335430.69,1,1,51.7
2024-01-01,B,PRV-085,Portugal,hogar_electronica,535617.69,2,1,9.2
2024-01-01,B,PRV-094,China,moda_belleza,527030.06,1,1,47.3
2024-01-01,B,PRV-098,Vietnam,alimentacion_hosteleria,463072.54,1,1,44.0
2024-01-01,B,PRV-099,España,moda_belleza,537858.37,3,3,8.2
2024-01-01,B,PRV-100,China,hogar_electronica,796940.81,1,1,57.8
2024-01-01,B,PRV-107,Bangladés,moda_belleza,292666.28,1,1,85.1
2024-01-01,B,PRV-111,Turquía,alimentacion_hosteleria,198611.48,1,1,11.7
2024-01-01,C,PRV-005,España,moda_belleza,280590.01,5,4,4.4
2024-01-01,C,PRV-009,Portugal,moda_belleza,415276.95,3,3,8.2
2024-01-01,C,PRV-010,Italia,alimentacion_hosteleria,233407.52,3,3,7.5
2024-01-01,C,PRV-012,China,moda_belleza,316528.48,1,1,74.7
2024-01-01,C,PRV-017,España,moda_belleza,154732.08,2,2,8.2
2024-01-01,C,PRV-023,Portugal,moda_belleza,458269.87,4,4,11.5
2024-01-01,C,PRV-029,España,alimentacion_hosteleria,454376.77,7,7,5.1
2024-01-01,C,PRV-031,España,moda_belleza,362695.85,5,5,7.5
2024-01-01,C,PRV-032,Bangladés,hogar_electronica,421244.17,1,0,60.4
2024-01-01,C,PRV-052,Turquía,moda_belleza,256548.17,1,1,31.7
2024-01-01,C,PRV-053,España,alimentacion_hosteleria,144966.63,4,4,5.5
2024-01-01,C,PRV-054,España,hogar_electronica,490378.07,5,5,8.7
2024-01-01,C,PRV-063,España,hogar_electronica,481752.66,6,6,8.6
2024-01-01,C,PRV-068,España,moda_belleza,378286.15,10,10,5.1
2024-01-01,C,PRV-073,Italia,moda_belleza,352875.08,2,2,12.9
2024-01-01,C,PRV-075,España,moda_belleza,500114.59,6,6,5.2
2024-01-01,C,PRV-079,España,moda_belleza,322690.88,5,5,8.4
2024-01-01,C,PRV-082,China,hogar_electronica,270719.39,1,1,52.6
2024-01-01,C,PRV-083,España,moda_belleza,318205.22,4,4,4.5
2024-01-01,C,PRV-086,Vietnam,hogar_electronica,425799.87,1,1,35.2
2024-01-01,C,PRV-090,España,hogar_electronica,431566.44,4,4,7.2
2024-01-01,C,PRV-097,Turquía,moda_belleza,210683.29,1,1,7.9
2024-01-01,C,PRV-100,China,hogar_electronica,471728.1,1,1,32.5
2024-01-01,C,PRV-112,España,hogar_electronica,304509.73,4,4,3.1
2024-01-01,C,PRV-114,España,moda_belleza,401747.92,3,2,4.3
2024-01-01,C,PRV-117,España,moda_belleza,419815.75,4,4,5.7
2024-01-01,D,PRV-001,Turquía,hogar_electronica,238646.14,1,0,22.6
2024-01-01,D,PRV-003,España,alimentacion_hosteleria,140510.68,7,7,2.0
2024-01-01,D,PRV-005,España,moda_belleza,370927.69,4,4,5.8
2024-01-01,D,PRV-007,España,moda_belleza,150329.41,3,2,10.8
2024-01-01,D,PRV-012,China,moda_belleza,170103.09,1,1,77.4
2024-01-01,D,PRV-017,España,moda_belleza,329658.05,4,4,11.0
2024-01-01,D,PRV-019,Bangladés,alimentacion_hosteleria,383779.83,1,0,39.4
2024-01-01,D,PRV-023,Portugal,moda_belleza,326110.35,4,4,6.2
2024-01-01,D,PRV-035,España,moda_belleza,139842.21,4,4,6.3
2024-01-01,D,PRV-043,China,hogar_electronica,273353.47,1,0,50.9
2024-01-01,D,PRV-056,China,hogar_electronica,166864.38,1,1,47.4
2024-01-01,D,PRV-058,Portugal,alimentacion_hosteleria,272914.22,4,4,6.7
2024-01-01,D,PRV-060,Portugal,moda_belleza,267763.73,4,4,8.2
2024-01-01,D,PRV-065,España,alimentacion_hosteleria,372762.49,6,5,3.1
2024-01-01,D,PRV-067,España,hogar_electronica,131496.52,4,4,7.4
2024-01-01,D,PRV-071,Italia,moda_belleza,102345.27,3,3,12.9
2024-01-01,D,PRV-074,España,moda_belleza,278899.23,7,7,4.4
2024-01-01,D,PRV-076,Turquía,moda_belleza,215539.05,1,1,30.1
2024-01-01,D,PRV-080,España,alimentacion_hosteleria,159347.0,3,3,5.9
2024-01-01,D,PRV-083,España,moda_belleza,189434.9,4,4,8.7
2024-01-01,D,PRV-095,España,moda_belleza,291161.32,5,5,9.5
2024-01-01,D,PRV-099,España,moda_belleza,270565.93,5,5,6.6
2024-01-01,D,PRV-109,España,moda_belleza,217732.47,7,7,6.9
2024-01-01,D,PRV-118,España,alimentacion_hosteleria,173630.14,6,6,4.1
2024-01-01,D,PRV-119,Vietnam,alimentacion_hosteleria,171205.74,1,0,25.2
2024-01-01,E,PRV-007,España,moda_belleza,327390.14,4,4,8.2
2024-01-01,E,PRV-012,China,moda_belleza,107267.98,1,1,70.4
2024-01-01,E,PRV-013,Vietnam,moda_belleza,133264.84,1,0,39.4
2024-01-01,E,PRV-036,Italia,moda_belleza,140126.66,3,3,8.9
2024-01-01,E,PRV-037,China,moda_belleza,333858.57,1,0,61.8
2024-01-01,E,PRV-038,China,moda_belleza,292039.09,1,1,42.0
2024-01-01,E,PRV-040,España,moda_belleza,168469.74,5,3,2.0
2024-01-01,E,PRV-041,España,moda_belleza,192601.08,6,5,5.3
2024-01-01,E,PRV-042,Italia,moda_belleza,197432.41,4,4,9.0
2024-01-01,E,PRV-043,China,hogar_electronica,313153.62,1,0,64.9
2024-01-01,E,PRV-053,España,alimentacion_hosteleria,123663.37,4,3,5.2
2024-01-01,E,PRV-058,Portugal,alimentacion_hosteleria,79038.53,5,5,9.1
2024-01-01,E,PRV-060,Portugal,moda_belleza,210223.01,6,5,6.3
2024-01-01,E,PRV-064,España,moda_belleza,361001.05,5,5,7.8
2024-01-01,E,PRV-065,España,alimentacion_hosteleria,154496.74,6,5,3.5
2024-01-01,E,PRV-068,España,moda_belleza,168627.3,7,7,4.9
2024-01-01,E,PRV-073,Italia,moda_belleza,106465.55,2,2,9.1
2024-01-01,E,PRV-077,Bangladés,hogar_electronica,214383.19,1,0,67.3
2024-01-01,E,PRV-083,España,moda_belleza,160275.96,5,5,4.8
2024-01-01,E,PRV-087,España,alimentacion_hosteleria,196082.76,3,3,6.6
2024-01-01,E,PRV-097,Turquía,moda_belleza,171180.28,2,1,20.6
2024-01-01,E,PRV-103,España,moda_belleza,281128.29,6,5,9.9
2024-01-01,E,PRV-105,España,alimentacion_hosteleria,290247.88,10,10,3.8
2024-01-01,E,PRV-111,Turquía,alimentacion_hosteleria,114455.07,1,1,18.5
2024-01-01,E,PRV-117,España,moda_belleza,244293.99,3,3,5.8
2024-02-01,A,PRV-004,China,moda_belleza,963473.14,1,1,42.4
2024-02-01,A,PRV-006,España,alimentacion_hosteleria,419791.6,4,4,8.5
2024-02-01,A,PRV-009,Portugal,moda_belleza,681858.23,3,3,9.0
2024-02-01,A,PRV-012,China,moda_belleza,1281464.65,1,1,91.7
2024-02-01,A,PRV-013,Vietnam,moda_belleza,709040.35,1,1,55.5
2024-02-01,A,PRV-014,Italia,moda_belleza,858334.35,4,4,11.4
2024-02-01,A,PRV-015,España,hogar_electronica,546146.9,6,6,6.2
2024-02-01,A,PRV-019,Bangladés,alimentacion_hosteleria,397759.87,1,1,41.1
2024-02-01,A,PRV-023,Portugal,moda_belleza,1216858.28,4,4,5.1
2024-02-01,A,PRV-033,España,alimentacion_hosteleria,322441.71,7,7,5.7
2024-02-01,A,PRV-036,Italia,moda_belleza,514817.71,3,3,10.9
2024-02-01,A,PRV-052,Turquía,moda_belleza,1219077.36,2,2,29.7
2024-02-01,A,PRV-057,Turquía,hogar_electronica,935470.18,2,2,9.5
2024-02-01,A,PRV-059,China,hogar_electronica,803151.14,1,1,70.3
2024-02-01,A,PRV-061,España,hogar_electronica,411575.96,4,4,5.0
2024-02-01,A,PRV-065,España,alimentacion_hosteleria,319222.21,6,5,5.5
2024-02-01,A,PRV-086,Vietnam,hogar_electronica,332087.61,1,1,9.7
2024-02-01,A,PRV-092,España,moda_belleza,575661.97,9,9,6.8
2024-02-01,A,PRV-100,China,hogar_electronica,976903.75,1,1,47.4
2024-02-01,A,PRV-106,España,alimentacion_hosteleria,364734.75,7,5,3.3
2024-02-01,A,PRV-107,Bangladés,moda_belleza,975915.31,1,1,34.1
2024-02-01,A,PRV-108,China,moda_belleza,1192160.2,1,0,34.1
2024-02-01,A,PRV-110,España,moda_belleza,479510.17,2,1,8.6
2024-02-01,A,PRV-112,España,hogar_electronica,446237.54,4,4,6.9
2024-02-01,A,PRV-115,Portugal,hogar_electronica,1066495.99,5,5,2.8
2024-02-01,A,PRV-117,España,moda_belleza,984273.83,4,4,5.1
2024-02-01,A,PRV-118,España,alimentacion_hosteleria,458606.69,5,5,8.6
2024-02-01,B,PRV-001,Turquía,hogar_electronica,230076.28,2,1,10.7
2024-02-01,B,PRV-004,China,moda_belleza,598999.49,1,1,60.2
2024-02-01,B,PRV-014,Italia,moda_belleza,602340.69,2,2,8.4
2024-02-01,B,PRV-021,España,hogar_electronica,585751.97,4,4,9.2
2024-02-01,B,PRV-026,Italia,moda_belleza,453366.03,3,3,6.2
2024-02-01,B,PRV-030,China,moda_belleza,609372.38,1,1,67.3
2024-02-01,B,PRV-042,Italia,moda_belleza,374026.65,4,3,8.5
2024-02-01,B,PRV-048,Portugal,moda_belleza,493658.2,2,2,12.7
2024-02-01,B,PRV-050,Bangladés,hogar_electronica,963975.76,1,1,57.8
2024-02-01,B,PRV-051,China,hogar_electronica,296662.57,1,1,41.4
2024-02-01,B,PRV-053,España,alimentacion_hosteleria,607798.38,4,4,6.8
2024-02-01,B,PRV-055,Vietnam,alimentacion_hosteleria,694763.1,1,1,40.1
2024-02-01,B,PRV-059,China,hogar_electronica,574762.92,1,1,67.6
2024-02-01,B,PRV-063,España,hogar_electronica,375688.34,5,3,6.3
2024-02-01,B,PRV-064,España,moda_belleza,166824.58,3,3,7.7
2024-02-01,B,PRV-068,España,moda_belleza,476018.82,9,9,4.3
2024-02-01,B,PRV-076,Turquía,moda_belleza,427643.68,1,1,28.9
2024-02-01,B,PRV-080,España,alimentacion_hosteleria,284726.76,3,3,4.5
2024-02-01,B,PRV-082,China,hogar_electronica,338148.67,1,1,71.5
2024-02-01,B,PRV-085,Portugal,hogar_electronica,324838.42,3,3,7.5
2024-02-01,B,PRV-094,China,moda_belleza,621719.83,1,1,66.4
2024-02-01,B,PRV-098,Vietnam,alimentacion_hosteleria,632710.24,1,0,41.6
2024-02-01,B,PRV-099,España,moda_belleza,581202.68,3,3,8.5
2024-02-01,B,PRV-100,China,hogar_electronica,681132.34,1,1,58.7
2024-02-01,B,PRV-107,Bangladés,moda_belleza,335162.34,1,1,72.4
2024-02-01,B,PRV-111,Turquía,alimentacion_hosteleria,214415.11,2,2,24.8
2024-02-01,C,PRV-005,España,moda_belleza,285427.72,5,5,6.7
2024-02-01,C,PRV-009,Portugal,moda_belleza,350999.41,4,4,12.2
2024-02-01,C,PRV-010,Italia,alimentacion_hosteleria,186724.02,2,2,10.9
2024-02-01,C,PRV-012,China,moda_belleza,296493.75,1,1,64.4
2024-02-01,C,PRV-017,España,moda_belleza,213457.92,3,3,13.6
2024-02-01,C,PRV-023,Portugal,moda_belleza,426445.82,2,1,9.4
2024-02-01,C,PRV-029,España,alimentacion_hosteleria,406836.77,7,7,4.6
2024-02-01,C,PRV-031,España,moda_belleza,483394.54,3,3,7.9
2024-02-01,C,PRV-032,Bangladés,hogar_electronica,413817.8,1,1,61.7
2024-02-01,C,PRV-052,Turquía,moda_belleza,364981.59,2,2,27.9
2024-02-01,C,PRV-053,España,alimentacion_hosteleria,156733.92,5,5,6.9
2024-02-01,C,PRV-054,España,hogar_electronica,255586.94,3,3,7.4
2024-02-01,C,PRV-063,España,hogar_electronica,452873.39,5,5,6.5
2024-02-01,C,PRV-068,España,moda_belleza,430881.91,6,6,4.2
2024-02-01,C,PRV-073,Italia,moda_belleza,373554.36,3,3,8.5
2024-02-01,C,PRV-075,España,moda_belleza,458069.03,4,4,7.3
2024-02-01,C,PRV-079,España,moda_belleza,256527.24,4,4,6.7
2024-02-01,C,PRV-082,China,hogar_electronica,293185.41,1,1,73.1
2024-02-01,C,PRV-083,España,moda_belleza,550091.84,4,4,9.9
2024-02-01,C,PRV-086,Vietnam,hogar_electronica,418690.3,1,1,23.1
2024-02-01,C,PRV-090,España,hogar_electronica,400018.24,5,4,8.5
2024-02-01,C,PRV-097,Turquía,moda_belleza,190334.03,2,2,20.8
2024-02-01,C,PRV-100,China,hogar_electronica,429754.74,1,1,27.1
2024-02-01,C,PRV-112,España,hogar_electronica,342538.95,3,3,6.7
2024-02-01,C,PRV-114,España,moda_belleza,514379.66,4,4,2.0
2024-02-01,C,PRV-117,España,moda_belleza,464278.56,3,3,9.0
2024-02-01,D,PRV-001,Turquía,hogar_electronica,196893.44,2,2,7.1
2024-02-01,D,PRV-003,España,alimentacion_hosteleria,180207.03,6,6,6.6
2024-02-01,D,PRV-005,España,moda_belleza,304361.61,5,5,7.7
2024-02-01,D,PRV-007,España,moda_belleza,200334.7,4,4,11.0
2024-02-01,D,PRV-012,China,moda_belleza,240848.31,1,1,74.2
2024-02-01,D,PRV-017,España,moda_belleza,324853.0,3,3,11.2
2024-02-01,D,PRV-019,Bangladés,alimentacion_hosteleria,367827.3,1,1,24.4
2024-02-01,D,PRV-023,Portugal,moda_belleza,361668.73,4,4,10.3
2024-02-01,D,PRV-035,España,moda_belleza,200878.49,4,4,5.7
2024-02-01,D,PRV-043,China,hogar_electronica,346658.93,1,1,22.3
2024-02-01,D,PRV-056,China,hogar_electronica,191013.73,1,1,72.6
2024-02-01,D,PRV-058,Portugal,alimentacion_hosteleria,304815.28,4,3,14.3
2024-02-01,D,PRV-060,Portugal,moda_belleza,240991.77,5,4,2.5
2024-02-01,D,PRV-065,España,alimentacion_hosteleria,360673.65,4,4,7.6
2024-02-01,D,PRV-067,España,hogar_electronica,188872.89,3,3,8.0
2024-02-01,D,PRV-071,Italia,moda_belleza,101876.02,4,4,13.1
2024-02-01,D,PRV-074,España,moda_belleza,347477.51,5,4,8.0
2024-02-01,D,PRV-076,Turquía,moda_belleza,185350.31,1,1,25.2
2024-02-01,D,PRV-080,España,alimentacion_hosteleria,180632.17,6,4,5.7
2024-02-01,D,PRV-083,España,moda_belleza,168974.64,6,6,6.7
2024-02-01,D,PRV-095,España,moda_belleza,342041.79,4,3,9.2
2024-02-01,D,PRV-099,España,moda_belleza,249847.71,5,5,8.0
2024-02-01,D,PRV-109,España,moda_belleza,232708.04,9,7,3.7
2024-02-01,D,PRV-118,España,alimentacion_hosteleria,169563.12,7,7,2.8
2024-02-01,D,PRV-119,Vietnam,alimentacion_hosteleria,174834.11,1,1,28.5
2024-02-01,E,PRV-007,España,moda_belleza,358138.46,3,3,8.0
2024-02-01,E,PRV-012,China,moda_belleza,124404.1,1,1,62.6
2024-02-01,E,PRV-013,Vietnam,moda_belleza,144468.46,1,0,61.1
2024-02-01,E,PRV-036,Italia,moda_belleza,102664.44,3,3,10.2
2024-02-01,E,PRV-037,China,moda_belleza,352090.95,1,1,58.3
2024-02-01,E,PRV-038,China,moda_belleza,329645.61,1,1,20.2
2024-02-01,E,PRV-040,España,moda_belleza,167165.71,6,5,6.9
2024-02-01,E,PRV-041,España,moda_belleza,239567.87,7,5,8.4
2024-02-01,E,PRV-042,Italia,moda_belleza,197178.49,4,3,6.7
2024-02-01,E,PRV-043,China,hogar_electronica,304202.62,1,1,33.9
2024-02-01,E,PRV-053,España,alimentacion_hosteleria,83151.95,5,5,5.5
2024-02-01,E,PRV-058,Portugal,alimentacion_hosteleria,88056.84,4,4,2.5
2024-02-01,E,PRV-060,Portugal,moda_belleza,202587.27,4,4,2.7
2024-02-01,E,PRV-064,España,moda_belleza,243923.62,5,5,9.0
2024-02-01,E,PRV-065,España,alimentacion_hosteleria,212308.04,6,6,6.7
2024-02-01,E,PRV-068,España,moda_belleza,147956.33,5,5,4.2
2024-02-01,E,PRV-073,Italia,moda_belleza,102227.27,4,4,18.5
2024-02-01,E,PRV-077,Bangladés,hogar_electronica,199904.79,1,1,61.5
2024-02-01,E,PRV-083,España,moda_belleza,161916.71,3,3,5.1
2024-02-01,E,PRV-087,España,alimentacion_hosteleria,182854.33,6,6,5.8
2024-02-01,E,PRV-097,Turquía,moda_belleza,131948.47,1,1,22.3
2024-02-01,E,PRV-103,España,moda_belleza,447570.76,3,3,3.0
2024-02-01,E,PRV-105,España,alimentacion_hosteleria,374641.56,6,6,6.6
2024-02-01,E,PRV-111,Turquía,alimentacion_hosteleria,106770.6,1,1,16.4
2024-02-01,E,PRV-117,España,moda_belleza,246104.21,5,5,4.9
2024-03-01,A,PRV-004,China,moda_belleza,743081.64,1,0,53.0
2024-03-01,A,PRV-006,España,alimentacion_hosteleria,419097.18,5,5,8.5
2024-03-01,A,PRV-009,Portugal,moda_belleza,655908.18,3,3,7.3
2024-03-01,A,PRV-012,China,moda_belleza,1119376.91,1,1,56.0
2024-03-01,A,PRV-013,Vietnam,moda_belleza,1207795.34,1,0,48.4
2024-03-01,A,PRV-014,Italia,moda_belleza,647946.13,3,3,4.4
2024-03-01,A,PRV-015,España,hogar_electronica,717852.69,4,4,7.0
2024-03-01,A,PRV-019,Bangladés,alimentacion_hosteleria,498239.95,1,0,43.5
2024-03-01,A,PRV-023,Portugal,moda_belleza,1120340.11,4,4,7.3
2024-03-01,A,PRV-033,España,alimentacion_hosteleria,446724.1,6,6,4.1
2024-03-01,A,PRV-036,Italia,moda_belleza,568671.54,3,3,7.7
2024-03-01,A,PRV-052,Turquía,moda_belleza,1205313.12,2,2,20.8
2024-03-01,A,PRV-057,Turquía,hogar_electronica,824369.82,3,3,18.7
2024-03-01,A,PRV-059,China,hogar_electronica,1193730.04,1,1,45.2
2024-03-01,A,PRV-061,España,hogar_electronica,516909.08,2,2,6.9
2024-03-01,A,PRV-065,España,alimentacion_hosteleria,391306.57,6,4,6.8
2024-03-01,A,PRV-086,Vietnam,hogar_electronica,320348.39,1,0,45.4
2024-03-01,A,PRV-092,España,moda_belleza,698156.39,8,8,8.1
2024-03-01,A,PRV-100,China,hogar_electronica,1148400.04,1,1,66.7
2024-03-01,A,PRV-106,España,alimentacion_hosteleria,356273.22,6,6,3.2
2024-03-01,A,PRV-107,Bangladés,moda_belleza,840365.35,1,1,77.3
2024-03-01,A,PRV-108,China,moda_belleza,1004428.0,1,0,52.6
2024-03-01,A,PRV-110,España,moda_belleza,572372.22,3,3,6.5
2024-03-01,A,PRV-112,España,hogar_electronica,372391.86,5,5,6.0
2024-03-01,A,PRV-115,Portugal,hogar_electronica,850880.1,3,2,7.9
2024-03-01,A,PRV-117,España,moda_belleza,1266658.94,6,6,5.7
2024-03-01,A,PRV-118,España,alimentacion_hosteleria,453489.22,9,9,4.4
2024-03-01,B,PRV-001,Turquía,hogar_electronica,250568.4,2,2,12.8
2024-03-01,B,PRV-004,China,moda_belleza,671401.13,1,0,83.8
2024-03-01,B,PRV-014,Italia,moda_belleza,403607.46,5,5,4.5
2024-03-01,B,PRV-021,España,hogar_electronica,603261.15,6,6,4.9
2024-03-01,B,PRV-026,Italia,moda_belleza,413885.15,3,3,9.1
2024-03-01,B,PRV-030,China,moda_belleza,552015.88,1,0,53.1
2024-03-01,B,PRV-042,Italia,moda_belleza,443823.17,5,5,10.3
2024-03-01,B,PRV-048,Portugal,moda_belleza,483502.01,2,2,12.7
2024-03-01,B,PRV-050,Bangladés,hogar_electronica,670898.51,1,0,87.3
2024-03-01,B,PRV-051,China,hogar_electronica,273573.48,1,1,36.1
2024-03-01,B,PRV-053,España,alimentacion_hosteleria,602645.27,4,3,7.5
2024-03-01,B,PRV-055,Vietnam,alimentacion_hosteleria,555854.02,1,1,57.9
2024-03-01,B,PRV-059,China,hogar_electronica,493078.51,1,1,57.4
2024-03-01,B,PRV-063,España,hogar_electronica,312055.41,4,4,5.8
2024-03-01,B,PRV-064,España,moda_belleza,246012.33,6,4,6.8
2024-03-01,B,PRV-068,España,moda_belleza,468122.45,8,8,3.9
2024-03-01,B,PRV-076,Turquía,moda_belleza,370703.23,1,1,18.4
2024-03-01,B,PRV-080,España,alimentacion_hosteleria,281622.14,5,2,6.9
2024-03-01,B,PRV-082,China,hogar_electronica,350569.39,1,1,71.9
2024-03-01,B,PRV-085,Portugal,hogar_electronica,545826.89,2,2,7.6
2024-03-01,B,PRV-094,China,moda_belleza,625091.44,1,1,86.3
2024-03-01,B,PRV-098,Vietnam,alimentacion_hosteleria,752260.99,1,0,47.4
2024-03-01,B,PRV-099,España,moda_belleza,532229.17,5,5,7.8
2024-03-01,B,PRV-100,China,hogar_electronica,634945.5,1,1,32.0
2024-03-01,B,PRV-107,Bangladés,moda_belleza,301802.55,1,0,43.1
2024-03-01,B,PRV-111,Turquía,alimentacion_hosteleria,234692.37,1,1,23.8
2024-03-01,C,PRV-005,España,moda_belleza,312617.07,4,4,8.7
2024-03-01,C,PRV-009,Portugal,moda_belleza,361383.03,4,4,9.2
2024-03-01,C,PRV-010,Italia,alimentacion_hosteleria,148534.32,2,2,10.7
2024-03-01,C,PRV-012,China,moda_belleza,269581.03,1,1,67.1
2024-03-01,C,PRV-017,España,moda_belleza,177332.71,3,3,10.5
2024-03-01,C,PRV-023,Portugal,moda_belleza,428040.16,4,4,7.6
2024-03-01,C,PRV-029,España,alimentacion_hosteleria,345415.84,6,6,4.6
2024-03-01,C,PRV-031,España,moda_belleza,450231.07,5,5,4.6
2024-03-01,C,PRV-032,Bangladés,hogar_electronica,459728.15,1,1,90.4
2024-03-01,C,PRV-052,Turquía,moda_belleza,251730.18,2,1,22.5
2024-03-01,C,PRV-053,España,alimentacion_hosteleria,152588.15,5,5,6.5
2024-03-01,C,PRV-054,España,hogar_electronica,298878.93,5,5,4.0
2024-03-01,C,PRV-063,España,hogar_electronica,311283.31,4,4,8.1
2024-03-01,C,PRV-068,España,moda_belleza,441171.69,11,11,4.8
2024-03-01,C,PRV-073,Italia,moda_belleza,386411.36,3,2,11.9
2024-03-01,C,PRV-075,España,moda_belleza,369619.9,4,3,7.4
2024-03-01,C,PRV-079,España,moda_belleza,248948.72,5,5,8.5
2024-03-01,C,PRV-082,China,hogar_electronica,219873.69,1,0,63.6
2024-03-01,C,PRV-083,España,moda_belleza,405149.61,3,3,5.4
2024-03-01,C,PRV-086,Vietnam,hogar_electronica,281433.29,1,0,51.1
2024-03-01,C,PRV-090,España,hogar_electronica,355018.39,3,3,9.5
2024-03-01,C,PRV-097,Turquía,moda_belleza,203641.9,2,2,16.2
2024-03-01,C,PRV-100,China,hogar_electronica,487189.4,1,0,51.9
2024-03-01,C,PRV-112,España,hogar_electronica,407722.41,3,3,7.5
2024-03-01,C,PRV-114,España,moda_belleza,375460.31,6,5,7.6
2024-03-01,C,PRV-117,España,moda_belleza,328159.31,5,5,5.8
2024-03-01,D,PRV-001,Turquía,hogar_electronica,262364.77,3,3,17.7
2024-03-01,D,PRV-003,España,alimentacion_hosteleria,224220.31,5,5,5.8
2024-03-01,D,PRV-005,España,moda_belleza,388007.21,6,6,5.4
2024-03-01,D,PRV-007,España,moda_belleza,171824.52,3,3,8.5
2024-03-01,D,PRV-012,China,moda_belleza,218919.18,1,1,83.1
2024-03-01,D,PRV-017,España,moda_belleza,286899.56,4,4,8.1
2024-03-01,D,PRV-019,Bangladés,alimentacion_hosteleria,340836.84,1,0,38.1
2024-03-01,D,PRV-023,Portugal,moda_belleza,372854.59,3,3,10.2
2024-03-01,D,PRV-035,España,moda_belleza,142369.93,4,4,5.3
2024-03-01,D,PRV-043,China,hogar_electronica,339963.47,1,1,59.9
2024-03-01,D,PRV-056,China,hogar_electronica,200846.8,1,1,41.7
2024-03-01,D,PRV-058,Portugal,alimentacion_hosteleria,282952.34,3,3,15.1
2024-03-01,D,PRV-060,Portugal,moda_belleza,352832.88,3,2,7.9
2024-03-01,D,PRV-065,España,alimentacion_hosteleria,387683.7,6,4,5.2
