mes,codigo_tienda,grupo,categoria,nombre_categoria,stock_medio_eur,rotacion_anualizada,dias_cobertura,merma_pct,merma_eur
2024-01-01,RN-BCN-ES06,B,moda_belleza,Moda y Belleza,467921.47,3.38,108.0,0.0086,1827.73
2024-01-01,RN-BCN-ES06,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",70462.05,3.76,97.2,0.0056,199.25
2024-01-01,RN-BCN-ES06,B,alimentacion_hosteleria,Alimentación y Hostelería,1684.53,18.71,19.5,0.0244,103.38
2024-01-01,RN-BCN-ES07,B,moda_belleza,Moda y Belleza,435691.4,3.53,103.4,0.013,2687.12
2024-01-01,RN-BCN-ES07,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",58367.09,4.41,82.7,0.0056,193.79
2024-01-01,RN-BCN-ES07,B,alimentacion_hosteleria,Alimentación y Hostelería,1882.76,16.28,22.4,0.0159,65.52
2024-01-01,RN-BCN-ES08,B,moda_belleza,Moda y Belleza,380426.55,3.24,112.6,0.013,2154.2
2024-01-01,RN-BCN-ES08,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",46780.24,4.41,82.7,0.0048,133.16
2024-01-01,RN-BCN-ES08,B,alimentacion_hosteleria,Alimentación y Hostelería,1263.93,19.45,18.8,0.029,95.8
2024-01-01,RN-BCN-ES09,B,moda_belleza,Moda y Belleza,431450.72,3.74,97.5,0.0131,2844.59
2024-01-01,RN-BCN-ES09,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",73206.6,3.69,98.8,0.0067,243.57
2024-01-01,RN-BCN-ES09,B,alimentacion_hosteleria,Alimentación y Hostelería,1494.2,21.56,16.9,0.024,103.9
2024-01-01,RN-BCN-ES10,B,moda_belleza,Moda y Belleza,398169.62,3.75,97.2,0.0126,2531.52
2024-01-01,RN-BCN-ES10,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",58973.57,4.24,86.0,0.0051,171.54
2024-01-01,RN-BCN-ES10,B,alimentacion_hosteleria,Alimentación y Hostelería,1918.4,15.53,23.5,0.0177,70.9
2024-01-01,RN-BCN-ES11,B,moda_belleza,Moda y Belleza,460845.62,3.36,108.8,0.0121,2514.6
2024-01-01,RN-BCN-ES11,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",71165.7,3.64,100.3,0.0054,187.88
2024-01-01,RN-BCN-ES11,B,alimentacion_hosteleria,Alimentación y Hostelería,1619.21,19.04,19.2,0.0349,144.59
2024-01-01,RN-BCN-ES12,B,moda_belleza,Moda y Belleza,398625.33,3.47,105.0,0.0113,2103.76
2024-01-01,RN-BCN-ES12,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",51365.82,4.51,80.9,0.005,155.84
2024-01-01,RN-BCN-ES12,B,alimentacion_hosteleria,Alimentación y Hostelería,1714.46,16.11,22.7,0.0264,97.99
2024-01-01,RN-BCN-ES13,B,moda_belleza,Moda y Belleza,434580.2,3.64,100.3,0.0058,1233.29
2024-01-01,RN-BCN-ES13,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",62317.42,4.25,85.9,0.0057,202.91
2024-01-01,RN-BCN-ES13,B,alimentacion_hosteleria,Alimentación y Hostelería,1724.98,18.28,20.0,0.0263,111.49
2024-01-01,RN-BCN-ES14,B,moda_belleza,Moda y Belleza,456298.05,3.82,95.6,0.016,3747.94
2024-01-01,RN-BCN-ES14,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",62967.42,4.63,78.8,0.0058,227.46
2024-01-01,RN-BCN-ES14,B,alimentacion_hosteleria,Alimentación y Hostelería,1850.43,18.78,19.4,0.0319,148.97
2024-01-01,RN-BCN-GA01,B,moda_belleza,Moda y Belleza,3084830.76,3.35,108.8,0.0111,15439.72
2024-01-01,RN-BCN-GA01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",3015468.9,4.18,87.4,0.0081,13712.13
2024-01-01,RN-BCN-GA01,B,alimentacion_hosteleria,Alimentación y Hostelería,146706.77,21.52,17.0,0.0326,13835.43
2024-01-01,RN-BCN-GA02,B,moda_belleza,Moda y Belleza,3132342.86,3.78,96.6,0.0147,23388.36
2024-01-01,RN-BCN-GA02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",3295768.35,4.37,83.5,0.004,7745.44
2024-01-01,RN-BCN-GA02,B,alimentacion_hosteleria,Alimentación y Hostelería,180583.81,20.0,18.2,0.0258,12524.52
2024-01-01,RN-BCN-HI01,B,moda_belleza,Moda y Belleza,119863.18,3.23,113.0,0.0145,754.23
2024-01-01,RN-BCN-HI01,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",262800.69,3.8,96.1,0.0067,898.52
2024-01-01,RN-BCN-HI01,B,alimentacion_hosteleria,Alimentación y Hostelería,147735.74,22.4,16.3,0.0333,14814.32
2024-01-01,RN-BCN-HI02,B,moda_belleza,Moda y Belleza,176804.74,3.23,113.0,0.0111,851.8
2024-01-01,RN-BCN-HI02,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",379374.49,3.88,94.1,0.0075,1483.85
2024-01-01,RN-BCN-HI02,B,alimentacion_hosteleria,Alimentación y Hostelería,260604.55,18.74,19.5,0.0253,16604.88
2024-01-01,RN-BCN-HI03,B,moda_belleza,Moda y Belleza,138322.25,2.8,130.4,0.0133,692.02
2024-01-01,RN-BCN-HI03,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",233910.86,4.27,85.5,0.0068,912.2
2024-01-01,RN-BCN-HI03,B,alimentacion_hosteleria,Alimentación y Hostelería,171153.1,19.34,18.9,0.0223,9923.68
2024-01-01,RN-BCN-HI04,B,moda_belleza,Moda y Belleza,150996.29,3.17,115.2,0.0103,662.41
2024-01-01,RN-BCN-HI04,B,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",269188.74,4.58,79.6,0.0054,895.37
2024-01-01,RN-BCN-HI04,B,alimentacion_hosteleria,Alimentación y Hostelería,213339.88,19.18,19.0,0.0284,15621.12
2024-01-01,RN-BIO-CV01,E,moda_belleza,Moda y Belleza,21185.62,3.23,112.9,0.0116,106.77
2024-01-01,RN-BIO-CV01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",43189.11,4.22,86.6,0.004,97.88
2024-01-01,RN-BIO-CV01,E,alimentacion_hosteleria,Alimentación y Hostelería,48737.54,18.87,19.3,0.0182,2250.07
2024-01-01,RN-BIO-CV02,E,moda_belleza,Moda y Belleza,21288.4,3.26,111.9,0.0081,75.61
2024-01-01,RN-BIO-CV02,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",36740.45,5.02,72.6,0.0057,141.44
2024-01-01,RN-BIO-CV02,E,alimentacion_hosteleria,Alimentación y Hostelería,52402.19,17.8,20.5,0.0266,3334.81
2024-01-01,RN-BIO-CV03,E,moda_belleza,Moda y Belleza,19905.86,3.19,114.3,0.0081,69.21
2024-01-01,RN-BIO-CV03,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",37246.97,4.54,80.5,0.0052,118.11
2024-01-01,RN-BIO-CV03,E,alimentacion_hosteleria,Alimentación y Hostelería,49079.06,17.4,21.0,0.0231,2650.86
2024-01-01,RN-BIO-CV04,E,moda_belleza,Moda y Belleza,19851.07,3.82,95.5,0.01,101.96
2024-01-01,RN-BIO-CV04,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",47219.77,4.27,85.5,0.0046,124.69
2024-01-01,RN-BIO-CV04,E,alimentacion_hosteleria,Alimentación y Hostelería,50475.61,20.19,18.1,0.0224,3067.74
2024-01-01,RN-BIO-ES01,E,moda_belleza,Moda y Belleza,451688.36,3.05,119.7,0.0113,2091.76
2024-01-01,RN-BIO-ES01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",75948.1,3.65,99.9,0.0041,152.85
2024-01-01,RN-BIO-ES01,E,alimentacion_hosteleria,Alimentación y Hostelería,1447.51,20.5,17.8,0.0236,94.13
2024-01-01,RN-BIO-ES02,E,moda_belleza,Moda y Belleza,478048.04,2.55,143.0,0.0096,1574.17
2024-01-01,RN-BIO-ES02,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",49824.1,4.93,74.0,0.007,231.17
2024-01-01,RN-BIO-ES02,E,alimentacion_hosteleria,Alimentación y Hostelería,1427.99,18.41,19.8,0.0215,75.97
2024-01-01,RN-BIO-ES03,E,moda_belleza,Moda y Belleza,582302.51,3.14,116.2,0.0099,2434.87
2024-01-01,RN-BIO-ES03,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",92974.69,3.96,92.1,0.0048,237.75
2024-01-01,RN-BIO-ES03,E,alimentacion_hosteleria,Alimentación y Hostelería,1947.62,20.24,18.0,0.016,84.79
2024-01-01,RN-BIO-ES04,E,moda_belleza,Moda y Belleza,398117.49,3.99,91.4,0.0089,1901.87
2024-01-01,RN-BIO-ES04,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",76118.65,4.21,86.8,0.0042,180.75
2024-01-01,RN-BIO-ES04,E,alimentacion_hosteleria,Alimentación y Hostelería,2107.09,16.26,22.4,0.0271,124.78
2024-01-01,RN-BIO-ES05,E,moda_belleza,Moda y Belleza,418493.39,3.51,103.9,0.0112,2213.3
2024-01-01,RN-BIO-ES05,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",55710.8,5.32,68.7,0.0054,214.91
2024-01-01,RN-BIO-ES05,E,alimentacion_hosteleria,Alimentación y Hostelería,1581.37,20.03,18.2,0.0162,68.98
2024-01-01,RN-BIO-ES06,E,moda_belleza,Moda y Belleza,513350.02,3.43,106.4,0.011,2603.88
2024-01-01,RN-BIO-ES06,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",96189.56,3.69,99.0,0.0042,200.23
2024-01-01,RN-BIO-ES06,E,alimentacion_hosteleria,Alimentación y Hostelería,2279.8,16.65,21.9,0.0233,118.85
2024-01-01,RN-BIO-ES07,E,moda_belleza,Moda y Belleza,360389.08,4.24,86.1,0.0085,1744.6
2024-01-01,RN-BIO-ES07,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",79459.68,3.87,94.3,0.006,248.01
2024-01-01,RN-BIO-ES07,E,alimentacion_hosteleria,Alimentación y Hostelería,1859.23,17.7,20.6,0.0204,90.22
2024-01-01,RN-BIO-GA01,E,moda_belleza,Moda y Belleza,1892671.06,3.52,103.7,0.007,6268.03
2024-01-01,RN-BIO-GA01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",2208868.4,4.42,82.7,0.0052,6816.98
2024-01-01,RN-BIO-GA01,E,alimentacion_hosteleria,Alimentación y Hostelería,107672.55,20.4,17.9,0.0207,6112.51
2024-01-01,RN-BIO-HI01,E,moda_belleza,Moda y Belleza,138450.65,3.25,112.4,0.0085,513.77
2024-01-01,RN-BIO-HI01,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",303847.42,4.59,79.5,0.005,937.32
2024-01-01,RN-BIO-HI01,E,alimentacion_hosteleria,Alimentación y Hostelería,240401.73,17.29,21.1,0.0243,13577.37
2024-01-01,RN-BIO-HI02,E,moda_belleza,Moda y Belleza,103166.75,3.34,109.3,0.0084,388.9
2024-01-01,RN-BIO-HI02,E,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",269245.9,3.97,92.0,0.0045,646.16
2024-01-01,RN-BIO-HI02,E,alimentacion_hosteleria,Alimentación y Hostelería,215568.14,14.77,24.7,0.0204,8730.73
2024-01-01,RN-MAD-CV01,A,moda_belleza,Moda y Belleza,20705.25,3.58,102.1,0.0095,94.55
2024-01-01,RN-MAD-CV01,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",32034.95,4.55,80.3,0.0076,148.79
2024-01-01,RN-MAD-CV01,A,alimentacion_hosteleria,Alimentación y Hostelería,45101.36,19.67,18.6,0.0221,2635.72
2024-01-01,RN-MAD-CV02,A,moda_belleza,Moda y Belleza,18506.3,4.39,83.2,0.0157,171.34
2024-01-01,RN-MAD-CV02,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",48674.08,3.28,111.2,0.0059,126.67
2024-01-01,RN-MAD-CV02,A,alimentacion_hosteleria,Alimentación y Hostelería,58559.97,16.62,22.0,0.0252,3295.71
2024-01-01,RN-MAD-CV03,A,moda_belleza,Moda y Belleza,21869.7,3.4,107.4,0.0105,104.87
2024-01-01,RN-MAD-CV03,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",33870.67,4.32,84.6,0.0078,153.25
2024-01-01,RN-MAD-CV03,A,alimentacion_hosteleria,Alimentación y Hostelería,50259.54,17.72,20.6,0.0236,2824.63
2024-01-01,RN-MAD-CV04,A,moda_belleza,Moda y Belleza,23202.08,3.78,96.6,0.0088,103.71
2024-01-01,RN-MAD-CV04,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",41371.9,4.17,87.5,0.0061,141.42
2024-01-01,RN-MAD-CV04,A,alimentacion_hosteleria,Alimentación y Hostelería,64767.25,16.22,22.5,0.0248,3502.48
2024-01-01,RN-MAD-CV05,A,moda_belleza,Moda y Belleza,17794.47,3.63,100.6,0.0083,72.06
2024-01-01,RN-MAD-CV05,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",32760.06,3.88,94.1,0.0051,87.1
2024-01-01,RN-MAD-CV05,A,alimentacion_hosteleria,Alimentación y Hostelería,45048.43,17.18,21.2,0.0296,3079.38
2024-01-01,RN-MAD-CV06,A,moda_belleza,Moda y Belleza,22161.9,3.28,111.4,0.0125,121.99
2024-01-01,RN-MAD-CV06,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",38772.54,3.68,99.1,0.007,134.38
2024-01-01,RN-MAD-CV06,A,alimentacion_hosteleria,Alimentación y Hostelería,42793.25,20.33,18.0,0.028,3274.47
2024-01-01,RN-MAD-CV07,A,moda_belleza,Moda y Belleza,17862.79,3.87,94.3,0.0135,125.44
2024-01-01,RN-MAD-CV07,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",37802.05,3.6,101.5,0.0076,138.92
2024-01-01,RN-MAD-CV07,A,alimentacion_hosteleria,Alimentación y Hostelería,43907.71,18.87,19.3,0.0334,3719.02
2024-01-01,RN-MAD-CV08,A,moda_belleza,Moda y Belleza,22495.27,3.87,94.4,0.0098,114.54
2024-01-01,RN-MAD-CV08,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",38828.83,4.41,82.9,0.0064,147.15
2024-01-01,RN-MAD-CV08,A,alimentacion_hosteleria,Alimentación y Hostelería,51674.91,20.17,18.1,0.02,2801.17
2024-01-01,RN-MAD-CV09,A,moda_belleza,Moda y Belleza,33395.09,2.58,141.5,0.0124,143.55
2024-01-01,RN-MAD-CV09,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",39887.08,4.25,85.9,0.0075,170.8
2024-01-01,RN-MAD-CV09,A,alimentacion_hosteleria,Alimentación y Hostelería,60156.23,17.16,21.3,0.026,3607.02
2024-01-01,RN-MAD-CV10,A,moda_belleza,Moda y Belleza,26339.52,3.03,120.3,0.0151,162.14
2024-01-01,RN-MAD-CV10,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",40584.04,3.87,94.3,0.0054,114.06
2024-01-01,RN-MAD-CV10,A,alimentacion_hosteleria,Alimentación y Hostelería,54470.68,17.58,20.8,0.023,2959.47
2024-01-01,RN-MAD-ES01,A,moda_belleza,Moda y Belleza,648361.43,3.15,116.0,0.0081,2221.12
2024-01-01,RN-MAD-ES01,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",77312.57,3.93,92.8,0.0043,175.72
2024-01-01,RN-MAD-ES01,A,alimentacion_hosteleria,Alimentación y Hostelería,2097.65,18.7,19.5,0.0164,86.46
2024-01-01,RN-MAD-ES02,A,moda_belleza,Moda y Belleza,374011.73,3.74,97.6,0.0096,1805.68
2024-01-01,RN-MAD-ES02,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",46074.78,4.53,80.6,0.0059,165.38
2024-01-01,RN-MAD-ES02,A,alimentacion_hosteleria,Alimentación y Hostelería,1324.64,20.31,18.0,0.0264,95.46
2024-01-01,RN-MAD-ES03,A,moda_belleza,Moda y Belleza,506886.04,3.43,106.3,0.0109,2549.14
2024-01-01,RN-MAD-ES03,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",77459.88,3.35,109.0,0.0039,135.93
2024-01-01,RN-MAD-ES03,A,alimentacion_hosteleria,Alimentación y Hostelería,1678.78,19.93,18.3,0.0283,127.24
2024-01-01,RN-MAD-ES04,A,moda_belleza,Moda y Belleza,532453.2,3.34,109.3,0.0137,3273.33
2024-01-01,RN-MAD-ES04,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",67944.72,3.9,93.6,0.0054,192.28
2024-01-01,RN-MAD-ES04,A,alimentacion_hosteleria,Alimentación y Hostelería,2104.18,16.24,22.5,0.0329,151.12
2024-01-01,RN-MAD-ES05,A,moda_belleza,Moda y Belleza,455366.24,3.33,109.8,0.0132,2686.32
2024-01-01,RN-MAD-ES05,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",58301.52,3.87,94.3,0.0061,185.01
2024-01-01,RN-MAD-ES05,A,alimentacion_hosteleria,Alimentación y Hostelería,1786.58,16.29,22.4,0.0314,122.85
2024-01-01,RN-MAD-ES06,A,moda_belleza,Moda y Belleza,555147.24,3.16,115.5,0.01,2357.09
2024-01-01,RN-MAD-ES06,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",61860.3,4.22,86.4,0.006,210.76
2024-01-01,RN-MAD-ES06,A,alimentacion_hosteleria,Alimentación y Hostelería,1816.54,18.56,19.7,0.0294,133.22
2024-01-01,RN-MAD-ES07,A,moda_belleza,Moda y Belleza,561158.2,3.28,111.3,0.0141,3487.98
2024-01-01,RN-MAD-ES07,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",68161.67,4.02,90.7,0.0047,173.27
2024-01-01,RN-MAD-ES07,A,alimentacion_hosteleria,Alimentación y Hostelería,1854.49,19.08,19.1,0.0272,129.36
2024-01-01,RN-MAD-ES08,A,moda_belleza,Moda y Belleza,557376.3,3.29,110.8,0.0141,3479.67
2024-01-01,RN-MAD-ES08,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",55768.59,4.91,74.4,0.0051,187.57
2024-01-01,RN-MAD-ES08,A,alimentacion_hosteleria,Alimentación y Hostelería,2068.16,17.07,21.4,0.0255,120.98
2024-01-01,RN-MAD-ES09,A,moda_belleza,Moda y Belleza,524909.91,3.16,115.3,0.0153,3415.82
2024-01-01,RN-MAD-ES09,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",57517.64,4.3,84.8,0.0049,163.03
2024-01-01,RN-MAD-ES09,A,alimentacion_hosteleria,Alimentación y Hostelería,1807.22,17.67,20.7,0.0349,149.79
2024-01-01,RN-MAD-ES10,A,moda_belleza,Moda y Belleza,503918.46,3.57,102.1,0.0103,2492.89
2024-01-01,RN-MAD-ES10,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",80780.23,3.32,109.9,0.006,216.41
2024-01-01,RN-MAD-ES10,A,alimentacion_hosteleria,Alimentación y Hostelería,2246.76,15.41,23.7,0.0281,130.75
2024-01-01,RN-MAD-ES11,A,moda_belleza,Moda y Belleza,378746.54,3.83,95.3,0.0126,2457.73
2024-01-01,RN-MAD-ES11,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",47915.12,4.51,80.9,0.0072,209.3
2024-01-01,RN-MAD-ES11,A,alimentacion_hosteleria,Alimentación y Hostelería,1449.75,19.24,19.0,0.0206,77.25
2024-01-01,RN-MAD-ES12,A,moda_belleza,Moda y Belleza,547688.82,3.34,109.4,0.0149,3660.4
2024-01-01,RN-MAD-ES12,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",58256.95,4.68,78.1,0.0045,164.75
2024-01-01,RN-MAD-ES12,A,alimentacion_hosteleria,Alimentación y Hostelería,1765.82,19.9,18.3,0.023,108.63
2024-01-01,RN-MAD-ES13,A,moda_belleza,Moda y Belleza,435636.85,3.95,92.5,0.0127,2934.29
2024-01-01,RN-MAD-ES13,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",48484.7,5.28,69.1,0.0053,182.49
2024-01-01,RN-MAD-ES13,A,alimentacion_hosteleria,Alimentación y Hostelería,2151.32,15.36,23.8,0.0269,119.49
2024-01-01,RN-MAD-ES14,A,moda_belleza,Moda y Belleza,456130.33,3.0,121.5,0.011,2025.99
2024-01-01,RN-MAD-ES14,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",47583.1,4.29,85.0,0.0062,170.18
2024-01-01,RN-MAD-ES14,A,alimentacion_hosteleria,Alimentación y Hostelería,1408.32,18.71,19.5,0.0261,92.42
2024-01-01,RN-MAD-ES15,A,moda_belleza,Moda y Belleza,535106.17,2.98,122.6,0.0139,2977.04
2024-01-01,RN-MAD-ES15,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",57606.67,4.12,88.5,0.0066,210.66
2024-01-01,RN-MAD-ES15,A,alimentacion_hosteleria,Alimentación y Hostelería,1692.01,18.11,20.2,0.0278,114.47
2024-01-01,RN-MAD-ES16,A,moda_belleza,Moda y Belleza,437145.96,3.81,95.9,0.0152,3398.64
2024-01-01,RN-MAD-ES16,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",63347.95,3.91,93.3,0.0069,229.92
2024-01-01,RN-MAD-ES16,A,alimentacion_hosteleria,Alimentación y Hostelería,1607.93,19.89,18.4,0.0153,65.77
2024-01-01,RN-MAD-ES17,A,moda_belleza,Moda y Belleza,545740.32,3.02,121.0,0.0134,2966.13
2024-01-01,RN-MAD-ES17,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",54569.23,4.5,81.2,0.0041,135.25
2024-01-01,RN-MAD-ES17,A,alimentacion_hosteleria,Alimentación y Hostelería,1525.28,20.76,17.6,0.0297,126.39
2024-01-01,RN-MAD-ES18,A,moda_belleza,Moda y Belleza,551698.45,3.5,104.4,0.0115,2982.54
2024-01-01,RN-MAD-ES18,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",79783.73,3.6,101.3,0.0067,258.96
2024-01-01,RN-MAD-ES18,A,alimentacion_hosteleria,Alimentación y Hostelería,2047.18,18.12,20.1,0.025,124.65
2024-01-01,RN-MAD-ES19,A,moda_belleza,Moda y Belleza,485902.96,3.52,103.6,0.0077,1771.09
2024-01-01,RN-MAD-ES19,A,hogar_electronica,"Hogar, Electrónica y Electrodomésticos",64240.14,3.97,91.9,0.0062,212.53
