mes,codigo_instalacion,grupo,tipo_instalacion,carton_kg,plastico_kg,organico_kg,raee_kg,textil_kg,resto_kg,total_kg,pct_reciclado
2024-01-01,RN-BIO-CV01,E,tienda,1015.2,546.7,1615.5,147.4,36.5,390.2,3751.5,0.87
2024-01-01,RN-BIO-CV02,E,tienda,1049.9,574.9,1441.7,154.6,35.7,408.0,3664.8,0.84
2024-01-01,RN-BIO-CV03,E,tienda,974.8,514.1,1442.0,168.3,30.7,378.4,3508.3,0.753
2024-01-01,RN-BIO-CV04,E,tienda,1052.1,762.5,1562.0,170.7,40.1,400.8,3988.2,0.811
2024-01-01,RN-BIO-ES01,E,tienda,965.2,671.8,72.6,197.0,708.6,334.3,2949.5,0.907
2024-01-01,RN-BIO-ES02,E,tienda,927.0,640.6,66.4,176.6,584.2,308.4,2703.2,0.878
2024-01-01,RN-BIO-ES03,E,tienda,1455.0,950.1,89.2,277.7,803.8,476.7,4052.5,0.848
2024-01-01,RN-BIO-ES04,E,tienda,1399.0,768.4,83.1,216.6,757.7,421.0,3645.8,0.85
2024-01-01,RN-BIO-ES05,E,tienda,1074.8,821.6,72.4,203.9,772.3,380.4,3325.4,0.826
2024-01-01,RN-BIO-ES06,E,tienda,1276.0,896.8,88.5,273.8,894.4,421.3,3850.8,0.854
2024-01-01,RN-BIO-ES07,E,tienda,1221.9,703.2,80.4,202.6,758.8,356.9,3323.8,0.913
2024-01-01,RN-BIO-GA01,E,tienda,14859.8,9142.3,3310.2,6863.3,3062.9,4426.1,41664.6,0.861
2024-01-01,RN-BIO-HI01,E,tienda,5106.1,3114.7,7177.2,953.8,227.5,1873.5,18452.8,0.831
2024-01-01,RN-BIO-HI02,E,tienda,4132.5,2431.2,5121.6,747.1,178.6,1323.6,13934.6,0.895
2024-01-01,RN-MAD-CV01,A,tienda,903.0,532.9,1481.9,123.6,40.3,322.5,3404.2,0.699
2024-01-01,RN-MAD-CV02,A,tienda,1019.2,622.6,1618.5,133.6,40.8,429.6,3864.3,0.656
2024-01-01,RN-MAD-CV03,A,tienda,879.5,524.3,1548.9,126.0,35.2,321.4,3435.3,0.694
2024-01-01,RN-MAD-CV04,A,tienda,1155.2,693.8,1618.8,155.8,44.4,419.4,4087.4,0.726
2024-01-01,RN-MAD-CV05,A,tienda,762.2,502.4,1387.1,106.1,35.6,301.0,3094.4,0.68
2024-01-01,RN-MAD-CV06,A,tienda,936.7,530.7,1532.3,130.8,37.9,339.6,3508.0,0.695
2024-01-01,RN-MAD-CV07,A,tienda,832.7,593.4,1444.8,120.4,35.3,338.1,3364.7,0.658
2024-01-01,RN-MAD-CV08,A,tienda,1128.1,646.3,1894.2,145.6,42.3,435.9,4292.4,0.66
2024-01-01,RN-MAD-CV09,A,tienda,1023.4,600.8,1602.0,155.0,44.8,447.0,3873.0,0.68
2024-01-01,RN-MAD-CV10,A,tienda,950.6,515.5,1727.1,129.1,40.5,358.5,3721.3,0.693
2024-01-01,RN-MAD-ES01,A,tienda,1477.7,932.6,95.9,203.5,943.4,522.4,4175.5,0.643
2024-01-01,RN-MAD-ES02,A,tienda,1037.8,692.9,67.7,155.2,686.7,300.1,2940.4,0.724
2024-01-01,RN-MAD-ES03,A,tienda,1255.3,850.2,88.5,201.2,847.8,392.2,3635.2,0.696
2024-01-01,RN-MAD-ES04,A,tienda,1293.0,792.5,79.3,204.2,851.7,359.3,3580.0,0.701
2024-01-01,RN-MAD-ES05,A,tienda,1051.3,744.2,77.2,170.8,700.8,333.8,3078.1,0.662
2024-01-01,RN-MAD-ES06,A,tienda,1427.5,824.2,82.2,208.1,863.1,403.1,3808.2,0.696
2024-01-01,RN-MAD-ES07,A,tienda,1410.1,794.5,90.5,180.7,873.4,426.6,3775.8,0.665
2024-01-01,RN-MAD-ES08,A,tienda,1349.6,771.9,80.8,185.6,897.3,427.7,3712.9,0.647
2024-01-01,RN-MAD-ES09,A,tienda,1092.0,809.6,79.9,184.5,840.8,358.1,3364.9,0.636
2024-01-01,RN-MAD-ES10,A,tienda,1222.3,818.3,84.6,180.0,748.3,402.3,3455.8,0.711
2024-01-01,RN-MAD-ES11,A,tienda,1114.0,654.0,62.3,147.8,630.8,345.8,2954.7,0.699
2024-01-01,RN-MAD-ES12,A,tienda,1303.9,738.1,92.3,205.7,873.5,431.3,3644.8,0.651
2024-01-01,RN-MAD-ES13,A,tienda,1191.6,844.5,79.3,199.4,914.1,408.6,3637.5,0.676
2024-01-01,RN-MAD-ES14,A,tienda,1057.8,660.0,71.4,150.5,671.0,341.5,2952.2,0.727
2024-01-01,RN-MAD-ES15,A,tienda,1235.5,698.2,77.9,153.1,715.9,371.0,3251.6,0.665
2024-01-01,RN-MAD-ES16,A,tienda,1123.2,870.0,81.9,170.4,788.1,424.9,3458.5,0.716
2024-01-01,RN-MAD-ES17,A,tienda,1278.9,763.0,78.9,179.3,832.8,397.7,3530.6,0.659
2024-01-01,RN-MAD-ES18,A,tienda,1457.5,851.9,90.1,201.6,874.1,445.3,3920.5,0.636
2024-01-01,RN-MAD-ES19,A,tienda,1284.1,857.6,78.4,174.7,746.1,393.5,3534.4,0.663
2024-01-01,RN-MAD-ES20,A,tienda,1105.4,771.8,87.4,165.7,827.2,419.8,3377.3,0.711
2024-01-01,RN-MAD-GA01,A,tienda,28748.4,18630.2,7465.2,11432.1,7469.0,8433.7,82178.6,0.65
2024-01-01,RN-MAD-GA02,A,tienda,17827.4,12644.9,5162.0,8185.5,5946.8,5846.5,55613.1,0.682
2024-01-01,RN-MAD-GA03,A,tienda,20397.9,12846.0,5915.3,8706.7,6144.8,6594.1,60604.8,0.692
2024-01-01,RN-MAD-HI01,A,tienda,5245.1,2994.7,6763.5,815.0,254.3,1707.0,17779.6,0.706
2024-01-01,RN-MAD-HI02,A,tienda,4500.7,2737.5,6988.6,845.1,244.6,1673.2,16989.7,0.655
2024-01-01,RN-MAD-HI03,A,tienda,5096.7,3056.9,6995.8,936.8,270.4,1794.9,18151.5,0.636
2024-01-01,RN-MAD-HI04,A,tienda,5671.0,3214.3,7971.0,1042.3,289.1,2098.8,20286.5,0.694
2024-01-01,RN-MAD-HI05,A,tienda,5316.8,3066.1,6975.5,937.1,282.6,1850.9,18429.0,0.676
2024-01-01,RN-SEV-CV01,D,tienda,854.1,493.5,992.8,150.0,35.0,308.6,2834.0,0.638
2024-01-01,RN-SEV-CV02,D,tienda,906.4,565.6,1321.1,192.6,41.3,388.0,3415.0,0.569
2024-01-01,RN-SEV-CV03,D,tienda,774.8,467.0,924.5,155.5,32.6,318.8,2673.2,0.555
2024-01-01,RN-SEV-CV04,D,tienda,716.1,444.2,1111.2,146.0,33.5,282.9,2733.9,0.587
2024-01-01,RN-SEV-CV05,D,tienda,697.6,415.2,845.5,127.5,33.8,239.6,2359.2,0.535
2024-01-01,RN-SEV-CV06,D,tienda,751.0,491.4,1200.4,166.8,39.6,287.4,2936.6,0.454
2024-01-01,RN-SEV-CV07,D,tienda,721.6,455.7,1090.1,160.0,32.0,300.3,2759.7,0.588
2024-01-01,RN-SEV-CV08,D,tienda,807.0,460.1,1225.7,173.2,34.5,310.0,3010.5,0.534
2024-01-01,RN-SEV-CV09,D,tienda,842.7,535.6,1249.1,163.3,37.6,288.7,3117.0,0.546
2024-01-01,RN-SEV-CV10,D,tienda,887.4,483.1,1279.9,179.4,35.1,291.4,3156.3,0.521
2024-01-01,RN-SEV-ES01,D,tienda,1026.5,704.4,59.2,222.0,641.9,321.1,2975.1,0.561
2024-01-01,RN-SEV-ES02,D,tienda,859.3,601.1,52.8,182.1,599.1,293.1,2587.5,0.618
2024-01-01,RN-SEV-ES03,D,tienda,948.4,653.3,51.6,195.3,617.6,339.3,2805.5,0.555
2024-01-01,RN-SEV-ES04,D,tienda,729.7,518.0,42.8,181.6,494.3,270.3,2236.7,0.505
2024-01-01,RN-SEV-ES05,D,tienda,766.7,516.6,43.8,165.0,479.0,250.4,2221.5,0.547
2024-01-01,RN-SEV-ES06,D,tienda,1060.4,642.6,54.8,206.8,696.1,295.4,2956.1,0.487
2024-01-01,RN-SEV-ES07,D,tienda,1139.8,711.3,57.4,228.0,747.5,334.5,3218.5,0.603
2024-01-01,RN-SEV-ES08,D,tienda,1009.7,658.3,57.3,199.1,661.3,361.2,2946.9,0.585
2024-01-01,RN-SEV-ES09,D,tienda,911.7,502.9,54.1,183.6,615.1,308.5,2575.9,0.58
2024-01-01,RN-SEV-ES10,D,tienda,975.3,643.3,52.2,195.2,602.0,344.6,2812.6,0.5
2024-01-01,RN-SEV-ES11,D,tienda,985.9,608.8,54.5,186.2,668.4,290.1,2793.9,0.57
2024-01-01,RN-SEV-ES12,D,tienda,1017.7,630.8,44.8,183.0,523.7,292.4,2692.4,0.531
2024-01-01,RN-SEV-GA01,D,tienda,10188.3,7092.8,2107.3,6359.7,2500.4,2846.4,31094.9,0.494
2024-01-01,RN-SEV-HI01,D,tienda,3417.0,1916.8,3553.3,841.8,173.9,1174.5,11077.3,0.537
2024-01-01,RN-SEV-HI02,D,tienda,3707.9,2306.5,4182.0,1068.8,202.7,1097.4,12565.3,0.556
2024-01-01,RN-SEV-HI03,D,tienda,3261.6,1983.9,3781.6,759.8,191.5,1075.4,11053.8,0.516
2024-01-01,RN-SEV-HI04,D,tienda,3471.4,2757.1,4695.9,1055.3,221.4,1297.8,13498.9,0.491
2024-01-01,RN-VLC-CV01,C,tienda,762.6,558.0,1348.0,92.6,22.6,322.7,3106.5,0.619
2024-01-01,RN-VLC-CV02,C,tienda,906.5,533.6,1425.4,95.0,27.5,381.9,3369.9,0.617
2024-01-01,RN-VLC-CV03,C,tienda,896.4,567.4,1685.1,111.2,28.7,356.1,3644.9,0.591
2024-01-01,RN-VLC-CV04,C,tienda,686.4,514.9,1367.7,81.4,22.8,285.4,2958.6,0.607
2024-01-01,RN-VLC-CV05,C,tienda,689.0,481.7,1135.7,69.6,19.0,285.5,2680.5,0.594
2024-01-01,RN-VLC-CV06,C,tienda,948.8,582.7,1701.9,108.2,26.6,333.9,3702.1,0.546
2024-01-01,RN-VLC-CV07,C,tienda,767.1,477.3,1404.0,88.6,21.2,313.8,3072.0,0.603
2024-01-01,RN-VLC-CV08,C,tienda,590.9,472.4,1300.5,72.1,21.9,279.9,2737.7,0.594
2024-01-01,RN-VLC-CV09,C,tienda,817.0,505.6,1234.1,76.1,22.3,280.5,2935.6,0.667
2024-01-01,RN-VLC-ES01,C,tienda,1096.5,643.3,90.0,153.8,653.3,294.2,2931.1,0.671
2024-01-01,RN-VLC-ES02,C,tienda,763.8,565.4,68.3,118.5,497.8,253.1,2266.9,0.681
2024-01-01,RN-VLC-ES03,C,tienda,913.9,562.8,82.3,144.7,644.6,283.0,2631.3,0.623
2024-01-01,RN-VLC-ES04,C,tienda,946.9,662.8,86.5,137.3,687.8,325.6,2846.9,0.524
2024-01-01,RN-VLC-ES05,C,tienda,1013.2,608.1,81.5,153.9,656.8,295.8,2809.3,0.578
2024-01-01,RN-VLC-ES06,C,tienda,837.5,509.3,66.5,121.0,574.7,242.5,2351.5,0.614
2024-01-01,RN-VLC-ES07,C,tienda,893.5,623.3,85.4,127.5,668.6,310.4,2708.7,0.557
2024-01-01,RN-VLC-ES08,C,tienda,1178.6,665.4,101.7,159.8,698.4,350.8,3154.7,0.629
2024-01-01,RN-VLC-ES09,C,tienda,1014.7,624.7,82.7,133.0,655.7,321.3,2832.1,0.616
2024-01-01,RN-VLC-ES10,C,tienda,856.8,555.9,74.5,125.2,556.9,257.9,2427.2,0.548
2024-01-01,RN-VLC-GA01,C,tienda,17880.6,10031.9,6752.8,7021.6,4075.9,5117.8,50880.6,0.548
2024-01-01,RN-VLC-HI01,C,tienda,3987.8,2696.3,6454.7,682.5,152.0,1488.1,15461.4,0.569
2024-01-01,RN-VLC-HI02,C,tienda,4348.2,3117.0,7031.8,754.2,181.2,1662.7,17095.1,0.622
2024-01-01,RN-VLC-HI03,C,tienda,4901.3,2970.4,7283.0,680.9,181.9,1738.8,17756.3,0.606
2024-01-01,RN-VLC-HI04,C,tienda,4172.3,2232.7,6551.9,667.5,156.0,1631.1,15411.5,0.655
2024-01-01,RN-VLC-HI05,C,tienda,4589.3,2673.5,6669.7,692.9,157.3,1746.8,16529.5,0.604
2024-01-01,RN-VLC-HI06,C,tienda,4383.6,2799.7,6629.1,636.5,158.8,1700.0,16307.7,0.583
2024-01-01,RN-VLC-HI07,C,tienda,3597.8,2043.9,5486.1,515.1,123.2,1383.9,13150.0,0.646
2024-02-01,CL-BCN-01,B,centro_logistico,3171.6,1643.6,55.1,146.8,101.5,450.7,5569.3,0.777
2024-02-01,CL-BCN-02,B,centro_logistico,3018.1,1553.0,57.2,167.1,94.0,517.8,5407.2,0.845
2024-02-01,CL-BIO-01,E,centro_logistico,2066.7,996.0,36.1,112.3,67.1,322.4,3600.6,0.867
2024-02-01,CL-MAD-01,A,centro_logistico,3263.2,1380.0,51.9,146.4,89.6,443.4,5374.5,0.785
2024-02-01,CL-MAD-02,A,centro_logistico,2899.7,1430.2,42.5,140.2,93.6,477.9,5084.1,0.761
2024-02-01,CL-MAD-03,A,centro_logistico,2864.2,1463.9,52.2,141.9,98.3,472.5,5093.0,0.738
2024-02-01,CL-SEV-01,D,centro_logistico,2467.9,1079.3,37.1,135.4,85.1,403.8,4208.6,0.602
2024-02-01,CL-VLC-01,C,centro_logistico,2824.3,1147.1,43.7,126.6,81.4,401.4,4624.5,0.73
2024-02-01,CL-VLC-02,C,centro_logistico,2375.1,1206.5,37.5,143.7,77.4,428.6,4268.8,0.688
2024-02-01,RN-BCN-CV01,B,tienda,880.1,518.7,1313.6,119.0,30.9,319.6,3181.9,0.743
2024-02-01,RN-BCN-CV02,B,tienda,890.3,593.8,1383.4,127.1,40.0,380.3,3414.9,0.712
2024-02-01,RN-BCN-CV03,B,tienda,985.8,607.3,1602.9,162.3,39.0,381.5,3778.8,0.693
2024-02-01,RN-BCN-CV04,B,tienda,615.1,478.4,1264.2,105.6,31.0,282.7,2777.0,0.701
2024-02-01,RN-BCN-CV05,B,tienda,733.7,473.8,1192.5,103.0,27.8,305.5,2836.3,0.656
2024-02-01,RN-BCN-CV06,B,tienda,824.9,505.1,1392.1,108.8,31.1,350.7,3212.7,0.664
2024-02-01,RN-BCN-CV07,B,tienda,826.4,515.2,1401.8,112.7,32.4,338.7,3227.2,0.687
2024-02-01,RN-BCN-CV08,B,tienda,780.5,512.5,1307.2,118.7,37.4,292.6,3048.9,0.766
2024-02-01,RN-BCN-ES01,B,tienda,849.1,516.5,56.3,139.9,597.5,264.3,2423.6,0.722
2024-02-01,RN-BCN-ES02,B,tienda,1007.1,590.1,64.0,159.3,696.5,303.2,2820.2,0.707
2024-02-01,RN-BCN-ES03,B,tienda,1087.7,640.9,63.0,164.1,646.7,323.3,2925.7,0.727
2024-02-01,RN-BCN-ES04,B,tienda,937.3,662.2,57.5,172.3,727.8,308.6,2865.7,0.765
2024-02-01,RN-BCN-ES05,B,tienda,955.4,675.5,68.1,160.0,683.9,337.7,2880.6,0.732
2024-02-01,RN-BCN-ES06,B,tienda,918.3,697.5,54.9,156.2,678.0,355.9,2860.8,0.75
2024-02-01,RN-BCN-ES07,B,tienda,942.5,673.8,71.2,162.5,714.9,308.3,2873.2,0.781
2024-02-01,RN-BCN-ES08,B,tienda,785.1,535.5,56.3,133.8,491.8,250.0,2252.5,0.706
2024-02-01,RN-BCN-ES09,B,tienda,1098.8,702.3,65.9,167.4,705.2,309.5,3049.1,0.776
2024-02-01,RN-BCN-ES10,B,tienda,957.2,574.1,61.5,154.0,595.3,252.5,2594.6,0.698
2024-02-01,RN-BCN-ES11,B,tienda,1044.1,707.7,64.8,175.4,673.7,370.0,3035.7,0.678
2024-02-01,RN-BCN-ES12,B,tienda,940.2,585.4,57.0,148.7,593.8,269.6,2594.7,0.714
2024-02-01,RN-BCN-ES13,B,tienda,999.4,768.1,70.6,172.8,677.1,316.7,3004.7,0.783
2024-02-01,RN-BCN-ES14,B,tienda,1257.2,727.7,75.6,192.2,755.7,395.4,3403.8,0.69
2024-02-01,RN-BCN-GA01,B,tienda,16992.0,11669.0,5583.5,8515.0,4277.2,5204.2,52240.9,0.728
2024-02-01,RN-BCN-GA02,B,tienda,22597.2,10832.5,5718.8,9159.8,5442.0,6312.0,60062.3,0.745
2024-02-01,RN-BCN-HI01,B,tienda,3419.0,2244.2,5307.9,772.8,195.1,1293.0,13232.0,0.756
2024-02-01,RN-BCN-HI02,B,tienda,5284.2,3090.4,7787.9,1042.8,264.6,2029.2,19499.1,0.714
2024-02-01,RN-BCN-HI03,B,tienda,3584.5,2213.7,5241.9,717.9,180.1,1376.8,13314.9,0.695
2024-02-01,RN-BCN-HI04,B,tienda,4849.7,2710.5,6683.4,819.0,251.8,1608.8,16923.2,0.75
2024-02-01,RN-BIO-CV01,E,tienda,923.6,498.4,1535.4,145.3,33.6,385.1,3521.4,0.855
2024-02-01,RN-BIO-CV02,E,tienda,931.6,554.3,1552.7,159.6,35.2,327.4,3560.8,0.826
2024-02-01,RN-BIO-CV03,E,tienda,899.8,490.8,1344.5,152.0,35.4,302.4,3224.9,0.859
2024-02-01,RN-BIO-CV04,E,tienda,929.6,591.1,1444.3,165.3,35.2,402.9,3568.4,0.898
2024-02-01,RN-BIO-ES01,E,tienda,867.7,643.1,53.4,173.3,537.8,299.2,2574.5,0.864
2024-02-01,RN-BIO-ES02,E,tienda,778.2,507.6,51.5,153.9,543.0,261.3,2295.5,0.824
2024-02-01,RN-BIO-ES03,E,tienda,1217.9,734.4,83.7,224.9,812.1,374.2,3447.2,0.869
2024-02-01,RN-BIO-ES04,E,tienda,1325.3,689.5,72.6,200.3,628.8,340.9,3257.4,0.817
2024-02-01,RN-BIO-ES05,E,tienda,993.1,643.5,64.7,189.3,662.9,333.8,2887.3,0.812
2024-02-01,RN-BIO-ES06,E,tienda,1097.6,762.5,78.8,211.3,640.8,351.3,3142.3,0.78
2024-02-01,RN-BIO-ES07,E,tienda,1013.7,689.9,65.2,209.8,640.6,358.8,2978.0,0.822
2024-02-01,RN-BIO-GA01,E,tienda,14701.3,8175.7,3752.9,6056.6,3065.3,4299.7,40051.5,0.811
2024-02-01,RN-BIO-HI01,E,tienda,4964.1,2390.2,6306.1,994.6,194.3,1642.7,16492.0,0.858
2024-02-01,RN-BIO-HI02,E,tienda,3808.6,2292.4,5166.0,753.3,178.8,1225.7,13424.8,0.822
2024-02-01,RN-MAD-CV01,A,tienda,744.5,457.0,1238.1,112.6,34.1,345.5,2931.8,0.618
2024-02-01,RN-MAD-CV02,A,tienda,898.1,546.9,1526.8,114.1,34.3,317.7,3437.9,0.606
2024-02-01,RN-MAD-CV03,A,tienda,866.9,481.1,1367.6,105.1,36.2,300.2,3157.1,0.634
2024-02-01,RN-MAD-CV04,A,tienda,1052.8,646.6,1725.5,143.5,38.5,383.2,3990.1,0.634
2024-02-01,RN-MAD-CV05,A,tienda,817.8,394.2,1187.3,92.2,30.5,245.3,2767.3,0.614
2024-02-01,RN-MAD-CV06,A,tienda,790.4,511.8,1365.0,117.4,34.2,280.7,3099.5,0.664
2024-02-01,RN-MAD-CV07,A,tienda,656.9,526.9,1311.9,100.8,33.0,323.4,2952.9,0.663
2024-02-01,RN-MAD-CV08,A,tienda,974.0,587.7,1684.4,126.6,41.9,407.6,3822.2,0.685
2024-02-01,RN-MAD-CV09,A,tienda,960.6,622.1,1572.9,128.2,38.6,413.4,3735.8,0.657
2024-02-01,RN-MAD-CV10,A,tienda,931.1,558.5,1365.1,129.4,37.0,334.2,3355.3,0.606
2024-02-01,RN-MAD-ES01,A,tienda,1175.1,759.7,78.8,177.4,798.8,417.7,3407.5,0.672
2024-02-01,RN-MAD-ES02,A,tienda,862.6,628.7,55.7,130.6,575.7,328.3,2581.6,0.641
2024-02-01,RN-MAD-ES03,A,tienda,1118.5,642.2,70.1,149.9,756.6,378.6,3115.9,0.676
2024-02-01,RN-MAD-ES04,A,tienda,1170.8,732.7,71.3,153.1,706.2,342.7,3176.8,0.612
2024-02-01,RN-MAD-ES05,A,tienda,1056.5,682.0,70.4,138.2,646.4,309.6,2903.1,0.717
2024-02-01,RN-MAD-ES06,A,tienda,1176.6,731.1,79.6,174.2,715.2,364.7,3241.4,0.666
2024-02-01,RN-MAD-ES07,A,tienda,1200.7,731.2,72.8,152.4,780.2,375.5,3312.8,0.646
2024-02-01,RN-MAD-ES08,A,tienda,1162.5,738.6,70.3,158.3,865.2,391.9,3386.8,0.695
2024-02-01,RN-MAD-ES09,A,tienda,1180.5,732.6,72.4,160.3,674.5,378.7,3199.0,0.739
2024-02-01,RN-MAD-ES10,A,tienda,1065.7,749.1,69.4,157.9,702.9,328.7,3073.7,0.661
2024-02-01,RN-MAD-ES11,A,tienda,941.9,590.9,61.9,128.9,670.0,298.9,2692.5,0.677
2024-02-01,RN-MAD-ES12,A,tienda,1243.6,664.4,73.2,168.1,705.6,354.4,3209.3,0.695
2024-02-01,RN-MAD-ES13,A,tienda,1134.6,715.4,79.0,177.7,741.8,376.9,3225.4,0.706
2024-02-01,RN-MAD-ES14,A,tienda,939.8,543.9,60.4,136.8,585.3,276.3,2542.5,0.724
2024-02-01,RN-MAD-ES15,A,tienda,1134.4,605.1,60.7,147.1,671.4,320.8,2939.5,0.666
2024-02-01,RN-MAD-ES16,A,tienda,997.1,684.4,70.3,128.0,648.3,346.7,2874.8,0.722
2024-02-01,RN-MAD-ES17,A,tienda,1060.5,657.2,65.0,178.6,709.5,319.3,2990.1,0.672
2024-02-01,RN-MAD-ES18,A,tienda,1108.4,775.7,85.5,171.5,688.7,409.6,3239.4,0.745
2024-02-01,RN-MAD-ES19,A,tienda,1175.1,705.5,76.8,164.8,707.3,320.5,3150.0,0.619
2024-02-01,RN-MAD-ES20,A,tienda,876.4,661.8,70.6,148.2,755.6,344.6,2857.2,0.662
2024-02-01,RN-MAD-GA01,A,tienda,28349.7,16641.2,7110.0,11567.5,7608.7,8335.3,79612.4,0.681
2024-02-01,RN-MAD-GA02,A,tienda,19273.5,10285.5,4629.9,6748.5,4339.4,5286.4,50563.2,0.702
2024-02-01,RN-MAD-GA03,A,tienda,21786.6,12509.1,6116.8,8478.3,4897.9,6057.7,59846.4,0.724
2024-02-01,RN-MAD-HI01,A,tienda,4192.2,3008.1,6836.8,882.0,267.6,1847.6,17034.3,0.71
2024-02-01,RN-MAD-HI02,A,tienda,4089.8,2394.7,5068.9,703.3,211.7,1451.8,13920.2,0.699
2024-02-01,RN-MAD-HI03,A,tienda,4579.3,2604.8,6078.4,872.7,229.8,1643.0,16008.0,0.686
2024-02-01,RN-MAD-HI04,A,tienda,4281.7,3003.1,6459.4,934.8,255.0,1849.1,16783.1,0.767
2024-02-01,RN-MAD-HI05,A,tienda,4419.5,2688.6,6402.3,865.2,252.0,1938.4,16566.0,0.677
2024-02-01,RN-SEV-CV01,D,tienda,732.7,486.0,985.0,149.0,30.5,257.0,2640.2,0.526
2024-02-01,RN-SEV-CV02,D,tienda,832.5,567.4,1168.1,165.8,40.8,315.8,3090.4,0.481
2024-02-01,RN-SEV-CV03,D,tienda,667.9,407.9,933.3,141.9,29.4,258.6,2439.0,0.505
