fecha,codigo_centro,grupo,num_rutas,km_totales,km_en_vacio,paradas,ocupacion_media,pct_km_en_vacio,entregas_fallidas
2024-01-08,CL-MAD-01,A,8,3488.8,636.1,120,0.775,0.182,5
2024-01-08,CL-MAD-02,A,9,4067.7,613.3,119,0.71,0.151,4
2024-01-08,CL-MAD-03,A,9,4342.1,702.4,109,0.755,0.162,8
2024-01-08,CL-SEV-01,D,8,8917.9,2815.7,79,0.542,0.316,1
2024-01-08,CL-VLC-01,C,7,3462.0,754.5,86,0.686,0.218,3
2024-01-08,CL-VLC-02,C,9,4379.4,960.3,110,0.791,0.219,4
2024-01-09,CL-BCN-01,B,8,4064.1,966.6,99,0.651,0.238,6
2024-01-09,CL-BCN-02,B,9,4531.8,899.8,111,0.691,0.199,6
2024-01-09,CL-BIO-01,E,10,4897.3,524.7,131,0.818,0.107,2
2024-01-09,CL-MAD-01,A,10,4779.4,1062.5,141,0.834,0.222,5
2024-01-09,CL-MAD-02,A,10,4460.2,775.3,135,0.766,0.174,4
2024-01-09,CL-MAD-03,A,10,4454.3,1061.2,141,0.728,0.238,3
2024-01-09,CL-SEV-01,D,8,8777.4,2567.3,59,0.603,0.292,1
2024-01-09,CL-VLC-01,C,9,4522.7,1025.3,117,0.639,0.227,5
2024-01-09,CL-VLC-02,C,10,4716.3,965.1,126,0.699,0.205,2
2024-01-10,CL-BCN-01,B,9,4590.9,1055.0,116,0.831,0.23,2
2024-01-10,CL-BCN-02,B,11,5292.4,1014.6,113,0.745,0.192,3
2024-01-10,CL-BIO-01,E,9,4489.9,465.9,117,0.826,0.104,0
2024-01-10,CL-MAD-01,A,9,4018.5,741.4,148,0.75,0.184,7
2024-01-10,CL-MAD-02,A,8,3493.5,591.5,92,0.73,0.169,1
2024-01-10,CL-MAD-03,A,9,4136.0,496.7,131,0.797,0.12,4
2024-01-10,CL-SEV-01,D,10,10678.1,4237.0,97,0.632,0.397,1
2024-01-10,CL-VLC-01,C,10,4664.2,1307.4,101,0.77,0.28,5
2024-01-10,CL-VLC-02,C,9,4613.4,942.5,94,0.672,0.204,4
2024-01-11,CL-BCN-01,B,10,4968.3,1011.3,125,0.774,0.204,5
2024-01-11,CL-BCN-02,B,9,4657.4,787.8,125,0.723,0.169,6
2024-01-11,CL-BIO-01,E,10,5066.1,673.6,107,0.838,0.133,1
2024-01-11,CL-MAD-01,A,6,2943.7,583.9,86,0.867,0.198,1
2024-01-11,CL-MAD-02,A,9,4064.6,1029.4,139,0.833,0.253,4
2024-01-11,CL-MAD-03,A,8,3564.8,809.8,103,0.673,0.227,6
2024-01-11,CL-SEV-01,D,8,8849.7,2760.1,64,0.569,0.312,0
2024-01-11,CL-VLC-01,C,10,4725.3,1039.1,81,0.726,0.22,0
2024-01-11,CL-VLC-02,C,10,4651.0,1124.8,116,0.702,0.242,2
2024-01-12,CL-BCN-01,B,9,4676.1,1122.5,115,0.798,0.24,5
2024-01-12,CL-BCN-02,B,10,4773.1,965.2,129,0.836,0.202,5
2024-01-12,CL-BIO-01,E,9,4374.0,585.7,97,0.727,0.134,0
2024-01-12,CL-MAD-01,A,7,3436.4,516.0,94,0.772,0.15,3
2024-01-12,CL-MAD-02,A,8,3522.7,721.3,99,0.818,0.205,4
2024-01-12,CL-MAD-03,A,8,3724.3,724.0,96,0.718,0.194,4
2024-01-12,CL-SEV-01,D,9,9200.8,2487.5,84,0.633,0.27,2
2024-01-12,CL-VLC-01,C,9,4584.8,1169.7,88,0.902,0.255,2
2024-01-12,CL-VLC-02,C,8,3801.8,902.5,106,0.795,0.237,2
2024-01-13,CL-BCN-01,B,6,2985.4,485.8,74,0.734,0.163,2
2024-01-13,CL-BCN-02,B,8,4011.0,778.8,115,0.667,0.194,2
2024-01-13,CL-BIO-01,E,7,3596.7,458.3,105,0.812,0.127,0
2024-01-13,CL-MAD-01,A,5,2508.3,380.4,84,0.735,0.152,3
2024-01-13,CL-MAD-02,A,6,2706.0,405.2,90,0.938,0.15,3
2024-01-13,CL-MAD-03,A,6,2918.3,500.4,88,0.749,0.171,2
2024-01-13,CL-SEV-01,D,7,7335.1,2204.4,64,0.615,0.301,0
2024-01-13,CL-VLC-01,C,6,3061.0,678.7,66,0.549,0.222,2
2024-01-13,CL-VLC-02,C,7,3199.3,779.9,77,0.772,0.244,1
2024-01-14,CL-BCN-01,B,2,1245.9,184.2,23,0.841,0.148,2
2024-01-14,CL-BCN-02,B,2,1241.1,263.8,28,0.708,0.213,0
2024-01-14,CL-BIO-01,E,3,1467.9,201.0,32,0.861,0.137,0
2024-01-14,CL-MAD-01,A,2,1111.7,269.8,28,0.81,0.243,0
2024-01-14,CL-MAD-02,A,3,1214.1,231.2,47,0.75,0.19,3
2024-01-14,CL-MAD-03,A,2,1003.1,133.9,31,0.887,0.133,2
2024-01-14,CL-SEV-01,D,3,2957.5,1003.2,19,0.617,0.339,0
2024-01-14,CL-VLC-01,C,2,1170.7,278.8,18,0.739,0.238,0
2024-01-14,CL-VLC-02,C,3,1304.4,284.6,39,0.804,0.218,3
2024-01-15,CL-BCN-01,B,8,3750.4,660.2,97,0.682,0.176,3
2024-01-15,CL-BCN-02,B,10,5078.0,1042.6,140,0.802,0.205,4
2024-01-15,CL-BIO-01,E,10,5119.2,365.1,133,0.852,0.071,2
2024-01-15,CL-MAD-01,A,9,4209.3,843.5,121,0.707,0.2,3
2024-01-15,CL-MAD-02,A,8,3859.7,603.3,86,0.772,0.156,5
2024-01-15,CL-MAD-03,A,9,4340.4,750.9,123,0.844,0.173,8
2024-01-15,CL-SEV-01,D,9,9671.0,3273.4,57,0.608,0.338,0
2024-01-15,CL-VLC-01,C,9,4227.6,780.9,94,0.71,0.185,1
2024-01-15,CL-VLC-02,C,9,4309.3,819.5,121,0.777,0.19,2
2024-01-16,CL-BCN-01,B,9,4659.3,1042.0,119,0.658,0.224,5
2024-01-16,CL-BCN-02,B,11,5560.3,1204.0,141,0.772,0.217,5
2024-01-16,CL-BIO-01,E,8,4245.6,394.5,107,0.82,0.093,2
2024-01-16,CL-MAD-01,A,8,3607.6,482.0,105,0.724,0.134,11
2024-01-16,CL-MAD-02,A,8,3826.8,567.4,119,0.748,0.148,7
2024-01-16,CL-MAD-03,A,9,4005.5,700.3,119,0.837,0.175,8
2024-01-16,CL-SEV-01,D,9,9858.3,3558.5,42,0.576,0.361,0
2024-01-16,CL-VLC-01,C,10,4895.0,1157.3,74,0.729,0.236,4
2024-01-16,CL-VLC-02,C,8,4109.2,847.7,72,0.782,0.206,2
2024-01-17,CL-BCN-01,B,8,4145.6,962.3,103,0.766,0.232,2
2024-01-17,CL-BCN-02,B,10,4968.7,967.3,127,0.808,0.195,4
2024-01-17,CL-BIO-01,E,8,3866.6,453.5,101,0.778,0.117,1
2024-01-17,CL-MAD-01,A,9,4127.7,791.1,122,0.749,0.192,0
2024-01-17,CL-MAD-02,A,10,4451.2,806.2,136,0.751,0.181,7
2024-01-17,CL-MAD-03,A,8,3617.4,767.5,120,0.729,0.212,4
2024-01-17,CL-SEV-01,D,9,9418.4,3271.2,55,0.506,0.347,0
2024-01-17,CL-VLC-01,C,8,3860.7,1075.5,79,0.776,0.279,0
2024-01-17,CL-VLC-02,C,9,4625.8,1191.5,121,0.646,0.258,4
2024-01-18,CL-BCN-01,B,9,4330.8,760.2,106,0.778,0.176,5
2024-01-18,CL-BCN-02,B,10,4753.3,697.4,116,0.677,0.147,4
2024-01-18,CL-BIO-01,E,7,3416.7,361.4,80,0.91,0.106,4
2024-01-18,CL-MAD-01,A,9,4020.5,883.6,143,0.823,0.22,3
2024-01-18,CL-MAD-02,A,9,4212.2,822.8,132,0.722,0.195,2
2024-01-18,CL-MAD-03,A,9,4078.7,626.0,131,0.742,0.153,3
2024-01-18,CL-SEV-01,D,9,10011.4,3289.0,73,0.65,0.329,1
2024-01-18,CL-VLC-01,C,7,3638.5,989.7,84,0.808,0.272,2
2024-01-18,CL-VLC-02,C,9,,,107,0.705,,2
2024-01-19,CL-BCN-01,B,9,4547.4,853.2,90,0.719,0.188,6
2024-01-19,CL-BCN-02,B,9,4269.2,927.6,125,0.759,0.217,3
2024-01-19,CL-BIO-01,E,11,5399.2,812.7,121,0.806,0.151,1
2024-01-19,CL-MAD-01,A,8,3628.3,616.0,116,0.744,0.17,4
2024-01-19,CL-MAD-02,A,9,4241.2,748.1,124,0.864,0.176,4
2024-01-19,CL-MAD-03,A,10,4566.8,1054.3,149,0.897,0.231,3
2024-01-19,CL-SEV-01,D,8,8273.4,2931.8,62,0.636,0.354,1
2024-01-19,CL-VLC-01,C,10,4684.5,974.4,133,0.703,0.208,4
2024-01-19,CL-VLC-02,C,10,4806.1,1325.0,104,0.673,0.276,2
2024-01-20,CL-BCN-01,B,6,3101.8,791.9,78,0.826,0.255,4
2024-01-20,CL-BCN-02,B,7,3545.4,682.5,83,0.766,0.193,2
2024-01-20,CL-BIO-01,E,7,3537.6,602.4,74,0.843,0.17,1
2024-01-20,CL-MAD-01,A,6,2949.2,557.1,86,0.766,0.189,4
2024-01-20,CL-MAD-02,A,7,3181.1,727.3,83,0.783,0.229,6
2024-01-20,CL-MAD-03,A,6,2967.5,628.7,86,0.706,0.212,7
2024-01-20,CL-SEV-01,D,7,7475.9,2349.3,66,0.645,0.314,0
2024-01-20,CL-VLC-01,C,7,3608.3,964.5,90,0.7,0.267,5
2024-01-20,CL-VLC-02,C,7,3426.7,802.4,78,0.725,0.234,2
2024-01-21,CL-BCN-01,B,2,1227.4,255.2,28,0.654,0.208,2
2024-01-21,CL-BCN-02,B,2,1239.1,243.7,27,0.668,0.197,1
2024-01-21,CL-BIO-01,E,3,1397.4,213.0,39,0.809,0.152,0
2024-01-21,CL-MAD-01,A,3,1291.1,270.5,36,0.772,0.21,2
2024-01-21,CL-MAD-02,A,2,1073.2,175.1,30,0.784,0.163,1
2024-01-21,CL-MAD-03,A,2,1063.2,191.8,29,0.828,0.18,3
2024-01-21,CL-SEV-01,D,3,3326.8,1069.0,24,0.652,0.321,0
2024-01-21,CL-VLC-01,C,3,1246.4,301.4,38,0.703,0.242,1
2024-01-21,CL-VLC-02,C,2,1161.8,248.8,24,0.657,0.214,0
2024-01-22,CL-BCN-01,B,9,4511.4,1031.7,130,0.699,0.229,0
2024-01-22,CL-BCN-02,B,9,4270.1,894.0,143,0.716,0.209,7
2024-01-22,CL-BIO-01,E,9,4788.6,470.4,126,0.784,0.098,1
2024-01-22,CL-MAD-01,A,9,4082.8,683.5,118,0.793,0.167,7
2024-01-22,CL-MAD-02,A,8,3727.7,515.4,101,0.757,0.138,2
2024-01-22,CL-MAD-03,A,9,4272.8,905.0,113,0.674,0.212,6
2024-01-22,CL-SEV-01,D,8,9021.2,3433.4,48,0.635,0.381,1
2024-01-22,CL-VLC-01,C,8,3850.4,794.6,84,0.671,0.206,2
2024-01-22,CL-VLC-02,C,9,4292.0,962.5,103,0.708,0.224,1
2024-01-23,CL-BCN-01,B,8,3890.3,902.9,120,0.828,0.232,5
2024-01-23,CL-BCN-02,B,8,4196.5,805.7,112,0.866,0.192,4
2024-01-23,CL-BIO-01,E,9,4621.4,637.7,102,0.869,0.138,1
2024-01-23,CL-MAD-01,A,8,3573.8,626.5,113,0.774,0.175,7
2024-01-23,CL-MAD-02,A,8,3890.8,529.3,115,0.775,0.136,8
2024-01-23,CL-MAD-03,A,9,4100.7,700.8,143,0.804,0.171,6
2024-01-23,CL-SEV-01,D,9,9840.6,3508.7,64,0.582,0.357,0
2024-01-23,CL-VLC-01,C,8,3968.4,858.9,65,0.663,0.216,0
2024-01-23,CL-VLC-02,C,8,3982.9,1045.9,95,0.764,0.263,3
2024-01-24,CL-BCN-01,B,9,4516.6,937.3,95,0.686,0.208,3
2024-01-24,CL-BCN-02,B,10,4771.2,1121.3,133,0.736,0.235,8
2024-01-24,CL-BIO-01,E,10,5200.1,801.0,100,0.973,0.154,1
2024-01-24,CL-MAD-01,A,8,3689.4,677.6,114,0.81,0.184,6
2024-01-24,CL-MAD-02,A,9,3944.8,686.6,145,0.756,0.174,8
2024-01-24,CL-MAD-03,A,9,4169.7,880.1,122,0.764,0.211,4
2024-01-24,CL-SEV-01,D,10,10313.4,3328.6,69,0.655,0.323,4
2024-01-24,CL-VLC-01,C,9,4630.1,894.7,117,0.784,0.193,2
2024-01-24,CL-VLC-02,C,10,4691.7,822.9,126,0.682,0.175,1
2024-01-25,CL-BCN-01,B,8,4080.3,788.5,104,0.701,0.193,4
2024-01-25,CL-BCN-02,B,11,5563.1,1195.5,115,0.772,0.215,2
2024-01-25,CL-BIO-01,E,9,4550.7,669.0,123,0.771,0.147,0
2024-01-25,CL-MAD-01,A,9,4197.4,644.7,140,0.833,0.154,5
2024-01-25,CL-MAD-02,A,9,4124.1,707.9,131,0.821,0.172,3
2024-01-25,CL-MAD-03,A,9,4230.3,875.3,161,0.759,0.207,6
2024-01-25,CL-SEV-01,D,8,8995.0,2756.2,57,0.646,0.306,2
2024-01-25,CL-VLC-01,C,9,4410.1,888.6,124,0.689,0.201,2
2024-01-25,CL-VLC-02,C,9,4212.0,1028.2,105,0.811,0.244,1
2024-01-26,CL-BCN-01,B,9,4555.6,1130.1,111,0.643,0.248,9
2024-01-26,CL-BCN-02,B,10,4834.6,1026.5,138,0.773,0.212,1
2024-01-26,CL-BIO-01,E,9,4330.3,562.9,100,0.956,0.13,2
2024-01-26,CL-MAD-01,A,8,3499.9,543.9,106,0.802,0.155,3
2024-01-26,CL-MAD-02,A,9,4188.2,879.3,117,0.844,0.21,4
2024-01-26,CL-MAD-03,A,8,3751.0,617.4,101,0.692,0.165,4
2024-01-26,CL-SEV-01,D,9,9964.1,3086.0,81,0.692,0.31,1
2024-01-26,CL-VLC-01,C,9,4598.7,1010.9,104,0.624,0.22,4
2024-01-26,CL-VLC-02,C,8,4145.6,779.3,90,0.833,0.188,7
2024-01-27,CL-BCN-01,B,6,3062.7,742.4,82,0.74,0.242,3
2024-01-27,CL-BCN-02,B,7,3369.1,684.3,90,0.704,0.203,3
2024-01-27,CL-BIO-01,E,6,3095.4,414.9,63,0.845,0.134,0
2024-01-27,CL-MAD-01,A,6,2872.4,360.2,82,0.838,0.125,3
2024-01-27,CL-MAD-02,A,7,3187.3,428.5,98,0.806,0.134,1
2024-01-27,CL-MAD-03,A,7,3284.8,450.0,83,0.76,0.137,4
2024-01-27,CL-SEV-01,D,6,6993.0,2334.5,52,0.694,0.334,0
2024-01-27,CL-VLC-01,C,6,2939.2,756.0,75,0.8,0.257,2
2024-01-27,CL-VLC-02,C,7,3187.8,679.2,88,0.685,0.213,2
2024-01-28,CL-BCN-01,B,3,1320.9,258.7,40,0.757,0.196,2
2024-01-28,CL-BCN-02,B,3,1327.0,226.6,42,0.783,0.171,1
2024-01-28,CL-BIO-01,E,3,1352.0,103.8,29,0.883,0.077,0
2024-01-28,CL-MAD-01,A,3,1244.9,256.6,38,0.823,0.206,1
2024-01-28,CL-MAD-02,A,3,1282.6,211.3,46,0.805,0.165,0
2024-01-28,CL-MAD-03,A,2,1108.7,190.1,29,0.824,0.171,1
2024-01-28,CL-SEV-01,D,3,3084.4,955.1,27,0.647,0.31,1
2024-01-28,CL-VLC-01,C,3,1446.7,340.1,32,0.753,0.235,1
2024-01-28,CL-VLC-02,C,3,1351.1,308.6,38,0.653,0.228,0
2024-01-29,CL-BCN-01,B,8,3932.5,859.9,112,0.805,0.219,2
2024-01-29,CL-BCN-02,B,9,4410.3,921.7,121,0.756,0.209,4
2024-01-29,CL-BIO-01,E,8,4171.1,393.0,97,0.82,0.094,1
2024-01-29,CL-MAD-01,A,10,4521.6,665.6,143,0.758,0.147,5
2024-01-29,CL-MAD-02,A,8,3672.3,511.2,115,0.865,0.139,5
2024-01-29,CL-MAD-03,A,10,4360.1,670.5,119,0.765,0.154,3
2024-01-29,CL-SEV-01,D,8,8600.5,2845.1,57,0.614,0.331,0
2024-01-29,CL-VLC-01,C,9,4563.7,1161.5,93,0.735,0.255,2
2024-01-29,CL-VLC-02,C,8,4132.7,1042.1,108,0.806,0.252,5
2024-01-30,CL-BCN-01,B,9,4721.7,986.8,97,0.844,0.209,3
2024-01-30,CL-BCN-02,B,9,4719.3,1065.4,93,0.679,0.226,1
2024-01-30,CL-BIO-01,E,9,4470.2,458.9,130,0.843,0.103,3
2024-01-30,CL-MAD-01,A,8,3521.8,576.4,113,0.706,0.164,3
2024-01-30,CL-MAD-02,A,9,4031.3,713.1,114,0.854,0.177,3
2024-01-30,CL-MAD-03,A,8,3717.1,689.1,103,0.781,0.185,4
2024-01-30,CL-SEV-01,D,9,9646.7,3681.2,93,0.578,0.382,0
2024-01-30,CL-VLC-01,C,9,4356.1,1196.8,93,0.774,0.275,3
2024-01-30,CL-VLC-02,C,8,4064.2,840.4,76,0.58,0.207,4
2024-01-31,CL-BCN-01,B,9,4636.2,1047.4,125,0.686,0.226,6
2024-01-31,CL-BCN-02,B,8,4175.1,832.3,114,0.828,0.199,2
2024-01-31,CL-BIO-01,E,8,4084.6,619.7,119,0.851,0.152,2
2024-01-31,CL-MAD-01,A,9,4237.8,824.9,119,0.71,0.195,6
2024-01-31,CL-MAD-02,A,8,3833.0,773.6,109,0.811,0.202,7
2024-01-31,CL-MAD-03,A,8,3736.4,575.4,107,0.857,0.154,2
2024-01-31,CL-SEV-01,D,7,7123.9,2266.4,60,0.625,0.318,1
2024-01-31,CL-VLC-01,C,9,4534.8,1040.4,98,0.758,0.229,1
2024-01-31,CL-VLC-02,C,9,4206.3,964.5,98,0.8,0.229,1
2024-02-01,CL-BCN-01,B,8,4188.0,847.6,119,0.83,0.202,3
2024-02-01,CL-BCN-02,B,8,3921.5,648.6,124,0.705,0.165,5
2024-02-01,CL-BIO-01,E,9,4752.5,679.3,114,0.899,0.143,1
2024-02-01,CL-MAD-01,A,9,4026.2,990.8,134,0.77,0.246,6
2024-02-01,CL-MAD-02,A,9,4097.4,638.6,153,0.87,0.156,9
2024-02-01,CL-MAD-03,A,9,4336.2,862.2,126,0.675,0.199,1
2024-02-01,CL-SEV-01,D,8,,,64,0.595,,0
2024-02-01,CL-VLC-01,C,8,4026.0,1055.0,104,0.674,0.262,2
2024-02-01,CL-VLC-02,C,9,4377.2,1020.6,114,0.805,0.233,0
2024-02-02,CL-BCN-01,B,9,4298.2,924.4,112,0.683,0.215,2
2024-02-02,CL-BCN-02,B,10,4769.2,1088.7,150,0.811,0.228,7
2024-02-02,CL-BIO-01,E,8,4241.8,378.1,97,0.786,0.089,1
2024-02-02,CL-MAD-01,A,8,3771.6,748.7,99,0.837,0.199,3
2024-02-02,CL-MAD-02,A,10,4596.0,861.5,140,0.723,0.187,5
2024-02-02,CL-MAD-03,A,9,4024.4,686.9,141,0.859,0.171,4
2024-02-02,CL-SEV-01,D,9,9918.8,3583.0,45,0.56,0.361,3
2024-02-02,CL-VLC-01,C,8,3941.1,785.0,87,0.754,0.199,1
2024-02-02,CL-VLC-02,C,9,4504.2,799.0,115,0.806,0.177,0
2024-02-03,CL-BCN-01,B,6,3052.1,576.4,74,0.779,0.189,1
2024-02-03,CL-BCN-02,B,6,2784.8,719.3,81,0.825,0.258,2
2024-02-03,CL-BIO-01,E,5,2421.7,326.2,53,0.846,0.135,1
2024-02-03,CL-MAD-01,A,7,3008.3,501.0,98,0.697,0.167,3
2024-02-03,CL-MAD-02,A,5,2514.6,378.0,63,0.726,0.15,1
2024-02-03,CL-MAD-03,A,6,2857.6,585.4,90,0.764,0.205,2
2024-02-03,CL-SEV-01,D,6,6725.6,2144.6,50,0.616,0.319,1
2024-02-03,CL-VLC-01,C,7,3472.2,786.7,86,0.661,0.227,2
2024-02-03,CL-VLC-02,C,7,3472.0,748.9,86,0.683,0.216,6
2024-02-04,CL-BCN-01,B,2,1236.7,227.6,24,0.779,0.184,0
2024-02-04,CL-BCN-02,B,2,1196.7,221.0,29,0.702,0.185,1
2024-02-04,CL-BIO-01,E,3,1405.4,173.8,41,0.768,0.124,0
2024-02-04,CL-MAD-01,A,3,1257.5,273.4,48,0.743,0.217,0
2024-02-04,CL-MAD-02,A,2,1139.3,127.0,28,0.775,0.111,0
2024-02-04,CL-MAD-03,A,3,1159.2,173.9,43,0.733,0.15,2
2024-02-04,CL-SEV-01,D,3,2696.5,866.9,18,0.562,0.321,0
2024-02-04,CL-VLC-01,C,3,1269.6,234.5,38,0.859,0.185,0
2024-02-04,CL-VLC-02,C,2,1115.3,223.2,25,0.691,0.2,0
2024-02-05,CL-BCN-01,B,9,4335.2,1012.5,116,0.767,0.234,5
2024-02-05,CL-BCN-02,B,8,3992.7,829.0,87,0.808,0.208,1
2024-02-05,CL-BIO-01,E,8,3942.2,433.3,94,0.825,0.11,1
2024-02-05,CL-MAD-01,A,9,3931.1,675.4,126,0.781,0.172,6
2024-02-05,CL-MAD-02,A,10,4425.0,620.4,145,0.803,0.14,8
2024-02-05,CL-MAD-03,A,8,3589.5,627.1,108,0.707,0.175,4
2024-02-05,CL-SEV-01,D,8,8905.5,2935.3,54,0.599,0.33,0
2024-02-05,CL-VLC-01,C,9,4480.5,620.9,83,0.713,0.139,1
2024-02-05,CL-VLC-02,C,10,4868.2,878.5,96,0.725,0.18,2
2024-02-06,CL-BCN-01,B,9,4437.9,968.8,126,0.704,0.218,7
2024-02-06,CL-BCN-02,B,9,4495.8,1037.1,132,0.739,0.231,3
2024-02-06,CL-BIO-01,E,7,3646.3,410.0,91,0.919,0.112,2
2024-02-06,CL-MAD-01,A,8,3685.3,648.0,99,0.831,0.176,3
2024-02-06,CL-MAD-02,A,8,3525.0,533.2,130,0.762,0.151,11
2024-02-06,CL-MAD-03,A,8,3743.2,679.1,115,0.842,0.181,3
2024-02-06,CL-SEV-01,D,9,9275.5,2644.1,81,0.603,0.285,1
2024-02-06,CL-VLC-01,C,9,4270.4,1023.5,92,0.812,0.24,1
2024-02-06,CL-VLC-02,C,10,4721.9,1081.6,114,0.713,0.229,4
2024-02-07,CL-BCN-01,B,9,4355.4,933.3,127,0.822,0.214,6
2024-02-07,CL-BCN-02,B,8,4146.0,791.9,103,0.793,0.191,5
2024-02-07,CL-BIO-01,E,9,4445.0,834.7,116,0.765,0.188,3
2024-02-07,CL-MAD-01,A,9,4117.7,636.2,146,0.755,0.155,4
